code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""100128""",UNKNOWN,true,"""F124.00""	""vascular parkinsonism""",
"""10062""",UNKNOWN,true,"""G6z..00""	""cerebrovascular disease nos""",
"""100639""",UNKNOWN,true,"""1M4..00""	""central post-stroke pain""",
"""104638""",UNKNOWN,true,"""8IEC.00""	""ref multidisciplinary stroke function improvement declined""",
"""10504""",UNKNOWN,true,"""G64z300""	""right sided cerebral infarction""",
"""105100""",UNKNOWN,true,"""662M100""	""stroke 6 month review""",
"""105520""",UNKNOWN,true,"""8Hd6.00""	""admission to stroke unit""",
"""107195""",UNKNOWN,true,"""661M700""	""stroke self-management plan agreed""",
"""107440""",UNKNOWN,true,"""G619.00""	""lobar cerebral haemorrhage""",
"""107886""",UNKNOWN,true,"""662e.11""	""stroke annual review""",
"""10792""",UNKNOWN,true,"""662M.00""	""stroke monitoring""",
"""10794""",UNKNOWN,true,"""G656.00""	""vertebrobasilar insufficiency""",
"""108630""",UNKNOWN,true,"""Gyu6E00""	""[x]subarachnoid haemorrh from intracranial artery, unspecif""",
"""108668""",UNKNOWN,true,"""Gyu6000""	""[x]subarachnoid haemorrhage from other intracranial arteries""",
"""10962""",UNKNOWN,true,"""9h2..00""	""exception reporting: stroke quality indicators""",
"""11039""",UNKNOWN,true,"""9h21.00""	""excepted from stroke quality indicators: patient unsuitable""",
"""11074""",UNKNOWN,true,"""9h22.00""	""excepted from stroke quality indicators: informed dissent""",
"""12413""",UNKNOWN,true,"""5C10.00""	""carotid artery doppler abnormal""",
"""12555""",UNKNOWN,true,"""G671z00""	""generalised ischaemic cerebrovascular disease nos""",
"""12733""",UNKNOWN,true,"""7A20311""	""carotid endarterectomy and patch""",
"""12833""",UNKNOWN,true,"""G668.00""	""right sided cva""",
"""1298""",UNKNOWN,true,"""G66..11""	""cva unspecified""",
"""13564""",UNKNOWN,true,"""G613.00""	""cerebellar haemorrhage""",
"""13577""",UNKNOWN,true,"""G67..00""	""other cerebrovascular disease""",
"""13707""",UNKNOWN,true,"""8HBJ.00""	""stroke / transient ischaemic attack referral""",
"""1469""",UNKNOWN,true,"""G66..00""	""stroke and cerebrovascular accident unspecified""",
"""15019""",UNKNOWN,true,"""G641.00""	""cerebral embolism""",
"""15252""",UNKNOWN,true,"""G64z.11""	""brainstem infarction nos""",
"""16507""",UNKNOWN,true,"""G65z100""	""intermittent cerebral ischaemia""",
"""16517""",UNKNOWN,true,"""G640.00""	""cerebral thrombosis""",
"""17322""",UNKNOWN,true,"""G664.00""	""cerebellar stroke syndrome""",
"""17326""",UNKNOWN,true,"""G60X.00""	""subarachnoid haemorrh from intracranial artery, unspecif""",
"""1786""",UNKNOWN,true,"""G60..00""	""subarachnoid haemorrhage""",
"""18604""",UNKNOWN,true,"""G61..12""	""stroke due to intracerebral haemorrhage""",
"""18686""",UNKNOWN,true,"""662e.00""	""stroke/cva annual review""",
"""18689""",UNKNOWN,true,"""G660.00""	""middle cerebral artery syndrome""",
"""18912""",UNKNOWN,true,"""G623.00""	""subdural haemorrhage nos""",
"""19201""",UNKNOWN,true,"""G61X100""	""right sided intracerebral haemorrhage, unspecified""",
"""19260""",UNKNOWN,true,"""G662.00""	""posterior cerebral artery syndrome""",
"""19348""",UNKNOWN,true,"""ZV12511""	""[v]personal history of stroke""",
"""19412""",UNKNOWN,true,"""G602.00""	""subarachnoid haemorrhage from middle cerebral artery""",
"""20284""",UNKNOWN,true,"""G62z.00""	""intracranial haemorrhage nos""",
"""21118""",UNKNOWN,true,"""G651000""	""vertebro-basilar artery syndrome""",
"""2156""",UNKNOWN,true,"""G631.11""	""stenosis, carotid artery""",
"""22677""",UNKNOWN,true,"""G70y011""	""carotid artery disease""",
"""23361""",UNKNOWN,true,"""G68..00""	""late effects of cerebrovascular disease""",
"""23580""",UNKNOWN,true,"""G60z.00""	""subarachnoid haemorrhage nos""",
"""23671""",UNKNOWN,true,"""G63y000""	""cerebral infarct due to thrombosis of precerebral arteries""",
"""23942""",UNKNOWN,true,"""G650.00""	""basilar artery syndrome""",
"""24035""",UNKNOWN,true,"""E031400""	""subacute confusional state, of cerebrovascular origin""",
"""2417""",UNKNOWN,true,"""G65..13""	""vertebro-basilar insufficiency""",
"""2418""",UNKNOWN,true,"""G6...00""	""cerebrovascular disease""",
