code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""10079""",UNKNOWN,true,"""G580.12""	""right heart failure""",
"""101137""",UNKNOWN,true,"""G583.11""	""hfnef - heart failure with normal ejection fraction""",
"""101138""",UNKNOWN,true,"""G583.00""	""heart failure with normal ejection fraction""",
"""10154""",UNKNOWN,true,"""G580.13""	""right ventricular failure""",
"""102585""",UNKNOWN,true,"""8HgD.00""	""discharge from heart failure nurse service""",
"""103732""",UNKNOWN,true,"""8CMK.00""	""has heart failure management plan""",
"""104275""",UNKNOWN,true,"""G584.00""	""right ventricular failure""",
"""104333""",UNKNOWN,true,"""G5yyC00""	""diastolic dysfunction""",
"""104876""",UNKNOWN,true,"""G5yyB00""	""right ventricular diastolic dysfunction""",
"""105002""",UNKNOWN,true,"""679W100""	""education about deteriorating heart failure""",
"""105542""",UNKNOWN,true,"""8CeC.00""	""preferred place of care for next exacerbation heart failure""",
"""106008""",UNKNOWN,true,"""8CMW800""	""heart failure clinical pathway""",
"""106198""",UNKNOWN,true,"""661M500""	""heart failure self-management plan agreed""",
"""106545""",UNKNOWN,true,"""9m5..00""	""high risk of heart failure screening invitation""",
"""106680""",UNKNOWN,true,"""8HTL000""	""referral to rapid access heart failure clinic""",
"""106894""",UNKNOWN,true,"""8IE1.00""	""referral to heart failure exercise programme declined""",
"""106897""",UNKNOWN,true,"""G583.12""	""heart failure with preserved ejection fraction""",
"""107981""",UNKNOWN,true,"""8IE0.00""	""referral to heart failure education group declined""",
"""11284""",UNKNOWN,true,"""585f.00""	""echocardiogram shows left ventricular systolic dysfunction""",
"""11351""",UNKNOWN,true,"""585g.00""	""echocardiogram shows left ventricular diastolic dysfunction""",
"""11424""",UNKNOWN,true,"""G580300""	""compensated cardiac failure""",
"""1223""",UNKNOWN,true,"""G58..11""	""cardiac failure""",
"""12366""",UNKNOWN,true,"""662T.00""	""congestive heart failure monitoring""",
"""12550""",UNKNOWN,true,"""G5yyA00""	""left ventricular diastolic dysfunction""",
"""12590""",UNKNOWN,true,"""G58z.11""	""weak heart""",
"""12627""",UNKNOWN,true,"""9N0k.00""	""seen in heart failure clinic""",
"""13189""",UNKNOWN,true,"""662g.00""	""new york heart association classification - class ii""",
"""15058""",UNKNOWN,true,"""14A6.00""	""h/o: heart failure""",
"""17278""",UNKNOWN,true,"""G58z.12""	""cardiac failure nos""",
"""17851""",UNKNOWN,true,"""8HBE.00""	""heart failure follow-up""",
"""18853""",UNKNOWN,true,"""662f.00""	""new york heart association classification - class i""",
"""19002""",UNKNOWN,true,"""9N2p.00""	""seen by community heart failure nurse""",
"""19066""",UNKNOWN,true,"""662h.00""	""new york heart association classification - class iii""",
"""19380""",UNKNOWN,true,"""9Or0.00""	""heart failure review completed""",
"""20324""",UNKNOWN,true,"""R2y1000""	""[d]cardiorespiratory failure""",
"""2062""",UNKNOWN,true,"""G58..00""	""heart failure""",
"""20822""",UNKNOWN,true,"""Q48y100""	""congenital cardiac failure""",
"""22262""",UNKNOWN,true,"""G1yz100""	""rheumatic left ventricular failure""",
"""23481""",UNKNOWN,true,"""G581.11""	""asthma - cardiac""",
"""23566""",UNKNOWN,true,"""Q490.00""	""neonatal cardiac failure""",
"""23707""",UNKNOWN,true,"""G580000""	""acute congestive heart failure""",
"""24503""",UNKNOWN,true,"""8B29.00""	""cardiac failure therapy""",
"""26115""",UNKNOWN,true,"""8HHb.00""	""referral to heart failure nurse""",
"""26242""",UNKNOWN,true,"""ZRad.00""	""new york heart assoc classification heart failure symptoms""",
"""27884""",UNKNOWN,true,"""G580200""	""decompensated cardiac failure""",
"""27964""",UNKNOWN,true,"""G582.00""	""acute heart failure""",
"""2906""",UNKNOWN,true,"""G580.11""	""congestive cardiac failure""",
"""30749""",UNKNOWN,true,"""9hH0.00""	""excepted heart failure quality indicators: patient unsuitabl""",
"""30779""",UNKNOWN,true,"""662W.00""	""heart failure annual review""",
"""32671""",UNKNOWN,true,"""G580100""	""chronic congestive heart failure""",
"""32898""",UNKNOWN,true,"""8H2S.00""	""admit heart failure emergency""",
"""32911""",UNKNOWN,true,"""9Or..00""	""heart failure monitoring administration""",
"""32945""",UNKNOWN,true,"""8CL3.00""	""heart failure care plan discussed with patient""",
"""398""",UNKNOWN,true,"""G580.00""	""congestive heart failure""",
"""4024""",UNKNOWN,true,"""G58z.00""	""heart failure nos""",
"""46672""",UNKNOWN,true,"""388D.00""	""new york heart assoc classification heart failure symptoms""",
"""46912""",UNKNOWN,true,"""14AM.00""	""h/o: heart failure in last year""",
"""48897""",UNKNOWN,true,"""8HTL.00""	""referral to heart failure clinic""",
"""51214""",UNKNOWN,true,"""662i.00""	""new york heart association classification - class iv""",
"""5255""",UNKNOWN,true,"""G581000""	""acute left ventricular failure""",
"""5942""",UNKNOWN,true,"""G581.13""	""impaired left ventricular function""",
"""60099""",UNKNOWN,true,"""67D4.00""	""heart failure information given to patient""",
"""63548""",UNKNOWN,true,"""SP11200""	""cardiorespiratory failure as a complication of care""",
"""64062""",UNKNOWN,true,"""9hH1.00""	""excepted heart failure quality indicators: informed dissent""",
"""66306""",UNKNOWN,true,"""SP11111""	""heart failure as a complication of care""",
"""68682""",UNKNOWN,true,"""SP11100""	""cardiac insufficiency as a complication of care""",
"""69062""",UNKNOWN,true,"""9N6T.00""	""referred by heart failure nurse specialist""",
"""70619""",UNKNOWN,true,"""8HHz.00""	""referral to heart failure exercise programme""",
"""71235""",UNKNOWN,true,"""8Hk0.00""	""referred to heart failure education group""",
"""72386""",UNKNOWN,true,"""9Or4.00""	""heart failure monitoring second letter""",
"""72965""",UNKNOWN,true,"""9Or3.00""	""heart failure monitoring first letter""",
"""83502""",UNKNOWN,true,"""662p.00""	""heart failure 6 month review""",
"""884""",UNKNOWN,true,"""G581.00""	""left ventricular failure""",
"""89650""",UNKNOWN,true,"""9Or5.00""	""heart failure monitoring third letter""",
"""8966""",UNKNOWN,true,"""G5yy900""	""left ventricular systolic dysfunction""",
"""90192""",UNKNOWN,true,"""9Or2.00""	""heart failure monitoring verbal invite""",
"""90193""",UNKNOWN,true,"""9Or1.00""	""heart failure monitoring telephone invite""",
"""90935""",UNKNOWN,true,"""9hH..00""	""exception reporting: heart failure quality indicators""",
"""91288""",UNKNOWN,true,"""8Hg8.00""	""discharge from practice nurse heart failure clinic""",
"""94870""",UNKNOWN,true,"""G580400""	""congestive heart failure due to valvular disease""",
"""95021""",UNKNOWN,true,"""9N4s.00""	""did not attend practice nurse heart failure clinic""",
"""9524""",UNKNOWN,true,"""G580.14""	""biventricular failure""",
"""95835""",UNKNOWN,true,"""679X.00""	""heart failure education""",
"""96799""",UNKNOWN,true,"""G5y4z00""	""post cardiac operation heart failure nos""",
"""9913""",UNKNOWN,true,"""1O1..00""	""heart failure confirmed""",
"""2906""",UNKNOWN,true,"""4270C""	""congestive cardiac failure""",
"""398""",UNKNOWN,true,"""4270""	""congestive heart failure""",
"""2062""",UNKNOWN,true,"""7824FH""	""heart failure""",
"""12590""",UNKNOWN,true,"""7824BW""	""weak heart""",
"""21837""",UNKNOWN,true,"""G232.00""	""hypertensive heart&renal dis wth (congestive) heart failure""",
"""27438""",UNKNOWN,true,"""J615700""	""cardiac portal cirrhosis""",
"""52127""",UNKNOWN,true,"""G211100""	""benign hypertensive heart disease with ccf""",
"""57987""",UNKNOWN,true,"""G234.00""	""hyperten heart&renal dis+both(congestv)heart and renal fail""",
"""62718""",UNKNOWN,true,"""G21z100""	""hypertensive heart disease nos with ccf""",
"""72668""",UNKNOWN,true,"""G210100""	""malignant hypertensive heart disease with ccf""",
"""18793""",UNKNOWN,true,"""9On..00""	""left ventricular dysfunction monitoring administration""",
"""60710""",UNKNOWN,true,"""9On0.00""	""left ventricular dysfunction monitoring first letter""",
"""60721""",UNKNOWN,true,"""9On1.00""	""left ventricular dysfunction monitoring second letter""",
"""72341""",UNKNOWN,true,"""9On2.00""	""left ventricular dysfunction monitoring third letter""",
"""83481""",UNKNOWN,true,"""9N4w.00""	""did not attend heart failure clinic""",
"""92305""",UNKNOWN,true,"""9On3.00""	""left ventricular dysfunction monitoring verbal invite""",
"""96484""",UNKNOWN,true,"""9On4.00""	""left ventricular dysfunction monitoring telephone invite""",
"""106836""",UNKNOWN,true,"""8IB8.00""	""referral to heart failure exercise programme not indicated""",
"""107397""",UNKNOWN,true,"""G5yyD00""	""left ventricular cardiac dysfunction""",
"""108180""",UNKNOWN,true,"""G5yyE00""	""right ventricular systolic dysfunction""",
"""110101""",UNKNOWN,true,"""8I98.00""	""heart failure rehabilitation programme not available""",
"""111428""",UNKNOWN,true,"""2JZ..00""	""on optimal heart failure therapy""",
"""112120""",UNKNOWN,true,"""L09y200""	""cardiac failure following abortive pregnancy""",
"""114261""",UNKNOWN,true,"""661N500""	""heart failure self-management plan review""",
"""115304""",UNKNOWN,true,"""8B31F00""	""heart failure medication review""",
"""115338""",UNKNOWN,true,"""G585.00""	""heart failure with reduced ejection fraction""",
"""115384""",UNKNOWN,true,"""9hH2.00""	""excepted from heart failure quality indicators: service unav""",
