code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""CleansedReadCode""	""Term""	""cat""",
"""459694018""",UNKNOWN,true,"""13AB.00""	""diabetic lipid lowering diet""	""Unknown""",
"""459695017""",UNKNOWN,true,"""13AC.00""	""diabetic weight reducing diet""	""Unknown""",
"""250447011""",UNKNOWN,true,"""13B1.00""	""diabetic diet""	""Unknown""",
"""418920011""",UNKNOWN,true,"""13L4.11""	""diabetic child""	""Unknown""",
"""251187019""",UNKNOWN,true,"""13Y1.00""	""diabetic association member""	""Unknown""",
"""251591016""",UNKNOWN,true,"""1434""	""h/o: diabetes mellitus""	""Unknown""",
"""453100011""",UNKNOWN,true,"""14F4.00""	""h/o: admission in last year for diabetes foot problem""	""Unknown""",
"""1752811000000118""",UNKNOWN,true,"""1IA..00""	""no evidence of diabetic nephropathy""	""Unknown""",
"""169731000006118""",UNKNOWN,true,"""2BBF.00""	""retinal abnormality - diabetes related""	""Unknown""",
"""1484883016""",UNKNOWN,true,"""2BBJ.00""	""o/e - no right diabetic retinopathy""	""Unknown""",
"""975251000006111""",UNKNOWN,true,"""2BBk.00""	""o/e - right eye stable treated prolif diabetic retinopathy""	""Unknown""",
"""1484886012""",UNKNOWN,true,"""2BBK.00""	""o/e - no left diabetic retinopathy""	""Unknown""",
"""975261000006113""",UNKNOWN,true,"""2BBl.00""	""o/e - left eye stable treated prolif diabetic retinopathy""	""Unknown""",
"""1484887015""",UNKNOWN,true,"""2BBL.00""	""o/e - diabetic maculopathy present both eyes""	""Unknown""",
"""1484888013""",UNKNOWN,true,"""2BBM.00""	""o/e - diabetic maculopathy absent both eyes""	""Unknown""",
"""2549896013""",UNKNOWN,true,"""2BBo.00""	""o/e - sight threatening diabetic retinopathy""	""Unknown""",
"""2159973010""",UNKNOWN,true,"""2BBP.00""	""o/e - right eye background diabetic retinopathy""	""Unknown""",
"""2159974016""",UNKNOWN,true,"""2BBQ.00""	""o/e - left eye background diabetic retinopathy""	""Unknown""",
"""733161000000116""",UNKNOWN,true,"""2BBr.00""	""impaired vision due to diabetic retinopathy""	""Unknown""",
"""2159975015""",UNKNOWN,true,"""2BBR.00""	""o/e - right eye preproliferative diabetic retinopathy""	""Unknown""",
"""2159976019""",UNKNOWN,true,"""2BBS.00""	""o/e - left eye preproliferative diabetic retinopathy""	""Unknown""",
"""2159977011""",UNKNOWN,true,"""2BBT.00""	""o/e - right eye proliferative diabetic retinopathy""	""Unknown""",
"""2159978018""",UNKNOWN,true,"""2BBV.00""	""o/e - left eye proliferative diabetic retinopathy""	""Unknown""",
"""2159979014""",UNKNOWN,true,"""2BBW.00""	""o/e - right eye diabetic maculopathy""	""Unknown""",
"""2159980012""",UNKNOWN,true,"""2BBX.00""	""o/e - left eye diabetic maculopathy""	""Unknown""",
"""451410016""",UNKNOWN,true,"""2G5A.00""	""o/e - right diabetic foot at risk""	""Unknown""",
"""451411017""",UNKNOWN,true,"""2G5B.00""	""o/e - left diabetic foot at risk""	""Unknown""",
"""764201000006110""",UNKNOWN,true,"""2G5C.00""	""foot abnormality - diabetes related""	""Unknown""",
"""1666911000000113""",UNKNOWN,true,"""2G5d.00""	""o/e - left diabetic foot at increased risk""	""Unknown""",
"""1666931000000117""",UNKNOWN,true,"""2G5e.00""	""o/e - right diabetic foot at increased risk""	""Unknown""",
"""1488393013""",UNKNOWN,true,"""2G5E.00""	""o/e - right diabetic foot at low risk""	""Unknown""",
"""1488404014""",UNKNOWN,true,"""2G5F.00""	""o/e - right diabetic foot at moderate risk""	""Unknown""",
"""1488394019""",UNKNOWN,true,"""2G5G.00""	""o/e - right diabetic foot at high risk""	""Unknown""",
"""1488395018""",UNKNOWN,true,"""2G5H.00""	""o/e - right diabetic foot - ulcerated""	""Unknown""",
"""1488397014""",UNKNOWN,true,"""2G5I.00""	""o/e - left diabetic foot at low risk""	""Unknown""",
"""1488403015""",UNKNOWN,true,"""2G5J.00""	""o/e - left diabetic foot at moderate risk""	""Unknown""",
"""1488398016""",UNKNOWN,true,"""2G5K.00""	""o/e - left diabetic foot at high risk""	""Unknown""",
"""1488396017""",UNKNOWN,true,"""2G5L.00""	""o/e - left diabetic foot - ulcerated""	""Unknown""",
"""2532977011""",UNKNOWN,true,"""2G5V.00""	""o/e - right chronic diabetic foot ulcer""	""Unknown""",
"""2532976019""",UNKNOWN,true,"""2G5W.00""	""o/e - left chronic diabetic foot ulcer""	""Unknown""",
"""453050019""",UNKNOWN,true,"""3881.00""	""education score - diabetes""	""Unknown""",
"""616821000006116""",UNKNOWN,true,"""3882.00""	""diabetes well being questionnaire""	""Unknown""",
"""408811014""",UNKNOWN,true,"""3883.00""	""diabetes treatment satisfaction questionnaire""	""Unknown""",
"""453910015""",UNKNOWN,true,"""42c..00""	""hba1 - diabetic control""	""Unknown""",
"""404444016""",UNKNOWN,true,"""42W..00""	""hb. a1c - diabetic control""	""Unknown""",
"""257623014""",UNKNOWN,true,"""42WZ.00""	""hb. a1c - diabetic control nos""	""Unknown""",
"""259365016""",UNKNOWN,true,"""44V3.00""	""glucose tol. test diabetic""	""Unknown""",
"""2117891000000114""",UNKNOWN,true,"""661M400""	""diabetes self-management plan agreed""	""Unknown""",
"""2115761000000117""",UNKNOWN,true,"""661N400""	""diabetes self-management plan review""	""Unknown""",
"""264676010""",UNKNOWN,true,"""66A..00""	""diabetic monitoring""	""Unknown""",
"""264677018""",UNKNOWN,true,"""66A1.00""	""initial diabetic assessment""	""Unknown""",
"""264678011""",UNKNOWN,true,"""66A2.00""	""follow-up diabetic assessment""	""Unknown""",
"""264679015""",UNKNOWN,true,"""66A3.00""	""diabetic on diet only""	""Type 2""",
"""264681018""",UNKNOWN,true,"""66A4.00""	""diabetic on oral treatment""	""Type 2""",
"""264682013""",UNKNOWN,true,"""66A5.00""	""diabetic on insulin""	""Unknown""",
"""264693010""",UNKNOWN,true,"""66A8.00""	""has seen dietician - diabetes""	""Unknown""",
"""264695015""",UNKNOWN,true,"""66A9.00""	""understands diet - diabetes""	""Unknown""",
"""63041000000111""",UNKNOWN,true,"""66Aa.00""	""diabetic diet - poor compliance""	""Unknown""",
"""777231000006119""",UNKNOWN,true,"""66AA.11""	""injection sites - diabetic""	""Unknown""",
"""1780386019""",UNKNOWN,true,"""66Ab.00""	""diabetic foot examination""	""Unknown""",
"""1780286017""",UNKNOWN,true,"""66Ac.00""	""diabetic peripheral neuropathy screening""	""Unknown""",
"""2533107019""",UNKNOWN,true,"""66Af.00""	""patient diabetes education review""	""Unknown""",
"""264704018""",UNKNOWN,true,"""66AG.00""	""diabetic drug side effects""	""Unknown""",
"""264705017""",UNKNOWN,true,"""66AH.00""	""diabetic treatment changed""	""Unknown""",
"""2262381000000117""",UNKNOWN,true,"""66AH200""	""conversion to insulin by diabetes specialist nurse""	""Unknown""",
"""299261000000111""",UNKNOWN,true,"""66Ai.00""	""diabetic 6 month review""	""Unknown""",
"""264707013""",UNKNOWN,true,"""66AI.00""	""diabetic - good control""	""Unknown""",
"""401531012""",UNKNOWN,true,"""66AJ.00""	""diabetic - poor control""	""Unknown""",
"""411891014""",UNKNOWN,true,"""66AJ.11""	""unstable diabetes""	""Unknown""",
"""19931010""",UNKNOWN,true,"""66AJ100""	""brittle diabetes""	""Unknown""",
"""264716012""",UNKNOWN,true,"""66AJz00""	""diabetic - poor control nos""	""Unknown""",
"""301611000000118""",UNKNOWN,true,"""66Ak.00""	""diabetic monitoring - lower risk albumin excretion""	""Unknown""",
"""264717015""",UNKNOWN,true,"""66AK.00""	""diabetic - cooperative patient""	""Unknown""",
"""301641000000117""",UNKNOWN,true,"""66Al.00""	""diabetic monitoring - higher risk albumin excretion""	""Unknown""",
"""264718013""",UNKNOWN,true,"""66AL.00""	""diabetic-uncooperative patient""	""Unknown""",
"""264719017""",UNKNOWN,true,"""66AM.00""	""diabetic - follow-up default""	""Unknown""",
"""479511000000117""",UNKNOWN,true,"""66An.00""	""diabetes type 1 review""	""Type 1""",
"""264720011""",UNKNOWN,true,"""66AN.00""	""date diabetic treatment start""	""Unknown""",
"""479571000000110""",UNKNOWN,true,"""66Ao.00""	""diabetes type 2 review""	""Type 2""",
"""607851000006113""",UNKNOWN,true,"""66AO.00""	""date diabetic treatment stopp.""	""Unknown""",
"""264723013""",UNKNOWN,true,"""66AP.00""	""diabetes: practice programme""	""Unknown""",
"""692951000000111""",UNKNOWN,true,"""66Aq.00""	""diabetic foot screen""	""Unknown""",
"""264724019""",UNKNOWN,true,"""66AQ.00""	""diabetes: shared care programme""	""Unknown""",
"""1139821000000110""",UNKNOWN,true,"""66AQ000""	""unsuitable for diabetes year of care programme""	""Unknown""",
"""1139861000000119""",UNKNOWN,true,"""66AQ100""	""declined consent for diabetes year of care programme""	""Unknown""",
"""264726017""",UNKNOWN,true,"""66AR.00""	""diabetes management plan given""	""Unknown""",
"""1177721000000112""",UNKNOWN,true,"""66As.00""	""diabetic on subcutaneous treatment""	""Unknown""",
"""264727014""",UNKNOWN,true,"""66AS.00""	""diabetic annual review""	""Unknown""",
"""2287311000000111""",UNKNOWN,true,"""66AS000""	""diabetes year of care annual review""	""Unknown""",
"""1658821000000117""",UNKNOWN,true,"""66At.00""	""diabetic dietary review""	""Unknown""",
"""264728016""",UNKNOWN,true,"""66AT.00""	""annual diabetic blood test""	""Unknown""",
"""1658861000000113""",UNKNOWN,true,"""66At000""	""type i diabetic dietary review""	""Type 1""",
"""1665751000000119""",UNKNOWN,true,"""66At011""	""type 1 diabetic dietary review""	""Type 1""",
"""1658901000000118""",UNKNOWN,true,"""66At100""	""type ii diabetic dietary review""	""Type 2""",
"""1665721000000112""",UNKNOWN,true,"""66At111""	""type 2 diabetic dietary review""	""Type 2""",
"""1734281000000117""",UNKNOWN,true,"""66Au.00""	""diabetic erectile dysfunction review""	""Unknown""",
"""216195015""",UNKNOWN,true,"""66AU.00""	""diabetes care by hospital only""	""Unknown""",
"""1734721000000114""",UNKNOWN,true,"""66Av.00""	""diabetic assessment of erectile dysfunction""	""Unknown""",
"""458512016""",UNKNOWN,true,"""66AV.00""	""diabetic on insulin and oral treatment""	""Type 2""",
"""1488405010""",UNKNOWN,true,"""66AW.00""	""diabetic foot risk assessment""	""Unknown""",
"""845341000006111""",UNKNOWN,true,"""66AX.00""	""diabetes: shared care in pregnancy - diabetol and obstet""	""Poss gestational""",
"""63021000000116""",UNKNOWN,true,"""66AY.00""	""diabetic diet - good compliance""	""Unknown""",
"""264729012""",UNKNOWN,true,"""66AZ.00""	""diabetic monitoring nos""	""Unknown""",
"""1884591000006118""",UNKNOWN,true,"""66o..00""	""further diabetic monitoring""	""Unknown""",
"""1488406011""",UNKNOWN,true,"""6761.00""	""diabetic pre-pregnancy counselling""	""Unknown""",
"""2693189019""",UNKNOWN,true,"""679L.00""	""health education - diabetes""	""Unknown""",
"""1164191000000111""",UNKNOWN,true,"""679L000""	""education in self management of diabetes""	""Unknown""",
"""2279261000000115""",UNKNOWN,true,"""679L200""	""education about diabetes and driving""	""Unknown""",
"""2279291000000114""",UNKNOWN,true,"""679L211""	""advice about diabetes and driving""	""Unknown""",
"""2549196011""",UNKNOWN,true,"""679R.00""	""patient offered diabetes structured education programme""	""Unknown""",
"""2156571000000116""",UNKNOWN,true,"""67D8.00""	""provision of diabetes clinical summary""	""Unknown""",
"""1767201000006118""",UNKNOWN,true,"""67IJ100""	""pre-conception advice for diabetes mellitus""	""Unknown""",
"""216201011""",UNKNOWN,true,"""68A7.00""	""diabetic retinopathy screening""	""Unknown""",
"""2548205017""",UNKNOWN,true,"""68A9.00""	""diabetic retinopathy screening offered""	""Unknown""",
"""405561000000113""",UNKNOWN,true,"""68AB.00""	""diabetic digital retinopathy screening offered""	""Unknown""",
"""2474726011""",UNKNOWN,true,"""7276.00""	""pan retinal photocoagulation for diabetes""	""Unknown""",
"""282568013""",UNKNOWN,true,"""8A12.00""	""diabetic crisis monitoring""	""Unknown""",
"""282570016""",UNKNOWN,true,"""8A13.00""	""diabetic stabilisation""	""Unknown""",
"""1488441010""",UNKNOWN,true,"""8B3l.00""	""diabetes medication review""	""Unknown""",
"""2159170012""",UNKNOWN,true,"""8BL2.00""	""patient on maximal tolerated therapy for diabetes""	""Unknown""",
"""200111000006116""",UNKNOWN,true,"""8CA4100""	""pt advised re diabetic diet""	""Unknown""",
"""283027015""",UNKNOWN,true,"""8CE0.00""	""diabetic leaflet given""	""Unknown""",
"""2205911000000116""",UNKNOWN,true,"""8CMW700""	""diabetes clinical pathway""	""Unknown""",
"""2532974016""",UNKNOWN,true,"""8CP2.00""	""transition of diabetes care options discussed""	""Unknown""",
"""2474334019""",UNKNOWN,true,"""8CR2.00""	""diabetes clinical management plan""	""Unknown""",
"""2548271013""",UNKNOWN,true,"""8CS0.00""	""diabetes care plan agreed""	""Unknown""",
"""283544013""",UNKNOWN,true,"""8H2J.00""	""admit diabetic emergency""	""Unknown""",
"""283584016""",UNKNOWN,true,"""8H3O.00""	""non-urgent diabetic admission""	""Unknown""",
