code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""cat""",
"""100033""",UNKNOWN,true,"""U60231E""	""[x] adverse reaction to insulins and antidiabetic agents nos""	""Unknown""",
"""100347""",UNKNOWN,true,"""C10A500""	""malnutritn-relat diabetes melitus wth periph circul complctn""	""Other""",
"""100422""",UNKNOWN,true,"""8HgC.00""	""discharged from diabetes shared care programme""	""Unknown""",
"""100436""",UNKNOWN,true,"""679L000""	""education in self management of diabetes""	""Unknown""",
"""100533""",UNKNOWN,true,"""66AQ000""	""unsuitable for diabetes year of care programme""	""Unknown""",
"""100770""",UNKNOWN,true,"""C10EF12""	""insulin dependent diabetes mellitus with diabetic cataract""	""Type 1""",
"""100964""",UNKNOWN,true,"""C10F111""	""type ii diabetes mellitus with ophthalmic complications""	""Type 2""",
"""10098""",UNKNOWN,true,"""C10yy00""	""other specified diabetes mellitus with other spec comps""	""Other""",
"""10099""",UNKNOWN,true,"""F420300""	""advanced diabetic maculopathy""	""Unknown""",
"""101177""",UNKNOWN,true,"""66At.00""	""diabetic dietary review""	""Unknown""",
"""101190""",UNKNOWN,true,"""66AQ100""	""declined consent for diabetes year of care programme""	""Unknown""",
"""101311""",UNKNOWN,true,"""C10EC12""	""insulin dependent diabetes mellitus with polyneuropathy""	""Type 1""",
"""101455""",UNKNOWN,true,"""9OLN.00""	""diabetes monitor invitation by sms (short message service)""	""Unknown""",
"""101456""",UNKNOWN,true,"""8IAs.00""	""diabetic dietary review declined""	""Unknown""",
"""101728""",UNKNOWN,true,"""66As.00""	""diabetic on subcutaneous treatment""	""Unknown""",
"""101735""",UNKNOWN,true,"""C10E212""	""insulin-dependent diabetes mellitus with neurological comps""	""Type 1""",
"""101801""",UNKNOWN,true,"""66At100""	""type ii diabetic dietary review""	""Type 2""",
"""101834""",UNKNOWN,true,"""9h43.00""	""excepted from diabetes qual indicators: service unavailable""	""Unknown""",
"""101881""",UNKNOWN,true,"""2BBr.00""	""impaired vision due to diabetic retinopathy""	""Unknown""",
"""102112""",UNKNOWN,true,"""C10E611""	""type i diabetes mellitus with gangrene""	""Type 1""",
"""102163""",UNKNOWN,true,"""C10ED12""	""insulin dependent diabetes mellitus with nephropathy""	""Type 1""",
"""102201""",UNKNOWN,true,"""C10FC11""	""type ii diabetes mellitus with nephropathy""	""Type 2""",
"""102434""",UNKNOWN,true,"""66Au.00""	""diabetic erectile dysfunction review""	""Unknown""",
"""102490""",UNKNOWN,true,"""66Av.00""	""diabetic assessment of erectile dysfunction""	""Unknown""",
"""102611""",UNKNOWN,true,"""66At111""	""type 2 diabetic dietary review""	""Type 2""",
