code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""GLP-1RA""",
"""4149341000033111""",UNKNOWN,true,"""Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Exenatide""	""250.000microgram/1.000ml""	""06010203""	""Exenatide""",
"""4149441000033117""",UNKNOWN,true,"""Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Exenatide""	""250.000microgram/1.000ml""	""06010203""	""Exenatide""",
"""4149541000033116""",UNKNOWN,true,"""Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Exenatide""	""250.000microgram/1.000ml""	NA	""Exenatide""",
"""4149641000033115""",UNKNOWN,true,"""Byetta 10micrograms/0.04ml solution for injection 2.4ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Exenatide""	""250.000microgram/1.000ml""	NA	""Exenatide""",
"""5131241000033110""",UNKNOWN,true,"""Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Liraglutide""	""6.000mg/1.000ml""	""06010203""	""Liraglutide""",
"""5131341000033117""",UNKNOWN,true,"""Victoza 6mg/ml solution for injection 3ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Liraglutide""	""6.000mg/1.000ml""	NA	""Liraglutide""",
"""6388241000033117""",UNKNOWN,true,"""Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Exenatide""	""2.000mg""	""06010203""	""Exenatide""",
"""6388341000033110""",UNKNOWN,true,"""Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Exenatide""	""2.000mg""	NA	""Exenatide""",
"""8267341000033110""",UNKNOWN,true,"""Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""50.000microgram/1.000ml""	""06010203""	""Lixisenatide""",
"""8267441000033116""",UNKNOWN,true,"""Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""100.000microgram/1.000ml""	""06010203""	""Lixisenatide""",
"""8267541000033115""",UNKNOWN,true,"""Lyxumia 10micrograms/0.2ml solution for injection 3ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""50.000microgram/1.000ml""	NA	""Lixisenatide""",
"""8267641000033119""",UNKNOWN,true,"""Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Lixisenatide""	""100.000microgram/1.000ml""	NA	""Lixisenatide""",
"""8268441000033115""",UNKNOWN,true,"""Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices""	""Not applicable""	""Route of administration not applicable""	""Lixisenatide""	NA	""06010203""	""Lixisenatide""",
"""8268641000033118""",UNKNOWN,true,"""Lyxumia 10micrograms/20micrograms treatment initiation pack""	""Not applicable""	NA	""Lixisenatide""	NA	NA	""Lixisenatide""",
"""10042541000033117""",UNKNOWN,true,"""Exenatide  Prolonged release suspension for injection  2 mg device""	""Solution for injection""	""Intramuscular""	""Exenatide""	NA	NA	""Exenatide""",
"""10042641000033116""",UNKNOWN,true,"""Bydureon  Prolonged release suspension for injection  2 mg pen""	""Solution for injection""	""Intramuscular""	""Exenatide""	NA	NA	""Exenatide""",
"""10044541000033113""",UNKNOWN,true,"""Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Liraglutide""	""100.000unit/1.000ml + 100.000unit/1.000ml + 3.600mg/1.000ml""	""06010203""	""Liraglutide""",
