code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""GLP-1RA""",
"""89568""",UNKNOWN,true,"106	""Semaglutide 1.7mg/0.75ml solution for injection 3ml pre-filled disposable devices""	""Semaglutide""	""2.27mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""90172""",UNKNOWN,true,"1734	""Tirzepatide 5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Tirzepatide""	""8.333mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""46469""",UNKNOWN,true,"23260	""Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd)""	""Exenatide""	""2mg""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""69548""",UNKNOWN,true,"3507	""Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Liraglutide""	""6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Liraglutide""",
"""63785""",UNKNOWN,true,"18682	""Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices""	""Dulaglutide""	""1.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""90626""",UNKNOWN,true,"0	""Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Pharmaram Ltd)""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""62661""",UNKNOWN,true,"30396	""Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)""	""Exenatide""	""2mg""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""35149""",UNKNOWN,true,"125400	""Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices""	""Exenatide""	""250microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""55459""",UNKNOWN,true,"2259	""Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices""	""Lixisenatide""	""50microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Lixisenatide""",
"""75740""",UNKNOWN,true,"7486	""Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""75397""",UNKNOWN,true,"11292	""Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable devices""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""35144""",UNKNOWN,true,"9730	""Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens (AstraZeneca UK Ltd)""	""Exenatide""	""250microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""80987""",UNKNOWN,true,"1159	""Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices""	""Exenatide""	""2.353mg/1ml""	""Prolonged-release suspension for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""90199""",UNKNOWN,true,"444	""Tirzepatide 7.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Tirzepatide""	""12.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""82709""",UNKNOWN,true,"31385	""Semaglutide 7mg tablets""	""Semaglutide""	""7mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""89358""",UNKNOWN,true,"957	""Wegovy FlexTouch 1mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""90048""",UNKNOWN,true,"9593	""Mounjaro KwikPen 2.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""4.167mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""83130""",UNKNOWN,true,"13953	""Dulaglutide 3mg/0.5ml solution for injection pre-filled disposable devices""	""Dulaglutide""	""6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""76021""",UNKNOWN,true,"38911	""Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""35251""",UNKNOWN,true,"21194	""Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices""	""Exenatide""	""250microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""83847""",UNKNOWN,true,"8766	""Trulicity 4.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)""	""Dulaglutide""	""9mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""89608""",UNKNOWN,true,"44	""Semaglutide 2.4mg/0.75ml solution for injection 3ml pre-filled disposable devices""	""Semaglutide""	""3.2mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""90536""",UNKNOWN,true,"734	""Mounjaro KwikPen 12.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""20.833mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""83875""",UNKNOWN,true,"1	""Insulin glargine 100units/ml / Lixisenatide 33micrograms/ml solution for injection 3ml pre-filled disposable devices""	""Lixisenatide""	""33microgram/1ml + 100unit/1ml""	""Solution for injection""	""Subcutaneous""	""Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin""	""Lixisenatide""",
"""62899""",UNKNOWN,true,"49190	""Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Liraglutide""	""100unit/1ml + 3.6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin""	""Liraglutide""",
"""55729""",UNKNOWN,true,"12903	""Lyxumia 20micrograms/0.2ml solution for injection 3ml pre-filled pens (Sanofi)""	""Lixisenatide""	""100microgram/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Lixisenatide""",
"""63336""",UNKNOWN,true,"151841	""Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)""	""Dulaglutide""	""3mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""",
"""75938""",UNKNOWN,true,"27620	""Ozempic 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""46458""",UNKNOWN,true,"8624	""Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials""	""Exenatide""	""2mg""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""89476""",UNKNOWN,true,"838	""Wegovy FlexTouch 2.4mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""3.2mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""55723""",UNKNOWN,true,"812	""Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices""	""Lixisenatide""	NA	""Not applicable""	""Route of administration not applicable""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Lixisenatide""",
"""91455""",UNKNOWN,true,"0	""Rybelsus 7mg tablets (Pharmaram Ltd)""	""Semaglutide""	""7mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
