code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""259307010""",UNKNOWN,true,"""blood glucose method""	""Aurum""",
"""259310015""",UNKNOWN,true,"""random blood sugar normal""	""Aurum""",
"""259311016""",UNKNOWN,true,"""random blood sugar low""	""Aurum""",
"""259312011""",UNKNOWN,true,"""random blood sugar raised""	""Aurum""",
"""259320013""",UNKNOWN,true,"""laboratory blood sugar""	""Aurum""",
"""259327011""",UNKNOWN,true,"""glucometer blood sugar""	""Aurum""",
"""259341019""",UNKNOWN,true,"""blood glucose method""	""Aurum""",
"""259346012""",UNKNOWN,true,"""blood glucose 0-1.4 mmol/l""	""Aurum""",
"""259347015""",UNKNOWN,true,"""blood glucose 1.5-2.4 mmol/l""	""Aurum""",
"""259348013""",UNKNOWN,true,"""blood glucose 2.5-4.9 mmol/l""	""Aurum""",
"""259349017""",UNKNOWN,true,"""blood glucose 5-6.9 mmol/l""	""Aurum""",
"""259350017""",UNKNOWN,true,"""blood glucose 7-9.9 mmol/l""	""Aurum""",
"""259351018""",UNKNOWN,true,"""blood glucose 10-13.9 mmol/l""	""Aurum""",
"""259353015""",UNKNOWN,true,"""blood glucose normal""	""Aurum""",
"""259356011""",UNKNOWN,true,"""blood glucose abnormal""	""Aurum""",
"""259357019""",UNKNOWN,true,"""blood glucose 14+ mmol/l""	""Aurum""",
"""259358012""",UNKNOWN,true,"""high glucose level in blood""	""Aurum""",
"""259364017""",UNKNOWN,true,"""glucose tol. test impaired""	""Aurum""",
"""259584017""",UNKNOWN,true,"""serum random glucose level""	""Aurum""",
"""259587012""",UNKNOWN,true,"""serum fasting glucose level""	""Aurum""",
"""259588019""",UNKNOWN,true,"""serum 2 hours post-prandial glucose level""	""Aurum""",
"""259597015""",UNKNOWN,true,"""plasma random glucose level""	""Aurum""",
"""259598013""",UNKNOWN,true,"""plasma fasting glucose level""	""Aurum""",
"""259601015""",UNKNOWN,true,"""plasma 2 hours post-prandial glucose level""	""Aurum""",
"""259789013""",UNKNOWN,true,"""urine glucose test not done""	""Aurum""",
"""259790016""",UNKNOWN,true,"""urine glucose test negative""	""Aurum""",
"""259791017""",UNKNOWN,true,"""urine glucose test = trace""	""Aurum""",
"""259794013""",UNKNOWN,true,"""urine glucose test = +""	""Aurum""",
"""259795014""",UNKNOWN,true,"""urine glucose test = ++""	""Aurum""",
"""259796010""",UNKNOWN,true,"""urine glucose test = +++""	""Aurum""",
"""259797018""",UNKNOWN,true,"""urine glucose test = ++++""	""Aurum""",
"""259800016""",UNKNOWN,true,"""urine glucose test nos""	""Aurum""",
"""260209019""",UNKNOWN,true,"""urine glucose: chem. titre""	""Aurum""",
"""260533012""",UNKNOWN,true,"""faecal sugars - general nos""	""Aurum""",
"""260540013""",UNKNOWN,true,"""glucose present in stool specimen by chromatography""	""Aurum""",
"""264676010""",UNKNOWN,true,"""diabetic monitoring""	""Aurum""",
"""264677018""",UNKNOWN,true,"""initial diabetic assessment""	""Aurum""",
"""264678011""",UNKNOWN,true,"""follow-up diabetic assessment""	""Aurum""",
"""264711019""",UNKNOWN,true,"""chronic hyperglycaemia""	""Aurum""",
"""264728016""",UNKNOWN,true,"""annual diabetic blood test""	""Aurum""",
"""264729012""",UNKNOWN,true,"""diabetic monitoring nos""	""Aurum""",
"""356121018""",UNKNOWN,true,"""diabetic severe hyperglycaemia""	""Aurum""",
"""375614013""",UNKNOWN,true,"""blood sugar tolerance""	""Aurum""",
"""398843011""",UNKNOWN,true,"""glucose intolerance""	""Aurum""",
"""398844017""",UNKNOWN,true,"""malabsorption of glucose""	""Aurum""",
"""398855017""",UNKNOWN,true,"""pure hyperglyceridaemia""	""Aurum""",
"""404515015""",UNKNOWN,true,"""urine dipstick for glucose""	""Aurum""",
"""405633013""",UNKNOWN,true,"""fasting blood glucose level""	""Aurum""",
"""411749015""",UNKNOWN,true,"""glucose in sample""	""Aurum""",
"""412230017""",UNKNOWN,true,"""[d]glucose, blood level abnormal""	""Aurum""",
"""457384010""",UNKNOWN,true,"""60 minute blood glucose level""	""Aurum""",
"""457490013""",UNKNOWN,true,"""120 minute blood glucose level""	""Aurum""",
"""457491012""",UNKNOWN,true,"""90 minute blood glucose level""	""Aurum""",
"""457605016""",UNKNOWN,true,"""150 minute blood glucose level""	""Aurum""",
"""457608019""",UNKNOWN,true,"""30 minute plasma glucose level""	""Aurum""",
"""457609010""",UNKNOWN,true,"""60 minute plasma glucose level""	""Aurum""",
"""457612013""",UNKNOWN,true,"""120 minute plasma glucose level""	""Aurum""",
"""457613015""",UNKNOWN,true,"""150 minute plasma glucose level""	""Aurum""",
"""457616011""",UNKNOWN,true,"""30 minute serum glucose level""	""Aurum""",
"""457617019""",UNKNOWN,true,"""60 minute serum glucose level""	""Aurum""",
"""457620010""",UNKNOWN,true,"""120 minute serum glucose level""	""Aurum""",
"""457628015""",UNKNOWN,true,"""30 minute blood glucose level""	""Aurum""",
"""457711010""",UNKNOWN,true,"""90 minute plasma glucose level""	""Aurum""",
"""457712015""",UNKNOWN,true,"""90 minute serum glucose level""	""Aurum""",
"""457908016""",UNKNOWN,true,"""150 minute serum glucose level""	""Aurum""",
"""459472019""",UNKNOWN,true,"""drug-induced hyperglycaemia""	""Aurum""",
"""459805012""",UNKNOWN,true,"""hyperglycaemia""	""Aurum""",
"""461270012""",UNKNOWN,true,"""[v]screening for diabetes mellitus""	""Aurum""",
"""502060018""",UNKNOWN,true,"""plasma glucose""	""Aurum""",
