code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""",
"""13599""",UNKNOWN,true,"""44T1.00""	11216	0	17589	706699	""random blood sugar""	""February 2009""",
"""48564""",UNKNOWN,true,"""44T7.00""	4	0	0	51	""supper time blood sugar""	""February 2009""",
"""38062""",UNKNOWN,true,"""44T5.00""	2	0	3	12826	""laboratory blood sugar""	""February 2009""",
"""98""",UNKNOWN,true,"""44g..00""	1079	0	724	12818654	""plasma glucose level""	""February 2009""",
"""39603""",UNKNOWN,true,"""44T8.00""	0	0	0	51	""bedtime blood sugar""	""February 2009""",
"""18167""",UNKNOWN,true,"""66AT.00""	25732	0	98	3	""annual diabetic blood test""	""February 2009""",
"""107452""",UNKNOWN,true,"""66o..00""	689	0	32	0	""further diabetic monitoring""	""December 2013""",
"""98973""",UNKNOWN,true,"""44g8.00""	0	0	0	3	""240 minute plasma glucose level""	""April 2010""",
"""42""",UNKNOWN,true,"""466..00""	26757	0	5409	7239603	""urine test for glucose""	""February 2009""",
"""25446""",UNKNOWN,true,"""R10D.00""	19273	0	173	0	""[d]elevated blood glucose level""	""February 2009""",
"""5986""",UNKNOWN,true,"""R105700""	8695	0	2055	1455	""[d]glucose, blood level abnormal""	""February 2009""",
"""59706""",UNKNOWN,true,"""44f5.00""	0	0	0	18	""90 minute serum glucose level""	""February 2009""",
"""59707""",UNKNOWN,true,"""44f7.00""	0	0	0	14	""150 minute serum glucose level""	""February 2009""",
"""13826""",UNKNOWN,true,"""44f..00""	2286	0	1908	3734860	""serum glucose level""	""February 2009""",
"""105134""",UNKNOWN,true,"""44TJ400""	0	0	0	8	""blood glucose range after lunch""	""November 2012""",
"""12483""",UNKNOWN,true,"""8CAQ.00""	90703	0	58	0	""advice about blood glucose control""	""February 2009""",
"""61470""",UNKNOWN,true,"""66Al.00""	226	0	8	0	""diabetic monitoring - higher risk albumin excretion""	""February 2009""",
"""14088""",UNKNOWN,true,"""4667.00""	2216	0	13	18773	""urine glucose test = ++++""	""February 2009""",
"""13601""",UNKNOWN,true,"""4665.00""	4682	0	1539	27023	""urine glucose test = ++""	""February 2009""",
