code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""",
"""257619018""",UNKNOWN,true,"157000	""42W1""	""42W1.00""	""hb. a1c < 7% - good control""	""165679005""	""257619018""	11",
"""257620012""",UNKNOWN,true,"183036	""42W2""	""42W2.00""	""hb. a1c 7-10% - borderline""	""165680008""	""257620012""	11",
"""257621011""",UNKNOWN,true,"61895	""42W3""	""42W3.00""	""hb. a1c > 10% - bad control""	""165681007""	""257621011""	11",
"""257623014""",UNKNOWN,true,"108503	""42WZ""	""42WZ.00""	""hb. a1c - diabetic control""	""269823000""	""404444016""	11",
"""404444016""",UNKNOWN,true,"3856846	""42W""	""42W..00""	""haemoglobin a1c - diabetic control interpretation""	""269823000""	""1206383011""	11",
"""451418011""",UNKNOWN,true,"36756	""44TC""	""44TC.00""	""haemoglobin a1 level""	""1003681000000106""	""2577721000000116""	34",
"""453910015""",UNKNOWN,true,"177388	""42c""	""42c..00""	""haemoglobin a1c - diabetic control finding""	""365845005""	""1206639010""	11",
"""457953019""",UNKNOWN,true,"53952	""42c3""	""42c3.00""	""hba1 level (diabetes control and complications trial aligned)""	""1019551000000104""	""2583661000000115""	11",
"""457954013""",UNKNOWN,true,"25337747	""42W4""	""42W4.00""	""hba1c level (diabetes control and complications trial aligned)""	""1019431000000105""	""2566161000000115""	11",
"""2154205011""",UNKNOWN,true,"28534	""44TL""	""44TL.00""	""total glycosylated haemoglobin level""	""1013511000000100""	""2574561000000110""	34",
"""2160141012""",UNKNOWN,true,"156875	""66Ae""	""66Ae.00""	""hba1c target""	""408591000""	""1739591000000117""	1",
"""129761000000114""",UNKNOWN,true,"12015519	""44TB""	""44TB.00""	""haemoglobin a1c level""	""1003671000000109""	""2560611000000113""	34",
"""803891000006119""",UNKNOWN,true,"105808	""42W-2""	""42W..12""	""glycated haemoglobin""	""269823000""	""1206383011""	11",
"""804121000006112""",UNKNOWN,true,"327422	""42W-1""	""42W..11""	""glycosylated hb""	""269823000""	""1206383011""	11",
"""817471000006110""",UNKNOWN,true,"36916	""42c0""	""42c0.00""	""haemoglobin a1c less than 7% indicating good diabetic control""	""165679005""	""2770693019""	11",
"""817481000006113""",UNKNOWN,true,"14722	""42c2""	""42c2.00""	""haemoglobin a1c greater than 10% indicating poor diabetic control""	""165681007""	""2767754019""	11",
"""817491000006111""",UNKNOWN,true,"48135	""42c1""	""42c1.00""	""haemoglobin a1c between 7%-10% indicating borderline diabetic control""	""165680008""	""2768430011""	11",
"""1700711000006113""",UNKNOWN,true,"77047272	""42W5""	""42W5.00""	""haemoglobin a1c level - international federation of clinical chemistry and laboratory medicine standardised""	""999791000000106""	""2572901000000113""	11",
"""1753211000006115""",UNKNOWN,true,"540924	""66Ae0""	""66Ae000""	""hba1c (haemoglobin a1c) target level - ifcc (international federation of clinical chemistry and laboratory medicine) standardised""	""446074002""	""1725291000000118""	1",
"""1927791000006119""",UNKNOWN,true,"89253	""EMISNQRA16""	NA	""raised hba1c level""	""1927791000006103""	""1927791000006119""	11",
"""1986181000006111""",UNKNOWN,true,"1204878	""42W50""	NA	""hba1c (haemoglobin a1c) level (diagnostic reference range) - ifcc (international federation of clinical chemistry and laboratory medicine) standardised""	""1049301000000100""	""2643101000000114""	11",
"""1986191000006114""",UNKNOWN,true,"396443	""42W51""	NA	""hba1c (haemoglobin a1c) level (monitoring ranges) - ifcc (international federation of clinical chemistry and laboratory medicine) standardised""	""1049321000000109""	""2643141000000112""	11",
