code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""",
"""37035""",UNKNOWN,true,"""66Ae.00""	35044	0	34	293	""hba1c target""	""February 2009""",
"""39205""",UNKNOWN,true,"""44TL.00""	37	0	1	5517	""total glycosylated haemoglobin level""	""February 2009""",
"""14051""",UNKNOWN,true,"""44TB.00""	909	0	951	1972687	""haemoglobin a1c level""	""February 2009""",
"""108943""",UNKNOWN,true,"""44TB000""	196	0	1	18211	""haemoglobin a1c (diagnostic reference range)""	""December 2014""",
"""19807""",UNKNOWN,true,"""42c3.00""	50	0	2	21022	""hba1 level (dcct aligned)""	""February 2009""",
"""9958""",UNKNOWN,true,"""42W..00""	30028	0	9914	2797257	""hb. a1c - diabetic control""	""February 2009""",
"""108963""",UNKNOWN,true,"""44TB100""	49	0	0	1922	""haemoglobin a1c (monitoring ranges)""	""December 2014""",
"""29218""",UNKNOWN,true,"""42W2.00""	1190	0	1727	62652	""hb. a1c 7-10% - borderline""	""February 2009""",
"""14053""",UNKNOWN,true,"""42W4.00""	222	0	133	3795564	""hba1c level (dcct aligned)""	""February 2009""",
"""5717""",UNKNOWN,true,"""42W..11""	8690	0	239085	318910	""glycosylated hb""	""February 2009""",
"""14052""",UNKNOWN,true,"""42W..12""	966	0	1864	73062	""glycated haemoglobin""	""February 2009""",
"""46079""",UNKNOWN,true,"""42c2.00""	733	0	1	2464	""hba1 > 10% - bad control""	""February 2009""",
"""13604""",UNKNOWN,true,"""42W3.00""	1856	0	10167	26540	""hb. a1c > 10% - bad control""	""February 2009""",
"""101208""",UNKNOWN,true,"""66Ae000""	16907	0	1	210	""hba1c target level - ifcc standardised""	""December 2010""",
"""96968""",UNKNOWN,true,"""42W5.00""	1846	0	596	13933741	""haemoglobin a1c level - ifcc standardised""	""June 2009""",
"""40463""",UNKNOWN,true,"""42c1.00""	4616	0	1	8711	""hba1 7 - 10% - borderline control""	""February 2009""",
"""27040""",UNKNOWN,true,"""44TC.00""	28	0	16	4398	""haemoglobin a1 level""	""February 2009""",
"""13597""",UNKNOWN,true,"""42W1.00""	2286	0	3704	49946	""hb. a1c < 7% - good control""	""February 2009""",
"""42360""",UNKNOWN,true,"""42c0.00""	192	0	5	6464	""hba1 < 7% - good control""	""February 2009""",
"""14050""",UNKNOWN,true,"""42c..00""	2727	0	363	262991	""hba1 - diabetic control""	""February 2009""",
"""14049""",UNKNOWN,true,"""42WZ.00""	84	0	154	47377	""hb. a1c - diabetic control nos""	""February 2009""",
