code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""",
"""31341""",UNKNOWN,true,"""G24z100""	394	0	1	0	""hypertension secondary to drug""	""February 2009""",
"""106279""",UNKNOWN,true,"""8IA5.00""	0	0	1	0	""trial withdrawal of antihypertensive therapy declined""	""June 2013""",
"""61660""",UNKNOWN,true,"""G211000""	21	0	0	0	""benign hypertensive heart disease without ccf""	""February 2009""",
"""4372""",UNKNOWN,true,"""G202.00""	21061	0	216	4	""systolic hypertension""	""February 2009""",
"""18057""",UNKNOWN,true,"""8B26.00""	7216	0	1	0	""antihypertensive therapy""	""February 2009""",
"""31464""",UNKNOWN,true,"""G21z.00""	164	0	2	0	""hypertensive heart disease nos""	""February 2009""",
"""85944""",UNKNOWN,true,"""7Q01.00""	4	0	0	0	""high cost hypertension drugs""	""February 2009""",
"""21660""",UNKNOWN,true,"""TJC7.00""	1243	0	1	0	""adverse reaction to other antihypertensives""	""February 2009""",
"""5215""",UNKNOWN,true,"""9OI..00""	199021	0	407	3	""hypertension monitoring admin.""	""February 2009""",
"""31387""",UNKNOWN,true,"""G24z000""	300	0	11	0	""secondary renovascular hypertension nos""	""February 2009""",
"""50157""",UNKNOWN,true,"""G210.00""	46	0	0	0	""malignant hypertensive heart disease""	""February 2009""",
"""109771""",UNKNOWN,true,"""662P100""	3692	0	1	0	""telehealth hypertension monitoring""	""June 2015""",
"""72226""",UNKNOWN,true,"""SLC6.00""	4	0	0	0	""other hypertensive agent poisoning""	""February 2009""",
"""109611""",UNKNOWN,true,"""661M600""	58	0	0	0	""hypertension self-management plan agreed""	""May 2015""",
"""72668""",UNKNOWN,true,"""G210100""	7	0	0	0	""malignant hypertensive heart disease with ccf""	""February 2009""",
"""105938""",UNKNOWN,true,"""G211z00""	9	0	0	0	""benign hypertensive heart disease nos""	""April 2013""",
"""11056""",UNKNOWN,true,"""8BL0.00""	183183	0	42	0	""patient on maximal tolerated antihypertensive therapy""	""February 2009""",
"""114722""",UNKNOWN,true,"""J17B.00""	1812	0	0	0	""portal hypertensive gastropathy""	""March 2020""",
"""29310""",UNKNOWN,true,"""G22z.11""	636	0	26	1	""renal hypertension""	""February 2009""",
"""71433""",UNKNOWN,true,"""66b2.00""	28	0	0	0	""hypertension monitoring not required""	""February 2009""",
"""24127""",UNKNOWN,true,"""9OIA.11""	9543	0	15	0	""hypertension monitored""	""February 2009""",
"""37086""",UNKNOWN,true,"""F404200""	113	0	2	0	""blind hypertensive eye""	""February 2009""",
"""51635""",UNKNOWN,true,"""G241z00""	95	0	0	0	""secondary benign hypertension nos""	""February 2009""",
"""68659""",UNKNOWN,true,"""G23z.00""	10	0	0	0	""hypertensive heart and renal disease nos""	""February 2009""",
"""32976""",UNKNOWN,true,"""6146200""	388	0	0	0	""hypertension induced by oral contraceptive pill""	""February 2009""",
"""83473""",UNKNOWN,true,"""G203.00""	1084	0	15	0	""diastolic hypertension""	""February 2009""",
"""105989""",UNKNOWN,true,"""G26..00""	74	0	1	0	""severe hypertension (nat inst for health clinical ex 2011)""	""April 2013""",
"""27525""",UNKNOWN,true,"""9OI..11""	10413	0	2	0	""hypertension clinic admin.""	""February 2009""",
"""799""",UNKNOWN,true,"""G20..00""	4264408	0	17528	38	""essential hypertension""	""February 2009""",
"""3425""",UNKNOWN,true,"""662O.00""	55168	0	800	1	""on treatment for hypertension""	""February 2009""",
"""62718""",UNKNOWN,true,"""G21z100""	114	0	0	0	""hypertensive heart disease nos with ccf""	""February 2009""",
"""5513""",UNKNOWN,true,"""8HT5.00""	3436	0	4188	0	""referral to hypertension clinic""	""February 2009""",
"""1894""",UNKNOWN,true,"""G201.00""	59994	0	116	0	""benign essential hypertension""	""February 2009""",
"""12680""",UNKNOWN,true,"""8CR4.00""	4797	0	1	0	""hypertension clinical management plan""	""February 2009""",
"""73293""",UNKNOWN,true,"""G240z00""	10	0	0	0	""secondary malignant hypertension nos""	""February 2009""",
"""30776""",UNKNOWN,true,"""6629.00""	6662	0	2	0	""hypertension:follow-up default""	""February 2009""",
"""59383""",UNKNOWN,true,"""G240000""	27	0	1	0	""secondary malignant renovascular hypertension""	""February 2009""",
"""101649""",UNKNOWN,true,"""7Q01y00""	1	0	0	0	""other specified high cost hypertension drugs""	""February 2011""",
"""4668""",UNKNOWN,true,"""G22..00""	2583	0	61	0	""hypertensive renal disease""	""February 2009""",
"""32423""",UNKNOWN,true,"""G222.00""	109	0	0	0	""hypertensive renal disease with renal failure""	""February 2009""",
"""97533""",UNKNOWN,true,"""Gyu2100""	12	0	0	0	""[x]hypertension secondary to other renal disorders""	""August 2009""",
"""31816""",UNKNOWN,true,"""G672.11""	392	0	15	0	""hypertensive crisis""	""February 2009""",
"""13186""",UNKNOWN,true,"""662P.00""	1502423	0	1386	21	""hypertension monitoring""	""February 2009""",
"""22333""",UNKNOWN,true,"""8I3N.00""	514	0	5	0	""hypertension treatment refused""	""February 2009""",
"""63466""",UNKNOWN,true,"""G23..00""	77	0	0	0	""hypertensive heart and renal disease""	""February 2009""",
"""18482""",UNKNOWN,true,"""662c.00""	190303	0	175	0	""hypertension six month review""	""February 2009""",
"""28684""",UNKNOWN,true,"""G233.00""	58	0	3	0	""hypertensive heart and renal disease with renal failure""	""February 2009""",
"""10818""",UNKNOWN,true,"""G20z.00""	273666	0	2695	9	""essential hypertension nos""	""February 2009""",
"""8732""",UNKNOWN,true,"""G2...11""	45553	0	242	0	""bp - hypertensive disease""	""February 2009""",
"""351""",UNKNOWN,true,"""G20..11""	264333	0	7145	336	""high blood pressure""	""February 2009""",
"""13188""",UNKNOWN,true,"""662G.00""	38218	0	38	0	""hypertensive treatm.changed""	""February 2009""",
"""27634""",UNKNOWN,true,"""9N1y200""	44927	0	10	0	""seen in hypertension clinic""	""February 2009""",
"""5129""",UNKNOWN,true,"""J623.00""	8887	0	88	0	""portal hypertension""	""February 2009""",
"""109942""",UNKNOWN,true,"""9OIB.00""	49	0	1	0	""borderline hypertension monitoring first letter""	""July 2015""",
"""12948""",UNKNOWN,true,"""662H.00""	3195	0	7	5	""hypertension treatm.stopped""	""February 2009""",
"""34744""",UNKNOWN,true,"""G244.00""	206	0	2	0	""hypertension secondary to endocrine disorders""	""February 2009""",
"""98230""",UNKNOWN,true,"""67H8.00""	730505	0	99	0	""lifestyle advice regarding hypertension""	""December 2009""",
"""10961""",UNKNOWN,true,"""9h31.00""	108651	0	11	0	""excepted from hypertension qual indicators: patient unsuit""	""February 2009""",
"""16565""",UNKNOWN,true,"""6627.00""	91836	0	33	0	""good hypertension control""	""February 2009""",
"""22356""",UNKNOWN,true,"""1JD..00""	23013	0	448	0	""suspected hypertension""	""February 2009""",
"""102458""",UNKNOWN,true,"""Gyu2000""	18	0	0	0	""[x]other secondary hypertension""	""June 2011""",
