code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""101649""",UNKNOWN,true,"""7Q01y00""	""other specified high cost hypertension drugs""",
"""102406""",UNKNOWN,true,"""662P000""	""hypertension 9 month review""",
"""102458""",UNKNOWN,true,"""Gyu2000""	""[x]other secondary hypertension""",
"""103046""",UNKNOWN,true,"""G210z00""	""malignant hypertensive heart disease nos""",
"""105274""",UNKNOWN,true,"""G28..00""	""stage 2 hypertension (nice - nat ins for hth clin excl 2011)""",
"""105316""",UNKNOWN,true,"""G25..11""	""stage 1 hypertension""",
"""105371""",UNKNOWN,true,"""G25..00""	""stage 1 hypertension (nice - nat ins for hth clin excl 2011)""",
"""105480""",UNKNOWN,true,"""G27..00""	""hypertension resistant to drug therapy""",
"""105487""",UNKNOWN,true,"""G26..11""	""severe hypertension""",
"""105938""",UNKNOWN,true,"""G211z00""	""benign hypertensive heart disease nos""",
"""105989""",UNKNOWN,true,"""G26..00""	""severe hypertension (nat inst for health clinical ex 2011)""",
"""106279""",UNKNOWN,true,"""8IA5.00""	""trial withdrawal of antihypertensive therapy declined""",
"""107704""",UNKNOWN,true,"""G20..12""	""primary hypertension""",
"""10818""",UNKNOWN,true,"""G20z.00""	""essential hypertension nos""",
"""109611""",UNKNOWN,true,"""661M600""	""hypertension self-management plan agreed""",
"""11056""",UNKNOWN,true,"""8BL0.00""	""patient on maximal tolerated antihypertensive therapy""",
"""12680""",UNKNOWN,true,"""8CR4.00""	""hypertension clinical management plan""",
"""13186""",UNKNOWN,true,"""662P.00""	""hypertension monitoring""",
"""13188""",UNKNOWN,true,"""662G.00""	""hypertensive treatm.changed""",
"""15106""",UNKNOWN,true,"""G22z.00""	""hypertensive renal disease nos""",
"""15377""",UNKNOWN,true,"""G200.00""	""malignant essential hypertension""",
"""16059""",UNKNOWN,true,"""G24z.00""	""secondary hypertension nos""",
"""16173""",UNKNOWN,true,"""G21zz00""	""hypertensive heart disease nos""",
"""16292""",UNKNOWN,true,"""G21..00""	""hypertensive heart disease""",
"""16565""",UNKNOWN,true,"""6627.00""	""good hypertension control""",
"""18057""",UNKNOWN,true,"""8B26.00""	""antihypertensive therapy""",
"""18482""",UNKNOWN,true,"""662c.00""	""hypertension six month review""",
"""18590""",UNKNOWN,true,"""662b.00""	""moderate hypertension control""",
"""18765""",UNKNOWN,true,"""G2y..00""	""other specified hypertensive disease""",
"""1894""",UNKNOWN,true,"""G201.00""	""benign essential hypertension""",
"""19070""",UNKNOWN,true,"""662d.00""	""hypertension annual review""",
"""204""",UNKNOWN,true,"""G2...00""	""hypertensive disease""",
"""21826""",UNKNOWN,true,"""662F.00""	""hypertension treatm. started""",
"""21837""",UNKNOWN,true,"""G232.00""	""hypertensive heart&renal dis wth (congestive) heart failure""",
"""22333""",UNKNOWN,true,"""8I3N.00""	""hypertension treatment refused""",
"""24127""",UNKNOWN,true,"""9OIA.11""	""hypertension monitored""",
"""25371""",UNKNOWN,true,"""G241000""	""secondary benign renovascular hypertension""",
"""2666""",UNKNOWN,true,"""14A2.00""	""h/o: hypertension""",
"""27511""",UNKNOWN,true,"""6628.00""	""poor hypertension control""",
"""27525""",UNKNOWN,true,"""9OI..11""	""hypertension clinic admin.""",
"""27634""",UNKNOWN,true,"""9N1y200""	""seen in hypertension clinic""",
"""30770""",UNKNOWN,true,"""U60C511""	""[x] adverse reaction to other antihypertensives""",
"""30776""",UNKNOWN,true,"""6629.00""	""hypertension:follow-up default""",
"""31341""",UNKNOWN,true,"""G24z100""	""hypertension secondary to drug""",
"""31387""",UNKNOWN,true,"""G24z000""	""secondary renovascular hypertension nos""",
"""31464""",UNKNOWN,true,"""G21z.00""	""hypertensive heart disease nos""",
"""31755""",UNKNOWN,true,"""G240.00""	""secondary malignant hypertension""",
"""31816""",UNKNOWN,true,"""G672.11""	""hypertensive crisis""",
"""32423""",UNKNOWN,true,"""G222.00""	""hypertensive renal disease with renal failure""",
"""32976""",UNKNOWN,true,"""6146200""	""hypertension induced by oral contraceptive pill""",
"""3425""",UNKNOWN,true,"""662O.00""	""on treatment for hypertension""",
"""34744""",UNKNOWN,true,"""G244.00""	""hypertension secondary to endocrine disorders""",
"""37086""",UNKNOWN,true,"""F404200""	""blind hypertensive eye""",
"""3712""",UNKNOWN,true,"""G20z.11""	""hypertension nos""",
"""39649""",UNKNOWN,true,"""G220.00""	""malignant hypertensive renal disease""",
"""42229""",UNKNOWN,true,"""G24zz00""	""secondary hypertension nos""",
"""4372""",UNKNOWN,true,"""G202.00""	""systolic hypertension""",
"""43935""",UNKNOWN,true,"""G221.00""	""benign hypertensive renal disease""",
"""44350""",UNKNOWN,true,"""U60C51A""	""[x] adverse reaction to antihypertensives nos""",
"""4444""",UNKNOWN,true,"""662..12""	""hypertension monitoring""",
"""50157""",UNKNOWN,true,"""G210.00""	""malignant hypertensive heart disease""",
"""51635""",UNKNOWN,true,"""G241z00""	""secondary benign hypertension nos""",
"""52127""",UNKNOWN,true,"""G211100""	""benign hypertensive heart disease with ccf""",
"""5215""",UNKNOWN,true,"""9OI..00""	""hypertension monitoring admin.""",
"""52427""",UNKNOWN,true,"""G211.00""	""benign hypertensive heart disease""",
"""5513""",UNKNOWN,true,"""8HT5.00""	""referral to hypertension clinic""",
"""57288""",UNKNOWN,true,"""G241.00""	""secondary benign hypertension""",
"""57987""",UNKNOWN,true,"""G234.00""	""hyperten heart&renal dis+both(congestv)heart and renal fail""",
"""59383""",UNKNOWN,true,"""G240000""	""secondary malignant renovascular hypertension""",
"""61166""",UNKNOWN,true,"""G21z000""	""hypertensive heart disease nos without ccf""",
