code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Lipid regulating meds""",
"""60160""",UNKNOWN,true,"0	""Rosuvastatin 5mg tablets (Mawdsley-Brooks & Company Ltd)""	""Rosuvastatin""	""5mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""61665""",UNKNOWN,true,"0	""Simvastatin 10mg tablets (Waymade Healthcare Plc)""	""Simvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""67573""",UNKNOWN,true,"0	""Atorvastatin 10mg tablets (DE Pharmaceuticals)""	""Atorvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""65193""",UNKNOWN,true,"4	""Atorvastatin 20mg tablets (Sun Pharma UK Ltd)""	""Atorvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""50703""",UNKNOWN,true,"10	""Simvastatin 40mg tablets (Accord-UK Ltd)""	""Simvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""84456""",UNKNOWN,true,"0	""Atorvastatin 80mg tablets (Medihealth (Northern) Ltd)""	""Atorvastatin""	""80mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""3089""",UNKNOWN,true,"255286	""Ciprofibrate 100mg tablets""	""Ciprofibrate""	""100mg""	""Oral tablet""	""Oral""	""Fibrates""	""Ciprofibrate""",
"""24084""",UNKNOWN,true,"27	""Colestyramine 4g oral powder sachets sugar free (PLIVA Pharma Ltd)""	""Colestyramine""	""4gram""	""Powder for oral suspension""	""Oral""	""Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products""	""Colestyramine""",
"""7554""",UNKNOWN,true,"1351141	""Rosuvastatin 5mg tablets""	""Rosuvastatin""	""5mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""34820""",UNKNOWN,true,"73	""Pravastatin 40mg tablets (A A H Pharmaceuticals Ltd)""	""Pravastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Pravastatin""",
"""70673""",UNKNOWN,true,"849	""Alirocumab 75mg/1ml solution for injection pre-filled disposable devices""	""Alirocumab""	""75mg/1ml""	""Solution for injection""	""Subcutaneous""	""Other Lipid-Regulating Products""	""Alirocumab""",
