code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Other Antidiabetic""",
"""30316""",UNKNOWN,true,"""Metformin with pioglitazone 850mg + 15mg Tablet""	""Tablet""	""Oral""	""Pioglitazone""	""850mg + 15mg""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Pioglitazone""",
"""74860""",UNKNOWN,true,"""NovoNorm 1mg tablets (Waymade Healthcare Plc)""	""Oral tablet""	""Oral""	""Repaglinide""	""1mg""	""Meglitinides (Glinides)""	""Repaglinide""",
"""11609""",UNKNOWN,true,"""Metformin with rosiglitazone 500mg + 1mg Tablet""	""Tablet""	""Oral""	""Rosiglitazone""	""500mg + 1mg""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Rosiglitazone""",
"""20889""",UNKNOWN,true,"""Actos 30mg tablets (Neon Healthcare Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""548""",UNKNOWN,true,"""Pioglitazone 15mg tablets""	""Oral tablet""	""Oral""	""Pioglitazone""	""15mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""56376""",UNKNOWN,true,"""Rosiglitazone 4mg with glimepiride 4mg tablet""	""Tablet""	""Oral""	""Rosiglitazone""	NA	""Sulphonylureas/Other Antidiabetic Products""	""Rosiglitazone""",
"""9865""",UNKNOWN,true,"""Repaglinide 500microgram tablets""	""Oral tablet""	""Oral""	""Repaglinide""	""500microgram""	""Meglitinides (Glinides)""	""Repaglinide""",
"""9707""",UNKNOWN,true,"""Repaglinide 1mg tablets""	""Oral tablet""	""Oral""	""Repaglinide""	""1mg""	""Meglitinides (Glinides)""	""Repaglinide""",
"""15232""",UNKNOWN,true,"""Avandia 8mg tablets (GlaxoSmithKline UK Ltd)""	""Oral tablet""	""Oral""	""Rosiglitazone""	""8mg""	""Unknown""	""Rosiglitazone""",
"""11601""",UNKNOWN,true,"""Rosiglitazone 2mg / Metformin 500mg tablets""	""Oral tablet""	""Oral""	""Rosiglitazone""	""2mg + 500mg""	""Glitazones Plus Metformin""	""Rosiglitazone""",
"""68934""",UNKNOWN,true,"""Diabiom 30mg tablets (Tillomed Laboratories Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""9699""",UNKNOWN,true,"""Pioglitazone 30mg tablets""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""5227""",UNKNOWN,true,"""Rosiglitazone 8mg tablets""	""Oral tablet""	""Oral""	""Rosiglitazone""	""8mg""	""Thiazolidinedione (Glitazones)""	""Rosiglitazone""",
"""15955""",UNKNOWN,true,"""Starlix 120mg tablets (Novartis Pharmaceuticals UK Ltd)""	""Oral tablet""	""Oral""	""Nateglinide""	""120mg""	""Meglitinides (Glinides)""	""Nateglinide""",
"""5678""",UNKNOWN,true,"""Nateglinide 120mg tablets""	""Oral tablet""	""Oral""	""Nateglinide""	""120mg""	""Meglitinides (Glinides)""	""Nateglinide""",
"""72163""",UNKNOWN,true,"""Pioglitazone 45mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""45mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""48120""",UNKNOWN,true,"""Avandia 2mg Tablet (GlaxoSmithKline UK Ltd)""	""Tablet""	""Oral""	""Rosiglitazone""	""2mg""	""Other Antidiabetic Products""	""Rosiglitazone""",
"""63421""",UNKNOWN,true,"""Pioglitazone 30mg tablets (Teva UK Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""63107""",UNKNOWN,true,"""Pioglitazone 45mg tablets (Waymade Healthcare Plc)""	""Oral tablet""	""Oral""	""Pioglitazone""	""45mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""11321""",UNKNOWN,true,"""NovoNorm 1mg tablets (Novo Nordisk Ltd)""	""Oral tablet""	""Oral""	""Repaglinide""	""1mg""	""Meglitinides (Glinides)""	""Repaglinide""",
"""71020""",UNKNOWN,true,"""Acarbose 50mg tablets (Actavis UK Ltd)""	""Oral tablet""	""Oral""	""Acarbose""	""50mg""	""Other Antidiabetic Products""	""Acarbose""",
"""5989""",UNKNOWN,true,"""Nateglinide 180mg tablets""	""Oral tablet""	""Oral""	""Nateglinide""	""180mg""	""Meglitinides (Glinides)""	""Nateglinide""",
"""11366""",UNKNOWN,true,"""NovoNorm 2mg tablets (Novo Nordisk Ltd)""	""Oral tablet""	""Oral""	""Repaglinide""	""2mg""	""Meglitinides (Glinides)""	""Repaglinide""",
"""9105""",UNKNOWN,true,"""Glucobay 100mg tablets (Bayer Plc)""	""Oral tablet""	""Oral""	""Acarbose""	""100mg""	""Other Antidiabetic Products""	""Acarbose""",
"""18220""",UNKNOWN,true,"""Pioglitazone 15mg / Metformin 850mg tablets""	""Oral tablet""	""Oral""	""Pioglitazone""	""850mg + 15mg""	""Glitazones Plus Metformin""	""Pioglitazone""",
"""31077""",UNKNOWN,true,"""Competact 15mg/850mg tablets (Neon Healthcare Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""850mg + 15mg""	""Glitazones Plus Metformin""	""Pioglitazone""",
"""20287""",UNKNOWN,true,"""Actos 15mg tablets (Neon Healthcare Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""15mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""11610""",UNKNOWN,true,"""Metformin with rosiglitazone 500mg + 2mg Tablet""	""Tablet""	""Oral""	""Rosiglitazone""	""500mg + 2mg""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Rosiglitazone""",
