code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""	""period""",
"""29618""",UNKNOWN,true,"""L11z.00""	962	0	23	0	""antepartum haemorrhage nos""	""February 2009""	""late pregnancy""",
"""3030""",UNKNOWN,true,"""4654.00""	48414	0	23322	94222	""urine pregnancy test positive""	""February 2009""	""early pregnancy""",
"""42324""",UNKNOWN,true,"""L34z.00""	76	0	1	0	""vulval/perineal trauma during delivery nos""	""February 2009""	""postnatal""",
"""55124""",UNKNOWN,true,"""L39yz00""	8	0	0	0	""other complications of labour and delivery nos""	""February 2009""	""postnatal""",
"""17614""",UNKNOWN,true,"""Eu53111""	1121	0	9	0	""[x]puerperal psychosis nos""	""February 2009""	""postnatal""",
"""112121""",UNKNOWN,true,"""L09y300""	1	0	0	0	""cerebral anoxia following abortive pregnancy""	""September 2017""	""unspecified""",
"""73535""",UNKNOWN,true,"""L13z100""	1	0	0	0	""unspecified pregnancy vomiting - delivered""	""February 2009""	""unspecified""",
"""100568""",UNKNOWN,true,"""7F10y00""	64	0	0	0	""other specified surgical induction of labour""	""August 2010""	""postnatal""",
"""27351""",UNKNOWN,true,"""Q036.00""	219	0	9	0	""fetus or neonate affected by precipitate delivery""	""February 2009""	""postnatal""",
"""106425""",UNKNOWN,true,"""62NL.00""	163	0	0	0	""antenatal 31 week examination""	""June 2013""	""31""",
"""60434""",UNKNOWN,true,"""Z261200""	25	0	0	0	""gestational sac absent""	""February 2009""	""unspecified""",
"""62734""",UNKNOWN,true,"""L11y000""	21	0	0	0	""other antepartum haemorrhage unspecified""	""February 2009""	""late pregnancy""",
"""64997""",UNKNOWN,true,"""7L1d.00""	317	0	1	0	""delivery of chemotherapy for neoplasm""	""February 2009""	""postnatal""",
"""95635""",UNKNOWN,true,"""L130100""	11	0	0	0	""mild hyperemesis-delivered""	""February 2009""	""early pregnancy""",
"""55543""",UNKNOWN,true,"""7F1B.00""	313	0	1	0	""other operations to facilitate delivery""	""February 2009""	""postnatal""",
"""53514""",UNKNOWN,true,"""Z22D300""	382	0	3	0	""uncertain viability of pregnancy""	""February 2009""	""unspecified""",
"""31656""",UNKNOWN,true,"""L402.00""	13	0	1	0	""puerperal peritonitis""	""February 2009""	""postnatal""",
"""11422""",UNKNOWN,true,"""Z226.00""	2259	0	86	0	""pregnancy problem""	""February 2009""	""unspecified""",
"""9937""",UNKNOWN,true,"""L400.00""	1678	0	29	0	""puerperal endometritis""	""February 2009""	""postnatal""",
"""46744""",UNKNOWN,true,"""L41..00""	264	0	0	0	""venous complications of pregnancy and the puerperium""	""February 2009""	""postnatal""",
"""114293""",UNKNOWN,true,"""L29z100""	2	0	0	0	""problems affecting labour nos - delivered""	""November 2019""	""postnatal""",
"""109543""",UNKNOWN,true,"""L332200""	6	0	0	0	""cord tangled with compression with antenatal problem""	""April 2015""	""early pregnancy""",
"""73640""",UNKNOWN,true,"""L402000""	1	0	0	0	""puerperal peritonitis unspecified""	""February 2009""	""postnatal""",
"""25130""",UNKNOWN,true,"""Z262R00""	71	0	3	0	""placenta problem""	""February 2009""	""late pregnancy""",
"""63196""",UNKNOWN,true,"""Z222.00""	46	0	0	0	""multigravida""	""February 2009""	""unspecified""",
