code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Psychotropic""	""group""",
"""38741000033119""",UNKNOWN,true,"""Allegron 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nortriptyline""	""10.000mg""	NA	""Nortriptyline""	""Antidepressants""",
"""38841000033112""",UNKNOWN,true,"""Allegron 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Nortriptyline""	""25.000mg""	NA	""Nortriptyline""	""Antidepressants""",
"""43441000033118""",UNKNOWN,true,"""Amitriptyline Sr  Capsules  75 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	NA	""Amitriptyline""	""Antidepressants""",
"""43541000033117""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Capsules  25 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	NA	""Amitriptyline""	""Antidepressants""",
"""43641000033116""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Capsules  50 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	NA	""Amitriptyline""	""Antidepressants""",
"""43741000033113""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Capsules  75 mg""	""Capsule""	""Oral""	""Amitriptyline""	NA	NA	""Amitriptyline""	""Antidepressants""",
"""45841000033119""",UNKNOWN,true,"""Amitriptyline 25mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Amitriptyline""	""25.000mg""	""04030100""	""Amitriptyline""	""Antidepressants""",
"""45941000033110""",UNKNOWN,true,"""Amitriptyline 50mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Amitriptyline""	""50.000mg""	""04030100""	""Amitriptyline""	""Antidepressants""",
"""50041000033116""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Injection  10mg/ml""	""Solution for injection""	""Intramuscular""	""Amitriptyline""	NA	NA	""Amitriptyline""	""Antidepressants""",
"""51941000033114""",UNKNOWN,true,"""Amitriptyline Hydrochloride  Mixture  Sugar Free 10 mg/5 ml""	NA	NA	""Amitriptyline""	NA	NA	""Amitriptyline""	""Antidepressants""",
"""55441000033119""",UNKNOWN,true,"""Amitriptyline 25mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Amitriptyline""	""5.000mg/1.000ml""	""04030100""	""Amitriptyline""	""Antidepressants""",
"""55541000033118""",UNKNOWN,true,"""Amitriptyline 50mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Amitriptyline""	""10.000mg/1.000ml""	""04030100""	""Amitriptyline""	""Antidepressants""",
"""58941000033117""",UNKNOWN,true,"""Amisulpride 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amisulpride""	""200.000mg""	""04020100""	""Amisulpride""	""Antipsychotics""",
"""59041000033114""",UNKNOWN,true,"""Amisulpride 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amisulpride""	""50.000mg""	""04020100""	""Amisulpride""	""Antipsychotics""",
"""60441000033116""",UNKNOWN,true,"""Amitriptyline 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amitriptyline""	""10.000mg""	""04030100""	""Amitriptyline""	""Antidepressants""",
"""60541000033115""",UNKNOWN,true,"""Amitriptyline 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amitriptyline""	""50.000mg""	""04030100""	""Amitriptyline""	""Antidepressants""",
"""60641000033119""",UNKNOWN,true,"""Amitriptyline 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amitriptyline""	""25.000mg""	""04030100""	""Amitriptyline""	""Antidepressants""",
"""60841000033118""",UNKNOWN,true,"""Amoxapine  Tablets  25 mg""	""Tablet""	""Oral""	""Amoxapine""	NA	NA	""Amoxapine""	""Antidepressants""",
"""60941000033114""",UNKNOWN,true,"""Amoxapine 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""50.000mg""	""04030100""	""Amoxapine""	""Antidepressants""",
"""61041000033116""",UNKNOWN,true,"""Amoxapine 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Amoxapine""	""100.000mg""	""04030100""	""Amoxapine""	""Antidepressants""",
"""61141000033117""",UNKNOWN,true,"""Amoxapine  Tablets  150 mg""	""Tablet""	""Oral""	""Amoxapine""	NA	NA	""Amoxapine""	""Antidepressants""",
"""61941000033115""",UNKNOWN,true,"""Anafranil 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""10.000mg""	NA	""Clomipramine""	""Antidepressants""",
"""62041000033114""",UNKNOWN,true,"""Anafranil 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""25.000mg""	NA	""Clomipramine""	""Antidepressants""",
"""62141000033113""",UNKNOWN,true,"""Anafranil 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""50.000mg""	NA	""Clomipramine""	""Antidepressants""",
"""64241000033110""",UNKNOWN,true,"""Anafranil  Injection  12.5mg/ml""	""Solution for injection""	""Intramuscular""	""Clomipramine""	NA	NA	""Clomipramine""	""Antidepressants""",
"""68641000033117""",UNKNOWN,true,"""Anafranil 25mg/5ml syrup""	""Oral solution""	""Oral""	""Clomipramine""	""5.000mg/1.000ml""	NA	""Clomipramine""	""Antidepressants""",
