code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""SH""	""Group""",
"""171""",UNKNOWN,true,"""SL...15""	""overdose of drug""	1	""unknown intent""",
"""697""",UNKNOWN,true,"""U20..11""	""[x]deliberate drug overdose / other poisoning""	1	""self harm""",
"""2557""",UNKNOWN,true,"""TK05.00""	""suicide + selfinflicted poisoning by drug or medicine nos""	1	""self harm""",
"""3246""",UNKNOWN,true,"""TK...15""	""attempted suicide""	1	""attempted suicide""",
"""3406""",UNKNOWN,true,"""TK...17""	""para-suicide""	1	""attempted suicide""",
"""3423""",UNKNOWN,true,"""TK...12""	""injury - self-inflicted""	1	""self harm""",
"""3985""",UNKNOWN,true,"""U2...13""	""[x]suicide""	1	""attempted suicide""",
"""5140""",UNKNOWN,true,"""TN61.00""	""injury ?accidental, by stabbing instrument""	1	""unknown intent""",
"""5242""",UNKNOWN,true,"""U2E..00""	""[x]self mutilation""	1	""self harm""",
"""5616""",UNKNOWN,true,"""TK3y.00""	""suicide + selfinflicted inj oth mean hang/strangle/suffocate""	1	""self harm""",
"""6595""",UNKNOWN,true,"""TK...11""	""cause of overdose - deliberate""	1	""self harm""",
"""7606""",UNKNOWN,true,"""TN82.00""	""injury ?accidental, by scald""	1	""unknown intent""",
"""8229""",UNKNOWN,true,"""U2...15""	""[x]para-suicide""	1	""attempted suicide""",
"""9604""",UNKNOWN,true,"""TK60111""	""slashed wrists self inflicted""	1	""self harm""",
"""10057""",UNKNOWN,true,"""ZX1..13""	""deliberate self-harm""	1	""self harm""",
"""10436""",UNKNOWN,true,"""TN81.00""	""injury ?accidental, by burns or fire""	1	""unknown intent""",
"""10463""",UNKNOWN,true,"""U209.00""	""[x]intent self poison/exposure to alcohol""	1	""self harm""",
"""10464""",UNKNOWN,true,"""ZX...00""	""self-harm""	1	""self harm""",
"""10644""",UNKNOWN,true,"""TK...13""	""poisoning - self-inflicted""	1	""self harm""",
"""10717""",UNKNOWN,true,"""U2...11""	""[x]self inflicted injury""	1	""self harm""",
"""10843""",UNKNOWN,true,"""TN60.00""	""injury ?accidental, by cutting instrument""	1	""unknown intent""",
"""11122""",UNKNOWN,true,"""TK60100""	""self inflicted lacerations to wrist""	1	""self harm""",
"""11708""",UNKNOWN,true,"""SL...14""	""overdose of biological substance""	1	""unknown intent""",
"""12333""",UNKNOWN,true,"""ZX13.00""	""cutting self""	1	""self harm""",
"""13557""",UNKNOWN,true,"""TK30.00""	""suicide and selfinflicted injury by hanging""	1	""self harm""",
"""14853""",UNKNOWN,true,"""TK00.00""	""suicide + selfinflicted poisoning by analgesic/antipyretic""	1	""self harm""",
"""15177""",UNKNOWN,true,"""TK60.00""	""suicide and selfinflicted injury by cutting""	1	""self harm""",
"""16485""",UNKNOWN,true,"""TK01.00""	""suicide + selfinflicted poisoning by barbiturates""	1	""self harm""",
"""16907""",UNKNOWN,true,"""U30..11""	""[x]deliberate drug poisoning""	1	""self harm""",
"""17046""",UNKNOWN,true,"""U2...00""	""[x]intentional self-harm""	1	""self harm""",
"""17097""",UNKNOWN,true,"""TN...00""	""injury undetermined whether accidentally/purposely inflicted""	1	""unknown intent""",
"""17378""",UNKNOWN,true,"""U2...14""	""[x]attempted suicide""	1	""attempted suicide""",
"""18182""",UNKNOWN,true,"""U4...00""	""[x]event of undetermined intent""	1	""unknown intent""",
"""18379""",UNKNOWN,true,"""U200.11""	""[x]overdose - paracetamol""	1	""unknown intent""",
"""18983""",UNKNOWN,true,"""ZX1I.00""	""self-scalding""	1	""self harm""",
"""20625""",UNKNOWN,true,"""U2...12""	""[x]injury - self-inflicted""	1	""self harm""",
"""20650""",UNKNOWN,true,"""U200z00""	""[x]intent self poison nonopioid analgesic unspecif place""	1	""self harm""",
"""20668""",UNKNOWN,true,"""TN7..00""	""injury ?accidental, fall from high place""	1	""unknown intent""",
"""21027""",UNKNOWN,true,"""TK...14""	""suicide and self harm""	1	""self harm""",
"""21029""",UNKNOWN,true,"""TK...00""	""suicide and selfinflicted injury""	1	""self harm""",
"""21211""",UNKNOWN,true,"""U200.00""	""[x]intent self poison/exposure to nonopioid analgesic""	1	""self harm""",
"""22199""",UNKNOWN,true,"""TK04.00""	""suicide + selfinflicted poisoning by other drugs/medicines""	1	""self harm""",
"""22281""",UNKNOWN,true,"""ZX11.00""	""biting self""	1	""self harm""",
"""23080""",UNKNOWN,true,"""TK3..00""	""suicide + selfinflicted injury by hang/strangulate/suffocate""	1	""self harm""",
"""23753""",UNKNOWN,true,"""TK7..00""	""suicide and selfinflicted injury by jumping from high place""	1	""self harm""",
"""23823""",UNKNOWN,true,"""U40..00""	""[x]poisoning/expos to noxious substance,undetermined intent""	1	""unknown intent""",
"""24086""",UNKNOWN,true,"""U20A.11""	""[x]self poisoning from glue solvent""	1	""self harm""",
"""24461""",UNKNOWN,true,"""U27..00""	""[x]intentional self harm by smoke, fire and flames""	1	""self harm""",
"""24463""",UNKNOWN,true,"""U20B.11""	""[x]self carbon monoxide poisoning""	1	""self harm""",
"""25274""",UNKNOWN,true,"""TNz..00""	""injury undetermined accidental or purposely inflicted nos""	1	""unknown intent""",
"""25854""",UNKNOWN,true,"""ZX19.00""	""hitting self""	1	""self harm""",
"""25859""",UNKNOWN,true,"""ZX1G.00""	""scratches self""	1	""self harm""",
"""26465""",UNKNOWN,true,"""U29..00""	""[x]intentional self harm by sharp object""	1	""self harm""",
"""27470""",UNKNOWN,true,"""TK61.00""	""suicide and selfinflicted injury by stabbing""	1	""self harm""",
"""27522""",UNKNOWN,true,"""TK03.00""	""suicide + selfinflicted poisoning tranquilliser/psychotropic""	1	""self harm""",
"""27713""",UNKNOWN,true,"""U20..00""	""[x]intentional self poisoning/exposure to noxious substances""	1	""self harm""",
"""27812""",UNKNOWN,true,"""U40y.00""	""[x]poisoning/exposure, ? intent, to unspecif chemical""	1	""unknown intent""",
"""28080""",UNKNOWN,true,"""TK07.00""	""suicide + selfinflicted poisoning by corrosive/caustic subst""	1	""self harm""",
"""28115""",UNKNOWN,true,"""TK51.00""	""suicide and selfinflicted injury by shotgun""	1	""self harm""",
"""28399""",UNKNOWN,true,"""TN51.00""	""injury ?accidental, by shotgun""	1	""unknown intent""",
"""28531""",UNKNOWN,true,"""U45..00""	""[x]other+unspecified firearm discharge undetermined intent""	1	""unknown intent""",
