code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""Read.code""	""Term""	""Group""",
"""6325""",UNKNOWN,true,"""1464""	""H/O: schizophrenia""	""schizophrenia""",
"""11548""",UNKNOWN,true,"""146D""	""H/O: manic depressive disorder""	""bipolar""",
"""12777""",UNKNOWN,true,"""146H""	""H/O: psychosis""	""other psychosis""",
"""22713""",UNKNOWN,true,"""1S42""	""Manic mood""	""bipolar""",
"""15958""",UNKNOWN,true,"""E1""	""Non-organic psychoses""	""other psychosis""",
"""854""",UNKNOWN,true,"""E10""	""Schizophrenic disorders""	""schizophrenia""",
"""32222""",UNKNOWN,true,"""E100""	""Simple schizophrenia""	""schizophrenia""",
"""15733""",UNKNOWN,true,"""E1000""	""Unspecified schizophrenia""	""schizophrenia""",
"""23616""",UNKNOWN,true,"""E1001""	""Subchronic schizophrenia""	""schizophrenia""",
"""73295""",UNKNOWN,true,"""E100-1""	""Schizophrenia simplex""	""schizophrenia""",
"""3984""",UNKNOWN,true,"""E1002""	""Chronic schizophrenic""	""schizophrenia""",
"""57666""",UNKNOWN,true,"""E1003""	""Acute exacerbation of subchronic schizophrenia""	""schizophrenia""",
"""44498""",UNKNOWN,true,"""E1004""	""Acute exacerbation of chronic schizophrenia""	""schizophrenia""",
"""58687""",UNKNOWN,true,"""E1005""	""Schizophrenia in remission""	""schizophrenia""",
"""53625""",UNKNOWN,true,"""E100z""	""Simple schizophrenia NOS""	""schizophrenia""",
"""30619""",UNKNOWN,true,"""E101""	""Hebephrenic schizophrenia""	""schizophrenia""",
"""66506""",UNKNOWN,true,"""E1010""	""Unspecified hebephrenic schizophrenia""	""schizophrenia""",
"""113781""",UNKNOWN,true,"""E1012""	""Chronic hebephrenic schizophrenia""	""schizophrenia""",
"""97919""",UNKNOWN,true,"""E1014""	""Acute exacerbation of chronic hebephrenic schizophrenia""	""schizophrenia""",
"""67768""",UNKNOWN,true,"""E1015""	""Hebephrenic schizophrenia in remission""	""schizophrenia""",
"""48054""",UNKNOWN,true,"""E101z""	""Hebephrenic schizophrenia NOS""	""schizophrenia""",
"""25546""",UNKNOWN,true,"""E102""	""Catatonic schizophrenia""	""schizophrenia""",
"""58716""",UNKNOWN,true,"""E1020""	""Unspecified catatonic schizophrenia""	""schizophrenia""",
"""99199""",UNKNOWN,true,"""E1021""	""Subchronic catatonic schizophrenia""	""schizophrenia""",
"""113529""",UNKNOWN,true,"""E1022""	""Chronic catatonic schizophrenia""	""schizophrenia""",
"""107222""",UNKNOWN,true,"""E1024""	""Acute exacerbation of chronic catatonic schizophrenia""	""schizophrenia""",
"""102427""",UNKNOWN,true,"""E1025""	""Catatonic schizophrenia in remission""	""schizophrenia""",
"""63867""",UNKNOWN,true,"""E102z""	""Catatonic schizophrenia NOS""	""schizophrenia""",
"""1494""",UNKNOWN,true,"""E103""	""Paranoid schizophrenia""	""schizophrenia""",
"""33383""",UNKNOWN,true,"""E1030""	""Unspecified paranoid schizophrenia""	""schizophrenia""",
"""104760""",UNKNOWN,true,"""E1031""	""Subchronic paranoid schizophrenia""	""schizophrenia""",
"""31362""",UNKNOWN,true,"""E1032""	""Chronic paranoid schizophrenia""	""schizophrenia""",
"""51322""",UNKNOWN,true,"""E1033""	""Acute exacerbation of subchronic paranoid schizophrenia""	""schizophrenia""",
"""53032""",UNKNOWN,true,"""E1034""	""Acute exacerbation of chronic paranoid schizophrenia""	""schizophrenia""",
"""36172""",UNKNOWN,true,"""E1035""	""Paranoid schizophrenia in remission""	""schizophrenia""",
"""9281""",UNKNOWN,true,"""E103z""	""Paranoid schizophrenia NOS""	""schizophrenia""",
"""576""",UNKNOWN,true,"""E104""	""Acute schizophrenic episode""	""schizophrenia""",
"""93167""",UNKNOWN,true,"""E104-1""	""Oneirophrenia""	""other psychosis""",
"""66410""",UNKNOWN,true,"""E105""	""Latent schizophrenia""	""other psychosis""",
"""102311""",UNKNOWN,true,"""E1050""	""Unspecified latent schizophrenia""	""other psychosis""",
"""94299""",UNKNOWN,true,"""E1052""	""Chronic latent schizophrenia""	""other psychosis""",
"""114206""",UNKNOWN,true,"""E1054""	""Acute exacerbation of chronic latent schizophrenia""	""other psychosis""",
"""96883""",UNKNOWN,true,"""E1055""	""Latent schizophrenia in remission""	""other psychosis""",
"""102446""",UNKNOWN,true,"""E105z""	""Latent schizophrenia NOS""	""other psychosis""",
"""38063""",UNKNOWN,true,"""E106""	""Residual schizophrenia""	""schizophrenia""",
"""2117""",UNKNOWN,true,"""E107""	""Schizo-affective schizophrenia""	""other psychosis""",
