code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""dmdcode""	""gemscriptcode""	""productname""	""drugsubstance""	""strength""	""formulation""	""route""	""bnfcode""	""bnfchapter""	""Statin""",
"""25""",UNKNOWN,true,"319997009	""72488020""	""Simvastatin 20mg tablets""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""28""",UNKNOWN,true,"320029006	""83943020""	""Atorvastatin 10mg tablets""	""Atorvastatin calcium trihydrate""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Atorvastatin""",
"""42""",UNKNOWN,true,"319996000	""72487020""	""Simvastatin 10mg tablets""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""51""",UNKNOWN,true,"320000009	""72489020""	""Simvastatin 40mg tablets""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""75""",UNKNOWN,true,"320030001	""83944020""	""Atorvastatin 20mg tablets""	""Atorvastatin calcium trihydrate""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Atorvastatin""",
"""379""",UNKNOWN,true,"320022002	""75344020""	""Fluvastatin 20mg capsules""	""Fluvastatin sodium""	""20mg""	""Capsule""	""Oral""	""02120400""	""Statins""	""fluvastatin""",
"""420""",UNKNOWN,true,"320035006	""84278020""	""Cerivastatin 100microgram tablets""	""Cerivastatin sodium""	""100microgram""	""Tablet""	""Oral""	""00000000""	""Unknown""	""Other""",
"""490""",UNKNOWN,true,"320012008	""73782020""	""Pravastatin 10mg tablets""	""Pravastatin sodium""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""713""",UNKNOWN,true,"408036003	""85632020""	""Rosuvastatin 10mg tablets""	""Rosuvastatin calcium""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""730""",UNKNOWN,true,"320013003	""73783020""	""Pravastatin 20mg tablets""	""Pravastatin sodium""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""745""",UNKNOWN,true,"320031002	""83945020""	""Atorvastatin 40mg tablets""	""Atorvastatin calcium trihydrate""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Atorvastatin""",
"""802""",UNKNOWN,true,"4896711000001108	""87029020""	""Simvador 40mg tablets (Discovery Pharmaceuticals)""	""Simvastatin""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""818""",UNKNOWN,true,"242705001000027104	""90773020""	""Simvastatin 20mg/5ml oral solution sugar free""	""Simvastatin""	""20mg/5ml""	""Oral Suspension Sugar-free""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""1219""",UNKNOWN,true,"320014009	""73784020""	""Pravastatin 40mg tablets""	""Pravastatin sodium""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""1221""",UNKNOWN,true,"802411000001108	""73787020""	""Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)""	""Pravastatin sodium""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""1223""",UNKNOWN,true,"535011000001102	""73789020""	""Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)""	""Pravastatin sodium""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Pravastatin""",
"""2137""",UNKNOWN,true,"320023007	""75345020""	""Fluvastatin 40mg capsules""	""Fluvastatin sodium""	""40mg""	""Capsule""	""Oral""	""02120400""	""Statins""	""fluvastatin""",
"""2718""",UNKNOWN,true,"108111000001106	""72482020""	""Zocor 10mg tablets (Merck Sharp & Dohme Ltd)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""2955""",UNKNOWN,true,"484211000001108	""83955020""	""Lipitor 40mg tablets (Pfizer Ltd)""	""Atorvastatin calcium trihydrate""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Atorvastatin""",
