code,code_system,include,term,notes
medcodeid,UNKNOWN,true,term,
73466011,UNKNOWN,true,non-insulin dependent diabetes mellitus,
121589010,UNKNOWN,true,diabetes mellitus,
197761014,UNKNOWN,true,type 2 diabetes mellitus,
264681018,UNKNOWN,true,diabetic on oral treatment,
264682013,UNKNOWN,true,diabetic on insulin,
264707013,UNKNOWN,true,diabetic - good control,
264716012,UNKNOWN,true,diabetic - poor control nos,
264717015,UNKNOWN,true,diabetic - cooperative patient,
264718013,UNKNOWN,true,diabetic-uncooperative patient,
264719017,UNKNOWN,true,diabetic - follow-up default,
292466013,UNKNOWN,true,diabetes mellitus without complication,
292475010,UNKNOWN,true,diabetes mellitus nos with no mention of complication,
292479016,UNKNOWN,true,diabetes mellitus nos with ketoacidosis,
292480018,UNKNOWN,true,diabetes mellitus with hyperosmolar coma,
292483016,UNKNOWN,true,"diabetes mellitus, adult onset, with hyperosmolar coma",
292489017,UNKNOWN,true,diabetes mellitus nos with ketoacidotic coma,
292496015,UNKNOWN,true,diabetes mellitus with nephropathy nos,
292503016,UNKNOWN,true,diabetes mellitus nos with ophthalmic manifestation,
292512019,UNKNOWN,true,diabetes mellitus nos with neurological manifestation,
292523015,UNKNOWN,true,diabetes mellitus nos with peripheral circulatory disorder,
292565014,UNKNOWN,true,diabetes mellitus with multiple complications,
292576013,UNKNOWN,true,type ii diabetes mellitus with multiple complications,
292577016,UNKNOWN,true,type 2 diabetes mellitus with multiple complications,
292579018,UNKNOWN,true,type 2 diabetes mellitus with ulcer,
292581016,UNKNOWN,true,type ii diabetes mellitus with ulcer,
292582011,UNKNOWN,true,type ii diabetes mellitus with gangrene,
292583018,UNKNOWN,true,type 2 diabetes mellitus with gangrene,
292589019,UNKNOWN,true,type ii diabetes mellitus - poor control,
292590011,UNKNOWN,true,type ii diabetes mellitus poorly controlled,
292617015,UNKNOWN,true,diabetes mellitus with other specified manifestation,
292621010,UNKNOWN,true,diabetes mellitus nos with other specified manifestation,
292622015,UNKNOWN,true,diabetes mellitus with unspecified complication,
345487013,UNKNOWN,true,diabetes mellitus with neuropathy,
401531012,UNKNOWN,true,diabetic - poor control,
411891014,UNKNOWN,true,unstable diabetes,
457328010,UNKNOWN,true,non-insulin-dependent diabetes mellitus without complication,
457329019,UNKNOWN,true,type 2 diabetes mellitus without complication,
457330012,UNKNOWN,true,type ii diabetes mellitus without complication,
458512016,UNKNOWN,true,diabetic on insulin and oral treatment,
459167016,UNKNOWN,true,type 2 diabetes mellitus with hypoglycaemic coma,
459306016,UNKNOWN,true,type ii diabetes mellitus with peripheral angiopathy,
459308015,UNKNOWN,true,type 2 diabetes mellitus with peripheral angiopathy,
459309011,UNKNOWN,true,non-insulin dependent diabetes mellitus with arthropathy,
459310018,UNKNOWN,true,type 2 diabetes mellitus with arthropathy,
459311019,UNKNOWN,true,type ii diabetes mellitus with arthropathy,
459312014,UNKNOWN,true,type ii diabetes mellitus with neuropathic arthropathy,
459313016,UNKNOWN,true,type 2 diabetes mellitus with neuropathic arthropathy,
493773010,UNKNOWN,true,niddm - non-insulin dependent diabetes mellitus,
493774016,UNKNOWN,true,type ii diabetes mellitus,
1223147012,UNKNOWN,true,insulin treated type ii diabetes mellitus,
1223148019,UNKNOWN,true,insulin treated non-insulin dependent diabetes mellitus,
2622193012,UNKNOWN,true,diabetes mellitus with ketoacidosis,
84471000006119,UNKNOWN,true,type 2 diabetes mellitus,
84481000006116,UNKNOWN,true,type 2 diabetes mellitus - poor control,
84491000006118,UNKNOWN,true,type 2 diabetes mellitus with arthropathy,
84511000006112,UNKNOWN,true,type 2 diabetes mellitus with gangrene,
84521000006116,UNKNOWN,true,type 2 diabetes mellitus with hypoglycaemic coma,
84531000006118,UNKNOWN,true,type 2 diabetes mellitus with mononeuropathy,
84541000006111,UNKNOWN,true,type 2 diabetes mellitus with multiple complications,
84551000006113,UNKNOWN,true,type 2 diabetes mellitus with nephropathy,
84561000006110,UNKNOWN,true,type 2 diabetes mellitus with neurological complications,
84571000006115,UNKNOWN,true,type 2 diabetes mellitus with neuropathic arthropathy,
84581000006117,UNKNOWN,true,type 2 diabetes mellitus with ophthalmic complications,
84591000006119,UNKNOWN,true,type 2 diabetes mellitus with peripheral angiopathy,
84631000006119,UNKNOWN,true,type 2 diabetes mellitus with ulcer,
84641000006112,UNKNOWN,true,type 2 diabetes mellitus without complication,
84841000006113,UNKNOWN,true,type ii diabetes mellitus,
84851000006110,UNKNOWN,true,type ii diabetes mellitus - poor control,
84861000006112,UNKNOWN,true,type ii diabetes mellitus with arthropathy,
84881000006119,UNKNOWN,true,type ii diabetes mellitus with gangrene,
84891000006116,UNKNOWN,true,type ii diabetes mellitus with hypoglycaemic coma,
84911000006119,UNKNOWN,true,type ii diabetes mellitus with multiple complications,
84931000006113,UNKNOWN,true,neurological disorder with diabetes type 2,
84941000006115,UNKNOWN,true,type ii diabetes mellitus with neuropathic arthropathy,
84961000006116,UNKNOWN,true,type ii diabetes mellitus with peripheral angiopathy,
85001000006117,UNKNOWN,true,type ii diabetes mellitus with ulcer,
85011000006119,UNKNOWN,true,type ii diabetes mellitus without complication,
280511000006113,UNKNOWN,true,non-insulin dependent diabetes mellitus with hypoglyca coma,
280521000006117,UNKNOWN,true,non-insulin dependent diabetes mellitus with mononeuropathy,
280531000006119,UNKNOWN,true,non-insulin dependent diabetes mellitus with nephropathy,
280551000006114,UNKNOWN,true,non-insulin-dependent diabetes mellitus with ulcer,
280561000006111,UNKNOWN,true,non-insulin-dependent diabetes mellitus with peripheral angiopathy,
280571000006116,UNKNOWN,true,non-insulin dependent diabetes mellitus,
280581000006118,UNKNOWN,true,non-insulin-dependent diabetes mellitus with multiple complications,
280591000006115,UNKNOWN,true,non-insulin-dependent diabetes mellitus with neuro comps,
281171000006119,UNKNOWN,true,type ii diabetes mellitus uncontrolled,
281181000006116,UNKNOWN,true,non-insulin dependent diabetes mellitus with neuropathic arthropathy,
377001000006117,UNKNOWN,true,[x]diabetes mellitus,
587111000006111,UNKNOWN,true,non-insulin-dependent diabetes mellitus with ophthalm comps,
616351000006115,UNKNOWN,true,diabetes mellitus with gangrene,
616381000006111,UNKNOWN,true,diabetes mellitus with ketoacidotic coma,
616481000006119,UNKNOWN,true,"diabetes mellitus, adult onset, + neurological manifestation",
616491000006116,UNKNOWN,true,"diabetes mellitus, adult onset, + ophthalmic manifestation",
616511000006110,UNKNOWN,true,"diabetes mellitus, adult onset, no mention of complication",
616531000006116,UNKNOWN,true,"diabetes mellitus, adult onset, with ketoacidosis",
616541000006114,UNKNOWN,true,"diabetes mellitus, adult onset, with ketoacidotic coma",
616561000006113,UNKNOWN,true,"diabetes mellitus, adult with gangrene",
616571000006118,UNKNOWN,true,"diabetes mellitus, adult, + other specified manifestation",
616581000006115,UNKNOWN,true,"diabetes mellitus, adult, + peripheral circulatory disorder",
616831000006118,UNKNOWN,true,diabetes with gangrene,
616891000006119,UNKNOWN,true,diabetic - moderate control,
840951000006119,UNKNOWN,true,insulin treated type 2 diabetes mellitus,
840971000006112,UNKNOWN,true,diabetes mellitus autosomal dominant type ii,
841351000006110,UNKNOWN,true,insulin treated type ii diabetes mellitus,
851051000006110,UNKNOWN,true,ins-treat non-ins-dep diab mel,
856771000006110,UNKNOWN,true,patient has been told has diabetes,
881451000006113,UNKNOWN,true,diabetes mellitus -adult onset,
881461000006110,UNKNOWN,true,diabetes+ketoacidosis -no coma,
881471000006115,UNKNOWN,true,diabetes with coma,
881481000006117,UNKNOWN,true,diabetes + nephropathy,
881491000006119,UNKNOWN,true,diabetes + eye manifestation,
881501000006110,UNKNOWN,true,diabetes + neuropathy,
881511000006113,UNKNOWN,true,diabetes + periph.circulat.dis,
881521000006117,UNKNOWN,true,diabetes + other complications,
905621000006113,UNKNOWN,true,[rfc] reason for care : diabetes,
908831000006118,UNKNOWN,true,[rfc] reason for care : diabetes mellitus,
914061000006110,UNKNOWN,true,type ii diabetes mellitus with ophthalmic complications,
914081000006117,UNKNOWN,true,type ii diabetes mellitus with neurological complications,
914221000006113,UNKNOWN,true,type 2 diabetes mellitus with mononeuropathy,
914231000006111,UNKNOWN,true,type ii diabetes mellitus with mononeuropathy,
914261000006119,UNKNOWN,true,diabetes type 2 with nephropathy,
914271000006114,UNKNOWN,true,type ii diabetes mellitus with nephropathy,
914391000006116,UNKNOWN,true,insulin treated type 2 diabetes mellitus,
928551000006115,UNKNOWN,true,type ii diabetes mellitus with persistent proteinuria,
928571000006113,UNKNOWN,true,type ii diabetes mellitus with persistent microalbuminuria,
928591000006114,UNKNOWN,true,type ii diabetes mellitus with ketoacidosis,
932641000006116,UNKNOWN,true,diabetes with coma,
1177721000000112,UNKNOWN,true,diabetic on subcutaneous treatment,
1667921000000117,UNKNOWN,true,type ii diabetes mellitus with gastroparesis,
1694761000006113,UNKNOWN,true,newly diagnosed diabetes,
1780981000006115,UNKNOWN,true,diabetic on non-insulin injectable,
1823921000006119,UNKNOWN,true,diabetes mellitus confirmed,
1954041000006119,UNKNOWN,true,diabetic - uses carbohydrate counting,
1966311000006116,UNKNOWN,true,diabetic on oral treatment and glucagon-like peptide 1 receptor agonist,
1966321000006112,UNKNOWN,true,diabetic on insulin and glucagon-like peptide 1 receptor agonist,
2460251000000115,UNKNOWN,true,diabetic on non-insulin injectable medication,
2683591000006110,UNKNOWN,true,unstable diabetes mellitus,
3209441000006114,UNKNOWN,true,diabetes mellitus type 2,
3690681000006114,UNKNOWN,true,dm - diabetes mellitus,
3825721000006111,UNKNOWN,true,type 2 diabetes mellitus in obese,
3825731000006114,UNKNOWN,true,diabetes mellitus type 2 in obese,
4758011000006112,UNKNOWN,true,type 2 diabetes mellitus with hyperosmolar coma,
5109461000006115,UNKNOWN,true,diabetes type 2 on insulin,
