"medcode"	"term"	"database"
"4525015"	"alcoholic gastritis"	"Aurum"
"12878014"	"alcoholism"	"Aurum"
"14103017"	"alcohol-induced polyneuropathy"	"Aurum"
"15243013"	"alcohol withdrawal delirium"	"Aurum"
"17390014"	"acute alcoholic hepatitis"	"Aurum"
"73012011"	"moderate drinker"	"Aurum"
"83834016"	"alcoholic fatty liver"	"Aurum"
"106878015"	"alcohol detoxification"	"Aurum"
"110629012"	"chronic alcoholism"	"Aurum"
"138527014"	"alcoholic cardiomyopathy"	"Aurum"
"144179014"	"heavy drinker"	"Aurum"
"216585018"	"under care of community alcohol team"	"Aurum"
"250313014"	"moderate drinker - 3-6u/day"	"Aurum"
"250314015"	"heavy drinker - 7-9u/day"	"Aurum"
"250316018"	"very heavy drinker - >9u/day"	"Aurum"
"250323017"	"ex-moderate drinker - (3-6u/d)"	"Aurum"
"250324011"	"ex-heavy drinker - (7-9u/day)"	"Aurum"
"250329018"	"ex-very heavy drinker-(>9u/d)"	"Aurum"
"251195015"	"alcoholics anonymous"	"Aurum"
"251626014"	"h/o: alcoholism"	"Aurum"
"254305017"	"o/e - breath - alcohol smell"	"Aurum"
"254306016"	"o/e - alcoholic breath"	"Aurum"
"283028013"	"alcohol leaflet given"	"Aurum"
"283451018"	"aversion therapy - alcoholism"	"Aurum"
"283559019"	"admitted to alcohol detoxification centre"	"Aurum"
"294662017"	"korsakov's alcoholic psychosis with peripheral neuritis"	"Aurum"
"294664016"	"alcohol amnestic syndrome nos"	"Aurum"
"294668018"	"chronic alcoholic brain syndrome"	"Aurum"
"294669014"	"alcohol withdrawal hallucinosis"	"Aurum"
"294671014"	"pathological alcohol intoxication"	"Aurum"
"294672019"	"alcoholic paranoia"	"Aurum"
"294673012"	"other alcoholic psychosis"	"Aurum"
"294674018"	"alcohol withdrawal syndrome"	"Aurum"
"294675017"	"other alcoholic psychosis nos"	"Aurum"
"294676016"	"alcoholic psychosis nos"	"Aurum"
"295126010"	"alcohol dependence with acute alcoholic intoxication"	"Aurum"
"295127018"	"acute alcoholic intoxication in alcoholism"	"Aurum"
"295128011"	"acute alcoholic intoxication, unspecified, in alcoholism"	"Aurum"
"295129015"	"continuous acute alcoholic intoxication in alcoholism"	"Aurum"
"295130013"	"episodic acute alcoholic intoxication in alcoholism"	"Aurum"
"295131012"	"acute alcoholic intoxication in remission, in alcoholism"	"Aurum"
"295132017"	"acute alcoholic intoxication in alcoholism nos"	"Aurum"
"295136019"	"alcohol dependence"	"Aurum"
"295139014"	"continuous chronic alcoholism"	"Aurum"
"295141010"	"episodic chronic alcoholism"	"Aurum"
"295142015"	"chronic alcoholism in remission"	"Aurum"
"295143013"	"chronic alcoholism nos"	"Aurum"
"295144019"	"alcohol dependence syndrome nos"	"Aurum"
"295251015"	"nondependent alcohol abuse, unspecified"	"Aurum"
"295252010"	"nondependent alcohol abuse, continuous"	"Aurum"
"295253017"	"nondependent alcohol abuse, episodic"	"Aurum"
"295254011"	"nondependent alcohol abuse in remission"	"Aurum"
"295255012"	"nondependent alcohol abuse nos"	"Aurum"
"295765017"	"alcohol-induced organic mental disorder"	"Aurum"
"297011014"	"alcoholic encephalopathy"	"Aurum"
"303399018"	"alcoholic liver damage"	"Aurum"
"324466015"	"grain alcohol causing toxic effect"	"Aurum"
"324467012"	"ethyl alcohol causing toxic effect nos"	"Aurum"
"324488015"	"other alcohol causing toxic effect"	"Aurum"
"324489011"	"alcohol causing toxic effect nos"	"Aurum"
"325596018"	"toxic effect of alcohol"	"Aurum"
"342322012"	"very heavy drinker"	"Aurum"
"342361016"	"drinks in morning to get rid of hangover"	"Aurum"
"342366014"	"binge drinker"	"Aurum"
"342421016"	"feels should cut down drinking"	"Aurum"
"346929012"	"alcoholic dementia"	"Aurum"
"353587018"	"alcoholic hepatitis"	"Aurum"
"353594015"	"alcoholic fibrosis and sclerosis of liver"	"Aurum"
"353595019"	"alcoholic hepatic failure"	"Aurum"
"353687012"	"alcohol-induced acute pancreatitis"	"Aurum"
"353698013"	"alcohol-induced chronic pancreatitis"	"Aurum"
"356292013"	"alcohol-induced pseudo-cushing's syndrome"	"Aurum"
"401760017"	"other alcoholic dementia"	"Aurum"
"401797010"	"nondependent alcohol abuse"	"Aurum"
"451124014"	"chronic alcoholic hepatitis"	"Aurum"
"453265010"	"oesophageal varices in alcoholic cirrhosis of the liver"	"Aurum"
"460276013"	"[v]personal history of alcoholism"	"Aurum"
"460926018"	"[v]alcohol rehabilitation"	"Aurum"
"461112017"	"alcoholism counselling"	"Aurum"
"478024019"	"alcohol-induced epilepsy"	"Aurum"
"478046010"	"cerebellar ataxia due to alcoholism"	"Aurum"
"500478011"	"alcohol dependence syndrome"	"Aurum"
"500729017"	"alcohol causing toxic effect"	"Aurum"
"502017010"	"alcohol problem drinking"	"Aurum"
"1225183017"	"alcohol deterrent poisoning"	"Aurum"
"1227802010"	"[v]medicolegal blood alcohol test"	"Aurum"
"1484890014"	"referral to community alcohol team"	"Aurum"
"2474678017"	"alcohol disorder monitoring"	"Aurum"
"2549646014"	"referral to community drug and alcohol team"	"Aurum"
"2549849017"	"alcohol induced hallucinations"	"Aurum"
"117761000006116"	"denies alcohol abuse"	"Aurum"
"223671000000110"	"hangover from alcohol"	"Aurum"
"226571000000116"	"alcohol misuse enhanced service completed"	"Aurum"
"236441000000113"	"alcohol misuse enhanced services administration"	"Aurum"
"315091000000117"	"alcohol withdrawal-induced seizure"	"Aurum"
"362251000006117"	"alcohol intoxication"	"Aurum"
"362921000006118"	"[x]alcohol addiction"	"Aurum"
"362931000006115"	"[x]alcohol deterrents caus adverse effects in therapeut use"	"Aurum"
"362941000006113"	"[x]alcoholic dementia nos"	"Aurum"
"362951000006110"	"alcoholic hallucinosis"	"Aurum"
"362961000006112"	"[x]alcoholic jealousy"	"Aurum"
"362971000006117"	"[x]alcoholic paranoia"	"Aurum"
"362981000006119"	"[x]alcoholic psychosis nos"	"Aurum"
"370961000006119"	"[x]chronic alcoholic brain syndrome"	"Aurum"
"370971000006114"	"[x]chronic alcoholism"	"Aurum"
"371501000000110"	"delivery of rehabilitation for alcohol addiction"	"Aurum"
"376451000006113"	"[x]delirium tremens, alcohol induced"	"Aurum"
"380031000006116"	"[x]evid of alcohol involv determind by level of intoxication"	"Aurum"
"380081000006115"	"finding of alcohol in blood"	"Aurum"
"391351000006115"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at industrial and construction area"	"Aurum"
"391501000006112"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at sports and athletics area"	"Aurum"
"391511000006110"	"[x]intentional self poisoning by and exposure to alcohol, occurrence at other specified place"	"Aurum"
