"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"Term"	"AD"
"Valdoxan 25mg tablets"	"Tablet"	"Oral"	"Agomelatine"	"25.000mg"	"5077141000033117"	"0403040Z0"	NA	"agomelatine"
"Agomelatine 25mg tablets"	"Tablet"	"Oral"	"Agomelatine"	"25.000mg"	"5077041000033116"	"0403040Z1"	NA	"agomelatine"
"Amitriptyline 10mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10.000mg"	"60441000033116"	"0403010B0"	NA	"amitriptyline"
"Amitriptyline 25mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25.000mg"	"60641000033119"	"0403010B1"	NA	"amitriptyline"
"Amitriptyline 50mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50.000mg"	"60541000033115"	"0403010B2"	NA	"amitriptyline"
"Amitriptyline 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Amitriptyline hydrochloride"	"2.000mg/1.000ml"	"5888641000033118"	"0403010B3"	NA	"amitriptyline"
"Amitriptyline 10mg/5ml oral solution"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2.000mg/1.000ml"	"5490141000033118"	"0403010B4"	NA	"amitriptyline"
"Amitriptyline 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"2.000mg/1.000ml"	"10332441000033118"	"0403010B5"	NA	"amitriptyline"
"Amitriptyline 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"25.000mg"	"45841000033119"	"0403010B6"	NA	"amitriptyline"
"Lentizol 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"25.000mg"	"819741000033117"	"0403010B6"	NA	"amitriptyline"
"Amitriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5.000mg/1.000ml"	"55441000033119"	"0403010B6"	NA	"amitriptyline"
"Amitriptyline 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"50.000mg"	"45941000033110"	"0403010B6"	NA	"amitriptyline"
"Lentizol 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"50.000mg"	"819841000033110"	"0403010B6"	NA	"amitriptyline"
"Amitriptyline 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"10.000mg/1.000ml"	"55541000033118"	"0403010B6"	NA	"amitriptyline"
"Amitriptyline 25mg / Perphenazine 2mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/ Perphenazine"	"25.000mg + 2.000mg"	"3180441000033118"	""	NA	"amitriptyline_perphenazine"
"Triptafen tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/ Perphenazine"	"25.000mg + 2.000mg"	"1473341000033117"	""	NA	"amitriptyline_perphenazine"
"Triptafen-M tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/ Perphenazine"	"10.000mg + 2.000mg"	"1473441000033111"	""	NA	"amitriptyline_perphenazine"
"Amitriptyline 10mg / Perphenazine 2mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride/ Perphenazine"	"10.000mg + 2.000mg"	"3180541000033117"	""	NA	"amitriptyline_perphenazine"
"Amoxapine 50mg tablets"	"Tablet"	"Oral"	"Amoxapine"	"50.000mg"	"60941000033114"	"0403010C0"	NA	"amoxapine"
"Asendis 50mg tablets"	"Tablet"	"Oral"	"Amoxapine"	"50.000mg"	"87941000033111"	"0403010C0"	NA	"amoxapine"
"Asendis 100mg tablets"	"Tablet"	"Oral"	"Amoxapine"	"100.000mg"	"87641000033116"	"0403010C0"	NA	"amoxapine"
"Amoxapine 100mg tablets"	"Tablet"	"Oral"	"Amoxapine"	"100.000mg"	"61041000033116"	"0403010C0"	NA	"amoxapine"
"Cipramil 20mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20.000mg"	"259141000033116"	"0403030D0"	NA	"citalopram"
"Citalopram 20mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"20.000mg"	"259241000033111 "	"0403030D0"	NA	"citalopram"
"Citalopram 10mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10.000mg"	"1583341000033118"	"0403030D0"	NA	"citalopram"
"Cipramil 10mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"10.000mg"	"1583241000033111"	"0403030D0"	NA	"citalopram"
"Cipramil 40mg tablets"	"Tablet"	"Oral"	"Citalopram hydrobromide"	"40.000mg"	"1583041000033115"	"0403030D0"	NA	"citalopram"
