"productname"	"formulation"	"route"	"drugsubstance"	"strength"	"productcode"	"BNFcode"	"AD"
"Valdoxan 25mg tablets (Servier Laboratories Ltd)"	"Tablet"	"Oral"	"Agomelatine"	"25mg"	"40295"	"0403040Z2"	"agomelatine"
"Agomelatine 25mg tablets"	"Tablet"	"Oral"	"Agomelatine"	"25mg"	"40494"	"0403040Z3"	"agomelatine"
"Amitriptyline 25mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"49"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"83"	"0403010B6"	"amitriptyline"
"Tryptizol 10mg/ml Injection (Merck Sharp & Dohme Ltd)"	"Injection"	""	"Amitriptyline Hydrochloride"	"10mg/ml"	"182"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"487"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"1888"	"0403010B6"	"amitriptyline"
"Lentizol 25mg modified-release capsules (Pfizer Ltd)"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"2486"	"0403010B6"	"amitriptyline"
"Amitriptyline 75mg modified-release capsules"	"Modified Release Capsules"	"Oral"	"Amitriptyline Hydrochloride"	"75mg"	"2525"	"0403010B6"	"amitriptyline"
"Lentizol 50mg modified-release capsules (Pfizer Ltd)"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"2985"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg/5ml sugar free oral solution"	"Oral Solution Sugar-free"	"Oral"	"Amitriptyline Hydrochloride"	"10mg/5ml"	"3777"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"4682"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"10mg/1ml"	"4690"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Amitriptyline hydrochloride"	"5mg/1ml"	"6312"	"0403010B6"	"amitriptyline"
"Tryptizol 25mg Tablet (Merck Sharp & Dohme Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"7751"	"0403010B6"	"amitriptyline"
"Tryptizol 50mg Tablet (Merck Sharp & Dohme Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"8332"	"0403010B6"	"amitriptyline"
"Tryptizol 10mg Tablet (Merck Sharp & Dohme Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"8726"	"0403010B6"	"amitriptyline"
"Tryptizol mr 75mg Modified-release capsule (Merck Sharp & Dohme Ltd)"	"Modified-release Capsule"	"Oral"	"Amitriptyline Hydrochloride"	"75mg"	"8831"	"0403010B6"	"amitriptyline"
"Tryptizol 10mg/5ml sugar free Oral solution (Merck Sharp and Dohme Ltd)"	"Oral Solution"	"Oral"	"Amitriptyline Hydrochloride"	"10mg/5ml"	"8878"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg/ml injection"	"Injection"	""	"Amitriptyline Hydrochloride"	"10mg/ml"	"19779"	"0403010B6"	"amitriptyline"
"Domical 25mg Tablet (Berk Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"20026"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Oral Solution"	"Oral"	"Amitriptyline Hydrochloride"	"10mg/5ml"	"22070"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"24134"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"24141"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Actavis UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"24145"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"24147"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"24152"	"0403010B6"	"amitriptyline"
"Elavil 10mg Tablet (DDSA Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"24680"	"0403010B6"	"amitriptyline"
"Domical 10mg Tablet (Berk Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"26213"	"0403010B6"	"amitriptyline"
"Domical 50mg Tablet (Berk Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"27008"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg Tablet (Sussex Pharmaceutical Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"32439"	"0403010B6"	"amitriptyline"
"Amitriptyline 10mg tablets (A A H Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"10mg"	"33090"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (Teva UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"33624"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (Wockhardt UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"34107"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg tablets (Wockhardt UK Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"34129"	"0403010B6"	"amitriptyline"
"Amitriptyline 50mg tablets (Kent Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"50mg"	"34182"	"0403010B6"	"amitriptyline"
"Amitriptyline 25mg Tablet (Berk Pharmaceuticals Ltd)"	"Tablet"	"Oral"	"Amitriptyline hydrochloride"	"25mg"	"34197"	"0403010B6"	"amitriptyline"
