"prodcodeid"	"term"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"concat"	"match"	"Antihypertensives"
"3041000033115"	"Acebutolol 100mg capsules"	"Acebutolol 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Acebutolol"	"100.000mg"	"02040000"	"acebutolol 100mg capsules acebutolol 100mg capsules acebutolol hydrochloride"	1	"Acebutolol"
"3141000033116"	"Acebutolol 200mg capsules"	"Acebutolol 200mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Acebutolol"	"200.000mg"	"02040000"	"acebutolol 200mg capsules acebutolol 200mg capsules acebutolol hydrochloride"	1	"Acebutolol"
"6041000033113"	"Acebutolol  Injection  5 mg/1 ml"	"Acebutolol  Injection  5 mg/1 ml"	"Solution for injection"	"Intramuscular"	"Acebutolol"	NA	NA	"na acebutolol  injection  5 mg 1 ml acebutolol"	1	"Acebutolol"
"10741000033112"	"Acebutolol 400mg tablets"	"Acebutolol 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acebutolol"	"400.000mg"	"02040000"	"acebutolol 400mg tablets acebutolol 400mg tablets acebutolol hydrochloride"	1	"Acebutolol"
"10841000033119"	"Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acepril 12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril"	"12.500mg"	NA	"acepril 12 5mg tablets acepril 12 5mg tablets  bristol myers squibb pharmaceuticals ltd  captopril"	1	"Captopril"
"10941000033110"	"Acepril 25mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acepril 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril"	"25.000mg"	NA	"acepril 25mg tablets acepril 25mg tablets  bristol myers squibb pharmaceuticals ltd  captopril"	1	"Captopril"
"11041000033117"	"Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acepril 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril"	"50.000mg"	NA	"acepril 50mg tablets acepril 50mg tablets  bristol myers squibb pharmaceuticals ltd  captopril"	1	"Captopril"
"11241000033113"	"Accuretic 10mg/12.5mg tablets (Pfizer Ltd)"	"Accuretic 10mg/12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Hydrochlorothiazide/Quinapril"	"12.500mg + 10.000mg"	NA	"accuretic 10mg 12 5mg tablets accuretic 10mg 12 5mg tablets  pfizer ltd  hydrochlorothiazide  quinapril hydrochloride"	1	"Hydrochlorothiazide/Quinapril"
"11641000033111"	"Accupro 40mg tablets (Pfizer Ltd)"	"Accupro 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"40.000mg"	NA	"accupro 40mg tablets accupro 40mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"13141000033119"	"Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Acezide 25mg/50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Captopril/Hydrochlorothiazide"	"50.000mg + 25.000mg"	NA	"acezide 25mg 50mg tablets acezide 25mg 50mg tablets  bristol myers squibb pharmaceuticals ltd  captopril  hydrochlorothiazide"	1	"Captopril/Hydrochlorothiazide"
"13241000033114"	"Accupro 10mg tablets (Pfizer Ltd)"	"Accupro 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"10.000mg"	NA	"accupro 10mg tablets accupro 10mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"13341000033116"	"Accupro 20mg tablets (Pfizer Ltd)"	"Accupro 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"20.000mg"	NA	"accupro 20mg tablets accupro 20mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"13441000033110"	"Accupro 5mg tablets (Pfizer Ltd)"	"Accupro 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"5.000mg"	NA	"accupro 5mg tablets accupro 5mg tablets  pfizer ltd  quinapril hydrochloride"	1	"Quinapril"
"14041000033115"	"Adalat 10mg capsules (Bayer Plc)"	"Adalat 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Nifedipine"	"10.000mg"	NA	"adalat 10mg capsules adalat 10mg capsules  bayer plc  nifedipine"	1	"Nifedipine"
"14141000033116"	"Adalat 5mg capsules (Bayer Plc)"	"Adalat 5mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Nifedipine"	"5.000mg"	NA	"adalat 5mg capsules adalat 5mg capsules  bayer plc  nifedipine"	1	"Nifedipine"
"17141000033112"	"Adalat LA 30mg tablets (Bayer Plc)"	"Adalat LA 30mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	NA	"adalat la 30mg tablets adalat la 30mg tablets  bayer plc  nifedipine"	1	"Nifedipine"
"17241000033117"	"Adalat LA 60mg tablets (Bayer Plc)"	"Adalat LA 60mg tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	NA	"adalat la 60mg tablets adalat la 60mg tablets  bayer plc  nifedipine"	1	"Nifedipine"
"17341000033110"	"Adizem-SR 120mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"120.000mg"	NA	"adizem sr 120mg capsules adizem sr 120mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
"17441000033116"	"Adizem-SR 180mg capsules (Napp Pharmaceuticals Ltd)"	"Adizem-SR 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"180.000mg"	NA	"adizem sr 180mg capsules adizem sr 180mg capsules  napp pharmaceuticals ltd  diltiazem hydrochloride"	1	"Diltiazem"
