"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antiplatelets"
"71241000033119"	"Angettes 75 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"82641000033118"	"Aspirin  Chewable tablets  227 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"82841000033117"	"Aspirin 300mg dispersible tablets"	"Dispersible tablet/"	"Oral"	"Aspirin"	"300.000mg"	"04070100"	"Aspirin"
"82941000033113"	"Aspirin 75mg dispersible tablets"	"Dispersible tablet"	"Oral"	"Aspirin"	"75.000mg"	"02090000"	"Aspirin"
"83041000033115"	"Aspirin 75mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"75.000mg"	"02090000"	"Aspirin"
"83141000033116"	"Aspirin 300mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"300.000mg"	"04070100"	"Aspirin"
"83241000033111"	"Aspirin  E/c tablets  600 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"84341000033115"	"Aspirin  M/R tablets  100 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"84441000033114"	"Aspirin 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Aspirin"	"300.000mg"	"04070100"	"Aspirin"
"84941000033116"	"Aspirin  E/c tablets  324 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"85741000033118"	"Aspirin E/C  Tablets  300 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"86641000033119"	"Aspirin 300mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aspirin"	"300.000mg"	"04070100"	"Aspirin"
"86841000033118"	"Aspav dispersible tablets"	"Dispersible tablet/"	"Oral"	"Aspirin"	"500.000mg + 7.710mg"	NA	"Aspirin"
"86941000033114"	"Aspirin Paracetamol And Codeine  Tablets"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"87041000033110"	"Aspirin 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aspirin"	"75.000mg"	"02090000"	"Aspirin"
"87141000033114"	"Aspirin Dispersible Low Dose  Tablets  75 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"87441000033118"	"Aspirin  Tablets  500 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"87541000033117"	"Aspirin  Tablets  600 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"88041000033114"	"Aspirin E/C  Tablets  600 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"189841000033119"	"Caprin 75mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"212341000033117"	"Caprin 300mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"300.000mg"	NA	"Aspirin"
"370941000033119"	"Co-codaprin 8mg/400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Aspirin"	"400.000mg + 8.000mg"	"04070100"	"Aspirin"
"371041000033112"	"Co-codaprin 8mg/400mg dispersible tablets"	"Dispersible tablet/"	"Oral"	"Aspirin"	"400.000mg + 8.000mg"	"04070100"	"Aspirin"
"447141000033112"	"Dipyridamole 10mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Dipyridamole"	"5.000mg/1.000ml"	"02090000"	"Dipyridamole"
"452541000033115"	"Disprin CV 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Aspirin"	"300.000mg"	NA	"Aspirin"
"454141000033119"	"Dipyridamole 200mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Dipyridamole"	"200.000mg"	"02090000"	"Dipyridamole"
"469641000033119"	"Dipyridamole 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dipyridamole"	"100.000mg"	"02090000"	"Dipyridamole"
"469741000033111"	"Dipyridamole 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dipyridamole"	"25.000mg"	"02090000"	"Dipyridamole"
"991441000033115"	"Nu-Seals 75 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"993341000033113"	"Nu-Seals 300 gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"300.000mg"	NA	"Aspirin"
"993441000033119"	"Nu-Seals Aspirin  E/c tablets  600 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"1052141000033119"	"Persantin 10mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Dipyridamole"	"5.000mg/1.000ml"	NA	"Dipyridamole"
"1054941000033114"	"Persantin Retard 200mg capsules"	"Modified-release capsule"	"Oral"	"Dipyridamole"	"200.000mg"	NA	"Dipyridamole"
"1065441000033113"	"Persantin 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dipyridamole"	"100.000mg"	NA	"Dipyridamole"
"1065541000033114"	"Persantin 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dipyridamole"	"25.000mg"	NA	"Dipyridamole"
"1098041000033111"	"PostMI 75 dispersible tablets"	"Dispersible tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"1101541000033119"	"PostMI 75 EC tablets"	"Gastro-resistant tablet"	"Oral"	"Aspirin"	"75.000mg"	NA	"Aspirin"
"1365341000033118"	"Soluble Aspirin  Tablets  300 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"1365441000033112"	"Soluble Aspirin Paediatric  Tablets  75 mg"	"Tablet"	"Oral"	"Aspirin"	NA	NA	"Aspirin"
"1571541000033117"	"Asasantin Retard capsules"	"Modified-release capsule"	"Oral"	"Aspirin/Dipyridamole"	"25.000mg + 200.000mg"	NA	"Aspirin/Dipyridamole"
"1583541000033113"	"Clopidogrel 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clopidogrel"	"75.000mg"	"02090000"	"Clopidogrel"
"1602841000033113"	"Dipyridamole  Sugar-free suspension  100 mg/5 ml"	NA	NA	"Dipyridamole"	NA	NA	"Dipyridamole"
"1667041000033119"	"Plavix 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Clopidogrel"	"75.000mg"	NA	"Clopidogrel"
