"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"47895"	433	"Brilique 90mg tablets (AstraZeneca UK Ltd)"	"Ticagrelor"	"90mg"	"Oral tablet"	"Gastroenteral/Oral"	"Antiplatelet Products"	"Ticagrelor"
"68752"	0	"Aspirin 75mg tablets (Sigma Pharmaceuticals Plc)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"59728"	0	"Aspirin 75mg tablets (Alissa Healthcare Research Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"73634"	0	"Co-codaprin 8mg/400mg tablets (The Boots Company Plc)"	"Aspirin"	"8mg + 400mg"	"Oral tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"40191"	3	"ASPIRIN /CAFFEINE /QUININE SULPHATE 325 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"12102"	434	"ASPIRIN SOLUBLE 100 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"15779"	166	"Codeine 8mg with aspirin 500mg soluble tablets"	"Aspirin"	"8mg + 500mg"	"Soluble Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"53622"	0	"Aspirin 300mg Tablet (M & A Pharmachem Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"9027"	430	"ASPIRIN disp 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"91288"	0	"Aspirin 75mg gastro-resistant tablets (Galpharm International Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"22863"	1	"ASPIRIN S/R 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"86732"	0	"Aspirin 75mg tablets (G.L. Pharma UK Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"393"	549	"Disprin 300mg dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"53804"	0	"Aspirin 300mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"43434"	278	"Aspirin 300mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"48165"	1	"Aspirin 300mg tablets (Aspar Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"4523"	198	"ASPIRIN 50 MG CAP"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"8381"	118	"ASPIRIN /CAMPHOR /MENTHOL /METHYL SALICY 1.2 % LIN"	"Aspirin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Aspirin"
"40913"	674	"Grepid 75mg tablets (Kent Pharma (UK) Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"15447"	125	"ASPIRIN SOLUBLE 600 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"22450"	44	"ASPIRIN & CODEINE 75 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"52856"	957	"Co-codaprin 8mg/400mg tablets"	"Aspirin"	"8mg + 400mg"	"Oral tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"12605"	18	"ASPIRIN & CAFFEINE disp 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"377"	930692	"Aspirin 300mg dispersible tablets"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"10310"	1880	"Aspirin powder"	"Aspirin"	"1mg/1mg"	"Not applicable"	"Route of administration not applicable"	"Antiplatelet Products/Non-Opioid And Compound Analgesics/Extemporaneous Item"	"Aspirin"
"31954"	22224	"Aspirin 75mg dispersible tablets (Teva UK Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"50166"	1	"Generic Anadin Extra tablets"	"Aspirin"	"45mg + 200mg + 300mg"	"Oral tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"62707"	0	"Dipyridamole 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"49685"	61	"Aspirin 75mg dispersible tablets (Sigma Pharmaceuticals Plc)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"31001"	0	"Cullens headache powders Sachets (Cullen and Davidson)"	"Aspirin"	"600mg + 50mg"	"Oral powder"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"41229"	441	"Efient 10mg tablets (Vygoris Ltd)"	"Prasugrel"	"10mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Prasugrel"
"75011"	150	"Dipyridamole 100mg Tablet (C P Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"1902"	4116	"Aspirn 600mg gastro-resistant tablets"	"Aspirin"	"600mg"	"Gastro-Resistant Tablets"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"82633"	62	"Clopidogrel 25mg/5ml oral suspension"	"Clopidogrel"	"5mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"1049"	2771	"Nu-seals aspirin 600mg Tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"600mg"	"Tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"70606"	1481	"Ticagrelor 90mg orodispersible tablets sugar free"	"Ticagrelor"	"90mg"	"Orodispersible tablet"	"Oral"	"Antiplatelet Products"	"Ticagrelor"
"88434"	2	"Clopidogrel 75mg tablets (Mawdsley-Brooks & Company Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"9044"	178	"Codis 500 dispersible tablets (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"500mg + 8mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"22864"	55	"ASPIRIN PAED MIX"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"4679"	273908	"Asasantin Retard capsules (Boehringer Ingelheim Ltd)"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Aspirin/Dipyridamole"
"21067"	105	"Doloxene Capsule (Eli Lilly and Company Ltd)"	"Aspirin"	NA	"Capsule"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"2754"	701	"ASPIRIN SOLUBLE 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"29759"	0	"Aspro Tablet (Roche Consumer Health)"	"Aspirin"	NA	"Tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"18261"	197	"Aspirin 500mg with Papaveretum 7.71mg dispersible tablets"	"Aspirin"	"500mg + 7.71mg"	"Dispersible Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
