"ProdCodeId"	"dmdid"	"Term.from.EMIS"	"ProductName"	"Formulation"	"RouteOfAdministration"	"DrugSubstanceName"	"SubstanceStrength"	"BNFChapter"	"DrugIssues"	"Gen"	"AP"
"58941000033117"	321638002	"Amisulpride 200mg tablets"	"Amisulpride 200mg tablets"	"Tablet"	"Oral"	"Amisulpride"	"200.000mg"	"4020100"	700000	2	"Amisulpride"
"59041000033114"	321637007	"Amisulpride 50mg tablets"	"Amisulpride 50mg tablets"	"Tablet"	"Oral"	"Amisulpride"	"50.000mg"	"4020100"	600000	2	"Amisulpride"
"69041000033115"	9483411000001104	"Anquil 250microgram tablets (Neon Healthcare Ltd)"	"Anquil 250microgram tablets"	"Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"4020100"	2000	1	"Benperidol"
"145141000033119"	321393004	"Benperidol 250microgram tablets"	"Benperidol 250microgram tablets"	"Tablet"	"Oral"	"Benperidol"	"250.000microgram"	"4020100"	50000	1	"Benperidol"
"173841000033113"	920911000001101	"Buccastem 3mg tablets (Alliance Pharmaceuticals Ltd)"	"Buccastem 3mg tablets"	"Buccal tablet"	"Buccal"	"Prochlorperazine maleate"	"3.000mg"	"4060000"	400000	1	"Prochlorperazine"
"213841000033116"	879511000001105	"Camcolit 250 tablets (Essential Pharma Ltd)"	"Camcolit 250 tablets"	"Tablet"	"Oral"	"Lithium carbonate"	"250.000mg"	"4020300"	70000	3	"Lithium"
"215541000033117"	250211000001105	"Camcolit 400 modified-release tablets (Essential Pharma Ltd)"	"Camcolit 400 modified-release tablets"	"Modified-release tablet"	"Oral"	"Lithium carbonate"	"400.000mg"	"4020300"	100000	3	"Lithium"
"240041000033110"	36138311000001104	"Chlorpromazine 25mg/5ml oral solution"	"Chlorpromazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Chlorpromazine hydrochloride"	"5.000mg/1.000ml"	""	100000	1	"Chlorpromazine"
"241341000033116"	36138411000001104	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Chlorpromazine 50mg/2ml solution for injection ampoules"	"Solution for injection"	"Intramuscular"	"Chlorpromazine hydrochloride"	"25.000mg/1.000ml"	"4060000"	1000	1	"Chlorpromazine"
"242241000033115"	NA	"Chlorpromazine Hydrochloride Injection 100 mg/5 ml"	""	""	""	""	""	""	300	1	"Chlorpromazine"
