"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antipsychotic"
"85144"	11	"Clopixol 10mg tablets (Waymade Healthcare Plc)"	"Zuclopenthixol"	"10mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"
"29972"	1	"PERICYAZINE"	"Pericyazine"	NA	NA	NA	"Unknown"	"Pericyazine"
"65944"	0	"Olanzapine 2.5mg tablets (Viatris UK Healthcare Ltd)"	"Olanzapine"	"2.5mg"	"Oral tablet"	"Oral"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"
"8136"	682	"HALOPERIDOL 5 MG LIQ"	"Haloperidol"	NA	NA	NA	"Unknown"	"Haloperidol"
"88116"	25	"Chlorpromazine 25mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Chlorpromazine"	"25mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"67820"	494	"Chlorpromazine 100mg/5ml oral suspension"	"Chlorpromazine"	"20mg/1ml"	"Oral suspension"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"77890"	0	"Droperidol 2.5mg/1ml solution for injection ampoules (Panpharma UK Ltd)"	"Droperidol"	"2.5mg/1ml"	"Solution for injection"	"Intravenous"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Droperidol"
"30346"	2	"CHLORPROMAZINE HCl 100 MG TAB"	"Chlorpromazine"	NA	"Tablet"	"Oral"	"Unknown"	"Chlorpromazine"
"29838"	1	"STELAZINE CONCENTRATE 10mg/ml"	"Trifluoperazine"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Trifluoperazine"
"27582"	0	"STELAZINE"	"Trifluoperazine"	NA	NA	NA	"Unknown"	"Trifluoperazine"
"34668"	196	"Chlorpromazine 25mg tablets (Teva UK Ltd)"	"Chlorpromazine"	"25mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"
"41663"	110	"Trifluoperazine 5mg tablets (A A H Pharmaceuticals Ltd)"	"Trifluoperazine"	"5mg"	"Oral tablet"	"Oral"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"
