"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Gen"	"AP"
"85"	322144004	"66237020"	"Prochlorperazine 5mg tablets"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"227"	620411000001105	"52716020"	"Stemetil 5mg suppositories (Sanofi)"	"Prochlorperazine maleate"	"5mg"	"Suppository"	"Rectal"	"04020101/04065400"	"First-generation Antipsychotic Drugs/Drug Used In Nausea And Vertigo - Antihistamines, Phenothiazines & Related Drugs"	1	"Prochlorperazine"
"228"	45345001000027104	"53721020"	"Fentazin 5mg/ml Injection (Goldshield Pharmaceuticals Ltd)"	"Perphenazine"	"5mg/ml"	"Injection"	""	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Perphenazine"
"237"	109725001000027104	"03585007"	"PROCHLORPERAZINE 5 MG ELI"	""	""	""	""	"00000000"	"Unknown"	1	"Prochlorperazine"
"247"	89365001000027104	"02867007"	"CHLORPROMAZINE 50 MG INJ"	""	""	""	""	"00000000"	"Unknown"	1	"Chlorpromazine"
"284"	711411000001102	"50346020"	"Melleril 10mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Thioridazine hydrochloride"	"10mg"	"Tablet"	"Oral"	"00000000"	"Unknown"	1	"Thioridazine"
"302"	321597002	"49490020"	"Risperidone 1mg/ml oral solution sugar free"	"Risperidone"	"1mg/1ml"	"Oral solution"	"Oral"	"04020102"	"Second-generation Antipsychotic Drugs"	2	"Risperidone"
"329"	321416009	"63104020"	"Haloperidol 1.5mg tablets"	"Haloperidol"	"1.5mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"475"	321418005	"63108020"	"Haloperidol 10mg tablets"	"Haloperidol"	"10mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Haloperidol"
"500"	153375001000027104	"68249020"	"Buccastem 3mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Prochlorperazine maleate"	"3mg"	"Buccal tablet"	"Buccal"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Prochlorperazine"
"512"	29535001000027108	"51690020"	"Stemetil 5mg Tablet (Castlemead Healthcare Ltd)"	"Prochlorperazine maleate"	"5mg"	"Tablet"	"Oral"	"04020100/40120000"	"Antipsychotic Drugs/-"	1	"Prochlorperazine"
"584"	322956002	"69070020"	"Sodium valproate 200mg gastro-resistant tablets"	"Sodium valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"04080100"	"Control Of Epilepsy"	3	"Valproate"
"588"	321366002	"68531020"	"Chlorpromazine 25mg tablets"	"Chlorpromazine hydrochloride"	"25mg"	"Tablet"	"Oral"	"04020101"	"First-generation Antipsychotic Drugs"	1	"Chlorpromazine"
"600"	321936001	"62026020"	"Flupentixol 1mg tablets"	"Flupentixol dihydrochloride"	"1mg"	"Tablet"	"Oral"	"04030400"	"Other Antidepressant Drugs"	1	"Flupentixol"
