"MedCodeId"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"Release"	"BMICat"
"100716012"	"body mass index"	"22K"	"22K..00"	"60621009"	100716012	NA	"None"
"253844013"	"body mass index normal k/m2"	"22K1"	"22K1.00"	"35425004"	59104012	NA	"Normal"
"2196071000000116"	"baseline body mass index"	"22KB"	"22KB.00"	"846931000000101"	2196071000000116	NA	"None"
"1995621000006110"	"malnutrition universal screening tool - bmi score"	"EMISNQMA168"	""	"1995621000006106"	1995621000006110	NA	"None"
"923861000006112"	"body mass index"	"PCNQBO1"	""	"923861000006108"	923861000006112	NA	"None"
"2474325012"	"body mass index 20-24 - normal"	"22K8"	"22K8.00"	"412768003"	2474325012	NA	"Normal"
"981731000006117"	"overweight: adult bmi 25.0; child bmi 95th percentile; or more"	"EMISCOV1"	""	"981731000006101"	981731000006117	NA	"Overweight"
"253845014"	"body mass index high k/m2"	"22K2"	"22K2.00"	"48499001"	80800016	NA	"Overweight"
"402435016"	"o/e - weight 10-20% over ideal"	"22A4"	"22A4.00"	"268915006"	402435016	NA	"Overweight"
"910251000006110"	"[rfc] overweight"	"HNGNQRF70"	""	"910251000006106"	910251000006110	NA	"Overweight"
"982581000006118"	"weight (over)"	"EMISCWE5"	""	"982581000006102"	982581000006118	NA	"Overweight"
"1753321000006116"	"intervention for risk to health associated with overweight and obesity, advice about diet and physical activity"	"66CR"	"66CR.00"	"756021000000103"	1663521000000115	NA	"Obese"
"1753311000006112"	"intervention for risk to health associated with overweight and obesity, general advice on healthy weight and lifestyle"	"66CQ"	"66CQ.00"	"756001000000107"	1663481000000115	NA	"Obese"
"1753331000006118"	"intervention for risk to health associated with overweight and obesity, advice about diet and physical activity, consider drugs"	"66CS"	"66CS.00"	"756041000000105"	1663561000000111	NA	"Obese"
"1753271000006112"	"risk to health associated with overweight and obesity, at no increased risk"	"66CL"	"66CL.00"	"755881000000104"	1663231000000115	NA	"Obese"
"2370021000000115"	"target weight to achieve ten percent weight loss"	"66CF4"	"66CF400"	"923901000000108"	2370021000000115	NA	"None"
"217781000000116"	"o/e - weight > 20% over ideal"	"22A5"	"22A5.00"	"268916007"	402436015	NA	"Overweight"
"240911000006113"	"patient advised to lose weight"	"8CA40-1"	"8CA4011"	"275919002"	411892019	NA	"Overweight"
"356960015"	"overweight"	"22AA"	"22AA.00"	"238131007"	356960015	NA	"Overweight"
"253847018"	"body mass index index 25-29 - overweight"	"22K4"	"22K4.00"	"162863004"	253847018	NA	"Overweight"
"411922013"	"o/e - overweight"	"22A4-1"	"22A4.11"	"275947003"	411922013	NA	"Overweight"
"981741000006110"	"underweight: adult bmi 18.5; child bmi 5th percentile; or less"	"EMISCUN18"	""	"981741000006106"	981741000006110	NA	"Underweight"
"453856012"	"body mass index less than 20"	"22K6"	"22K6.00"	"310252000"	453856012	NA	"Underweight"
"1808061000006114"	"body mass index less than 18.5"	"EMISNQBO29"	""	"1808061000006105"	1808061000006114	NA	"Underweight"
"253846010"	"body mass index low k/m2"	"22K3"	"22K3.00"	"6497000"	11777011	NA	"Underweight"
"253687013"	"o/e - underweight"	"22A6"	"22A6.00"	"162769006"	253687013	NA	"Underweight"
"253679012"	"o/e -weight 10-20% below ideal"	"22A2"	"22A2.00"	"162765000"	253679012	NA	"Underweight"
"910261000006112"	"[rfc] underweight"	"HNGNQRF71"	""	"910261000006108"	910261000006112	NA	"Underweight"
"982591000006115"	"weight (under)"	"EMISCWE6"	""	"982591000006104"	982591000006115	NA	"Underweight"
