"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"107231"	"22KA.00"	14	0	0	0	"target body mass index"	"November 2013"
"108478"	"22KE.00"	1378	0	0	0	"obese class iii (bmi equal to or greater than 40.0)"	"August 2014"
"23376"	"22A3.00"	51355	0	5	1	"o/e - weight within 10% ideal"	"February 2009"
"70898"	"C38z.00"	22	0	0	0	"obesity and other hyperalimentation nos"	"February 2009"
"15546"	"2295.00"	301	0	69	0	"o/e -height > 20% over average"	"February 2009"
"17897"	"ZV77800"	105	0	2	0	"[v]screening for obesity"	"February 2009"
"8105"	"22K..00"	4652067	0	1255	235	"body mass index"	"February 2009"
"13076"	"13A3.00"	56153	0	44	0	"weight reducing diet"	"February 2009"
"21520"	"22AZ.00"	60459	0	0	0	"o/e - weight nos"	"February 2009"
"32974"	"22A5.00"	48263	0	22	0	"o/e - weight > 20% over ideal"	"February 2009"
"42309"	"22A7.00"	4915	0	0	0	"baseline weight"	"February 2009"
"106030"	"66CW.00"	81	0	0	0	"unsuitable for weight management programme"	"May 2013"
"26355"	"66C9.00"	18510	0	33	0	"target weight discussed"	"February 2009"
"44291"	"22K8.00"	183566	0	1	68	"body mass index 20-24 - normal"	"February 2009"
"21744"	"9OK..11"	200	0	35	0	"obesity clinic administration"	"February 2009"
"12362"	"2296.00"	1871	0	232	0	"o/e - loss of height"	"February 2009"
"110188"	"64g..00"	9	0	1	0	"mid-parental height"	"October 2015"
"16196"	"1444.00"	7395	0	235	3	"h/o: obesity"	"February 2009"
"104002"	"22A9.00"	1303	0	0	0	"percentage weight loss"	"May 2012"
"40640"	"66CF.00"	8078	0	0	0	"target weight"	"February 2009"
"40153"	"66CZ.00"	4657	0	15	0	"obesity monitoring nos"	"February 2009"
"55585"	"9OK6.00"	35	0	0	0	"obesity monitoring 3rd letter"	"February 2009"
"22142"	"ZG53.00"	11472	0	47	0	"advice about weight"	"February 2009"
"52036"	"9OK3.00"	249	0	0	0	"obesity monitoring default"	"February 2009"
"73304"	"9OK9.00"	28	0	0	0	"obesity monitoring deleted"	"February 2009"
"41045"	"229Z.00"	155630	0	0	0	"o/e - height nos"	"February 2009"
