"medcode"	"readcode"	"desc"	"BMICat"
"8105"	"22K..00"	"body mass index"	"None"
"28946"	"22K1.00"	"body mass index normal k/m2"	"Normal"
"44291"	"22K8.00"	"body mass index 20-24 - normal"	"Normal"
"101047"	"22K9.00"	"body mass index centile"	"None"
"105800"	"22KB.00"	"baseline body mass index"	"None"
"32974"	"22A5.00"	"o/e - weight > 20% over ideal"	"Overweight"
"6713"	"8CA4011"	"patient advised to lose weight"	"Overweight"
"8304"	"ZC2C711"	"dietary advice for weight reduction"	"Overweight"
"13078"	"13AC.00"	"diabetic weight reducing diet"	"Overweight"
"103499"	"22AA.00"	"overweight"	"Overweight"
"104724"	"66CL.00"	"risk health associa overweight obesity, at no increased risk"	"Obese"
"12445"	"ZG53100"	"patient advised to lose weight"	"Overweight"
"9015"	"22K4.00"	"body mass index index 25-29 - overweight"	"Overweight"
"16404"	"22A4.00"	"o/e - weight 10-20% over ideal"	"Overweight"
"111344"	"66CF300"	"target weight to achieve five percent weight loss"	"None"
"43375"	"ZC2CO00"	"dietary advice for weight loss"	"None"
"2839"	"22A4.11"	"o/e - overweight"	"Overweight"
"28937"	"22K2.00"	"body mass index high k/m2"	"Overweight"
"12530"	"R034800"	"[d]underweight"	"Underweight"
"29029"	"22A2.00"	"o/e -weight 10-20% below ideal"	"Underweight"
"126"	"22A6.00"	"o/e - underweight"	"Underweight"
"26473"	"22A1.00"	"o/e - weight > 20% below ideal"	"Underweight"
"94788"	"8B5B.00"	"weight gain diet"	"None"
"24496"	"22K6.00"	"body mass index less than 20"	"Underweight"
"32914"	"22K3.00"	"body mass index low k/m2"	"Underweight"
"108147"	"8T11.00"	"referral to multidisciplinary obesity clinic"	"Obese"
"38799"	"C380000"	"obesity due to excess calories"	"Obese"
"59780"	"222A.00"	"o/e - obese"	"Obese"
"17477"	"ZV65319"	"[v]dietary counselling in obesity"	"Obese"
"102514"	"66CN.00"	"risk health associated overweight and obesity, at high risk"	"Obese"
"110415"	"66CX.00"	"obesity multidisciplinary case review"	"Obese"
"52034"	"9OK1.00"	"attends obesity monitoring"	"Obese"
"70950"	"9OK7.00"	"obesity monitoring verbal inv."	"Obese"
"49409"	"9OK4.00"	"obesity monitoring 1st letter"	"Obese"
"104421"	"C380700"	"lifelong obesity"	"Obese"
"17444"	"66CE.00"	"reason for obesity therapy - occupational"	"Obese"
