"MedCodeId"	"CleansedReadCode"	"Term"
"251680018"	"14A6.00"	"h/o: heart failure"
"453099015"	"14AM.00"	"h/o: heart failure in last year"
"1488804017"	"1O1..00"	"heart failure confirmed"
"833381000006119"	"388D.00"	"new york heart assoc classification heart failure symptoms"
"2159197017"	"585f.00"	"echocardiogram shows left ventricular systolic dysfunction"
"2159198010"	"585g.00"	"echocardiogram shows left ventricular diastolic dysfunction"
"2117931000000116"	"661M500"	"heart failure self-management plan agreed"
"2616470012"	"662f.00"	"new york heart association classification - class i"
"2616471011"	"662g.00"	"new york heart association classification - class ii"
"2616472016"	"662h.00"	"new york heart association classification - class iii"
"2616473014"	"662i.00"	"new york heart association classification - class iv"
"404741000000119"	"662p.00"	"heart failure 6 month review"
"216184014"	"662T.00"	"congestive heart failure monitoring"
"1484918019"	"662W.00"	"heart failure annual review"
"2122191000000110"	"679W100"	"education about deteriorating heart failure"
"2645623019"	"679X.00"	"heart failure education"
"308011000000119"	"67D4.00"	"heart failure information given to patient"
"451426015"	"8B29.00"	"cardiac failure therapy"
"1784061000006118"	"8CeC.00"	"preferred place of care for next exacerbation heart failure"
"308301000000118"	"8CL3.00"	"heart failure care plan discussed with patient"
"1746171000000119"	"8CMK.00"	"has heart failure management plan"
"2205951000000117"	"8CMW800"	"heart failure clinical pathway"
"2549208013"	"8H2S.00"	"admit heart failure emergency"
"1484917012"	"8HBE.00"	"heart failure follow-up"
"303441000000116"	"8Hg8.00"	"discharge from practice nurse heart failure clinic"
"1705341000000110"	"8HgD.00"	"discharge from heart failure nurse service"
"2549697018"	"8HHb.00"	"referral to heart failure nurse"
"308041000000118"	"8HHz.00"	"referral to heart failure exercise programme"
"311561000000117"	"8Hk0.00"	"referred to heart failure education group"
"216246012"	"8HTL.00"	"referral to heart failure clinic"
"2256811000000114"	"8HTL000"	"referral to rapid access heart failure clinic"
"1693911000000115"	"8IE0.00"	"referral to heart failure education group declined"
"1734081000000112"	"8IE1.00"	"referral to heart failure exercise programme declined"
"407441000000115"	"9hH..00"	"exception reporting: heart failure quality indicators"
"1561941000006119"	"9hH0.00"	"excepted heart failure quality indicators: patient unsuitabl"
"1561951000006117"	"9hH1.00"	"excepted heart failure quality indicators: informed dissent"
"735971000000112"	"9m5..00"	"high risk of heart failure screening invitation"
"2549243014"	"9N0k.00"	"seen in heart failure clinic"
"2548316014"	"9N2p.00"	"seen by community heart failure nurse"
"303861000000118"	"9N4s.00"	"did not attend practice nurse heart failure clinic"
"303361000000111"	"9N6T.00"	"referred by heart failure nurse specialist"
