"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"
"138421012"	159889	"E135"	"E135.00"	"agitated depression"	"83458005"	"138421012"	32
"251629019"	1640173	"1465"	"1465.00"	"h/o: depression"	"161469008"	"251629019"	32
"253619019"	169020	"2257"	"2257.00"	"o/e - depressed"	"162722001"	"253619019"	27
"294824018"	30207	"E1120"	"E112000"	"single major depressive episode, unspecified"	"36923009"	"61590015"	32
"294826016"	63595	"E1122"	"E112200"	"moderate major depression, single episode"	"15639000"	"26507014"	32
"294828015"	19556	"E1124"	"E112400"	"single major depressive episode, severe, with psychosis"	"191604000"	"294828015"	32
"294831019"	421	"E1126"	"E112600"	"single episode of major depression in full remission"	"19527009"	"3304522019"	32
"294832014"	10133	"E112z"	"E112z00"	"single major depressive episode nos"	"36923009"	"61590015"	32
"294836012"	13406	"E1130"	"E113000"	"recurrent major depressive episodes, unspecified"	"268621008"	"401767019"	32
"294837015"	13869	"E1131"	"E113100"	"recurrent major depressive episodes, mild"	"191610000"	"294837015"	32
"294838013"	30904	"E1132"	"E113200"	"recurrent major depressive episodes, moderate"	"191611001"	"294838013"	32
"294840015"	18057	"E1134"	"E113400"	"recurrent major depressive episodes, severe, with psychosis"	"191613003"	"294840015"	32
"294843018"	1070	"E1136"	"E113600"	"recurrent major depression in full remission"	"46244001"	"3304524018"	32
"294844012"	452047	"E1137"	"E113700"	"recurrent depression"	"191616006"	"294844012"	32
"294845013"	13084	"E113z"	"E113z00"	"recurrent major depressive episode nos"	"268621008"	"401767019"	32
"294894013"	2015	"E11y2"	"E11y200"	"atypical depressive disorder"	"191659001"	"294894013"	32
"294917018"	19743	"E130"	"E130.00"	"reactive depressive psychosis"	"191676002"	"294917018"	32
"294918011"	24582	"E130-1"	"E130.11"	"psychotic reactive depression"	"191676002"	"294918011"	32
"295494011"	2830	"E290z"	"E290z00"	"brief depressive reaction nos"	"192046006"	"295490019"	32
"295535012"	6220654	"E2B"	"E2B..00"	"depressive disorder"	"35489007"	"59212011"	32
"295537016"	361657	"E2B1"	"E2B1.00"	"chronic depression"	"192080009"	"295537016"	32
"296138013"	860635	"Eu321"	"Eu32100"	"[x]moderate depressive episode"	"310496002"	"454083016"	32
"296180012"	9049	"Eu330"	"Eu33000"	"[x]recurrent depressive disorder, current episode mild"	"310495003"	"454082014"	32
"296181011"	24945	"Eu331"	"Eu33100"	"[x]recurrent depressive disorder, current episode moderate"	"310496002"	"454083016"	32
"296198011"	3649	"Eu334"	"Eu33400"	"[x]recurrent depressive disorder, currently in remission"	"698957003"	"2981573016"	32
"296199015"	1667	"Eu33y"	"Eu33y00"	"[x]other recurrent depressive disorders"	"191616006"	"294844012"	32
