"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"33469"	"Eu33200"	2196	0	41	0	"[x]recurr depress disorder cur epi severe without psyc sympt"	"February 2009"
"7011"	"E112z00"	2884	0	288	0	"single major depressive episode nos"	"February 2009"
"15220"	"Eu34114"	8355	0	317	0	"[x]persistant anxiety depression"	"February 2009"
"8584"	"Eu34111"	1627	0	19	0	"[x]depressive neurosis"	"February 2009"
"7737"	"Eu34113"	6359	0	21	0	"[x]neurotic depression"	"February 2009"
"42931"	"9HA0.00"	22735	0	3	0	"on depression register"	"February 2009"
"34390"	"E112000"	1895	0	18	0	"single major depressive episode, unspecified"	"February 2009"
"1131"	"E204.00"	312163	0	8023	2	"neurotic depression reactive type"	"February 2009"
"2716"	"1465.00"	419882	0	12983	13	"h/o: depression"	"February 2009"
"100977"	"1JJ..00"	7561	0	170	0	"suspected depression"	"November 2010"
"98414"	"Eu32700"	3034	0	17	0	"[x]major depression, severe without psychotic symptoms"	"January 2010"
"2560"	"E11..12"	6948	0	410	0	"depressive psychoses"	"February 2009"
"32841"	"8HHq.00"	3019	0	1199	0	"referral for guided self-help for depression"	"February 2009"
"96995"	"9kQ..00"	12	0	0	0	"on full dose long term treatment depression - enh serv admin"	"June 2009"
"28008"	"Eu3y.00"	199	0	3	0	"[x]other mood affective disorders"	"February 2009"
"24171"	"E113400"	830	0	9	0	"recurrent major depressive episodes, severe, with psychosis"	"February 2009"
"112682"	"8IH5200"	0	0	0	0	"referral for guided self-help for depression declined"	"May 2018"
"22116"	"Eu33400"	846	0	2	0	"[x]recurrent depressive disorder, currently in remission"	"February 2009"
"47009"	"Eu33300"	1319	0	11	0	"[x]recurrent depress disorder cur epi severe with psyc symp"	"February 2009"
"324"	"E2B..00"	2138913	0	93992	94	"depressive disorder nec"	"February 2009"
"44300"	"Eu33z00"	3426	0	23	0	"[x]recurrent depressive disorder, unspecified"	"February 2009"
"27491"	"E11y200"	253	0	14	0	"atypical depressive disorder"	"February 2009"
"1996"	"1B17.00"	554690	0	18306	0	"depressed"	"February 2009"
"30483"	"8CAa.00"	58220	0	9	0	"patient given advice about management of depression"	"February 2009"
"15219"	"E112300"	3907	0	43	0	"single major depressive episode, severe, without psychosis"	"February 2009"
