"medcode"	"readcode"	"desc"	"cat"
"100033"	"U60231E"	"[x] adverse reaction to insulins and antidiabetic agents nos"	"Unknown"
"100347"	"C10A500"	"malnutritn-relat diabetes melitus wth periph circul complctn"	"Other"
"100422"	"8HgC.00"	"discharged from diabetes shared care programme"	"Unknown"
"100436"	"679L000"	"education in self management of diabetes"	"Unknown"
"100533"	"66AQ000"	"unsuitable for diabetes year of care programme"	"Unknown"
"100770"	"C10EF12"	"insulin dependent diabetes mellitus with diabetic cataract"	"Type 1"
"100964"	"C10F111"	"type ii diabetes mellitus with ophthalmic complications"	"Type 2"
"10098"	"C10yy00"	"other specified diabetes mellitus with other spec comps"	"Other"
"10099"	"F420300"	"advanced diabetic maculopathy"	"Unknown"
"101177"	"66At.00"	"diabetic dietary review"	"Unknown"
"101190"	"66AQ100"	"declined consent for diabetes year of care programme"	"Unknown"
"101311"	"C10EC12"	"insulin dependent diabetes mellitus with polyneuropathy"	"Type 1"
"101455"	"9OLN.00"	"diabetes monitor invitation by sms (short message service)"	"Unknown"
"101456"	"8IAs.00"	"diabetic dietary review declined"	"Unknown"
"101728"	"66As.00"	"diabetic on subcutaneous treatment"	"Unknown"
"101735"	"C10E212"	"insulin-dependent diabetes mellitus with neurological comps"	"Type 1"
"101801"	"66At100"	"type ii diabetic dietary review"	"Type 2"
"101834"	"9h43.00"	"excepted from diabetes qual indicators: service unavailable"	"Unknown"
"101881"	"2BBr.00"	"impaired vision due to diabetic retinopathy"	"Unknown"
"102112"	"C10E611"	"type i diabetes mellitus with gangrene"	"Type 1"
"102163"	"C10ED12"	"insulin dependent diabetes mellitus with nephropathy"	"Type 1"
"102201"	"C10FC11"	"type ii diabetes mellitus with nephropathy"	"Type 2"
"102434"	"66Au.00"	"diabetic erectile dysfunction review"	"Unknown"
"102490"	"66Av.00"	"diabetic assessment of erectile dysfunction"	"Unknown"
"102611"	"66At111"	"type 2 diabetic dietary review"	"Type 2"
"102620"	"C10EL11"	"type i diabetes mellitus with persistent microalbuminuria"	"Type 1"
"102704"	"66At000"	"type i diabetic dietary review"	"Type 1"
"102740"	"C108112"	"type 1 diabetes mellitus with ophthalmic complications"	"Type 1"
"102767"	"67IJ100"	"pre-conception advice for diabetes mellitus"	"Unknown"
"102768"	"9NiZ.00"	"did not attend diabetes foot screening"	"Unknown"
"102946"	"C10E012"	"insulin-dependent diabetes mellitus with renal complications"	"Type 1"
"103743"	"8IE2.00"	"diabetes care plan declined"	"Unknown"
"103798"	"9b92000"	"diabetic medicine"	"Unknown"
"1038"	"C100011"	"insulin dependent diabetes mellitus"	"Type 1"
"103902"	"C10FG11"	"type ii diabetes mellitus with arthropathy"	"Type 2"
"103935"	"1IA..00"	"no evidence of diabetic nephropathy"	"Unknown"
"10418"	"C10ED00"	"type 1 diabetes mellitus with nephropathy"	"Type 1"
"104287"	"8Hlc.00"	"referral to community diabetes service"	"Unknown"
"104323"	"C10F511"	"type ii diabetes mellitus with gangrene"	"Type 2"
"104374"	"67D8.00"	"provision of diabetes clinical summary"	"Unknown"
"104453"	"66At011"	"type 1 diabetic dietary review"	"Type 1"
"104639"	"C10FF11"	"type ii diabetes mellitus with peripheral angiopathy"	"Type 2"
"105207"	"8HTE100"	"referral to community diabetes clinic"	"Unknown"
"105302"	"K08yA00"	"proteinuric diabetic nephropathy"	"Unknown"
"105337"	"C10E811"	"type i diabetes mellitus - poor control"	"Type 1"
"105585"	"8CMW700"	"diabetes clinical pathway"	"Unknown"
"105740"	"2G5d.00"	"o/e - left diabetic foot at increased risk"	"Unknown"
"105741"	"2G5e.00"	"o/e - right diabetic foot at increased risk"	"Unknown"
"105784"	"C109912"	"type 2 diabetes mellitus without complication"	"Type 2"
"105937"	"8IEQ.00"	"referral to community diabetes specialist nurse declined"	"Unknown"
"106061"	"C10FP11"	"type ii diabetes mellitus with ketoacidotic coma"	"Type 2"
"106269"	"9m0..00"	"diabetic retinopathy screening administrative status"	"Unknown"
"106327"	"9m04.00"	"excluded from diabetic retinopathy screening"	"Unknown"
"106328"	"9m07.00"	"excluded diabetc retinop screen as under care ophthalmolgist"	"Unknown"
"106329"	"9m08.00"	"excluded from diabetic retinopathy screening as blind"	"Unknown"
"106332"	"9m00.00"	"eligible for diabetic retinopathy screening"	"Unknown"
"106350"	"9m05.00"	"excluded from diabetic retinopathy screening as moved away"	"Unknown"
