"MedCodeId"	"CleansedReadCode"	"Term"
"250222012"	"1341"	"european origin"
"250223019"	"1342"	"african origin"
"250224013"	"1343"	"asian origin"
"250225014"	"1344"	"north american origin"
"250226010"	"1345"	"south american origin"
"250227018"	"1346"	"australian origin"
"250228011"	"1347"	"indian origin"
"250229015"	"1348"	"middle eastern origin"
"250230013"	"1349"	"far eastern origin"
"253629014"	"2261"	"o/e - europeanoid"
"253630016"	"2262"	"o/e - negroid"
"402434017"	"2263"	"o/e - mongoloid origin"
"412016016"	"2263.11"	"o/e - asian origin"
"253634013"	"2264"	"o/e - australoid"
"250231012"	"134A.00"	"west indian origin"
"196641000006110"	"134B.00"	"race: caucasian"
"196621000006115"	"134C.00"	"race: arab"
"196651000006112"	"134D.00"	"race: chinese"
"196661000006114"	"134E.00"	"race: japanese"
"196671000006119"	"134F.00"	"race: korean"
"196701000006118"	"134G.00"	"race: oriental"
"196601000006113"	"134H.00"	"race: afro-caribbean"
"196631000006117"	"134I.00"	"race: bangladeshi"
"196681000006116"	"134J.00"	"race: mixed"
"250243013"	"134K.00"	"race: west indian"
"196611000006111"	"134L.00"	"race: afro-caucasian"
"196721000006111"	"134M.00"	"race: pakistani"
"2537217015"	"134N.00"	"race: white"
"196731000006114"	"134O.00"	"race: unknown"
"196691000006118"	"134P.00"	"race: not stated"
"371005013"	"134P.11"	"race: other"
"253635014"	"226Z.00"	"o/e - ethnic group nos"
"158341000000117"	"9i0..00"	"british or mixed british - ethnic category 2001 census"
"1063981000000117"	"9i00.00"	"white british - ethnic category 2001 census"
"141301000000110"	"9i1..00"	"irish - ethnic category 2001 census"
"1064041000000111"	"9i10.00"	"white irish - ethnic category 2001 census"
"141311000000112"	"9i2..00"	"other white background - ethnic category 2001 census"
"157281000000117"	"9i20.00"	"english - ethnic category 2001 census"
"141431000000111"	"9i21.00"	"scottish - ethnic category 2001 census"
"141441000000119"	"9i22.00"	"welsh - ethnic category 2001 census"
"141461000000118"	"9i23.00"	"cornish - ethnic category 2001 census"
"141451000000116"	"9i24.00"	"northern irish - ethnic category 2001 census"
"142691000000116"	"9i25.00"	"ulster scots - ethnic category 2001 census"
"141661000000115"	"9i26.00"	"cypriot (part not stated) - ethnic category 2001 census"
"142701000000116"	"9i27.00"	"greek - ethnic category 2001 census"
"142711000000119"	"9i28.00"	"greek cypriot - ethnic category 2001 census"
"156921000000110"	"9i29.00"	"turkish - ethnic category 2001 census"
"142721000000113"	"9i2A.00"	"turkish cypriot - ethnic category 2001 census"
"158481000000115"	"9i2B.00"	"italian - ethnic category 2001 census"
"138171000000114"	"9i2C.00"	"irish traveller - ethnic category 2001 census"
"138181000000111"	"9i2D.00"	"traveller - ethnic category 2001 census"
"138191000000113"	"9i2E.00"	"gypsy/romany - ethnic category 2001 census"
"138201000000110"	"9i2F.00"	"polish - ethnic category 2001 census"
"937301000006110"	"9i2G.00"	"baltic estonian/latvian/lithuanian - ethn categ 2001 census"
"937311000006113"	"9i2H.00"	"commonwealth (russian) indep states - ethn categ 2001 census"
"142741000000118"	"9i2J.00"	"kosovan - ethnic category 2001 census"
"138231000000116"	"9i2K.00"	"albanian - ethnic category 2001 census"
"142751000000115"	"9i2L.00"	"bosnian - ethnic category 2001 census"
"142761000000117"	"9i2M.00"	"croatian - ethnic category 2001 census"
"157991000000110"	"9i2N.00"	"serbian - ethnic category 2001 census"
"937371000006116"	"9i2P.00"	"other republics former yugoslavia - ethnic categ 2001 census"
"142781000000114"	"9i2Q.00"	"mixed irish and other white - ethnic category 2001 census"
"937391000006115"	"9i2R.00"	"oth white european/european unsp/mixed european 2001 census"
"142791000000111"	"9i2S.00"	"other mixed white - ethnic category 2001 census"
"937411000006115"	"9i2T.00"	"other white or white unspecified ethnic category 2001 census"
"141321000000118"	"9i3..00"	"white and black caribbean - ethnic category 2001 census"
"141331000000116"	"9i4..00"	"white and black african - ethnic category 2001 census"
"141341000000113"	"9i5..00"	"white and asian - ethnic category 2001 census"
"141351000000111"	"9i6..00"	"other mixed background - ethnic category 2001 census"
"141471000000113"	"9i60.00"	"black and asian - ethnic category 2001 census"
"141481000000110"	"9i61.00"	"black and chinese - ethnic category 2001 census"
"157291000000115"	"9i62.00"	"black and white - ethnic category 2001 census"
"141491000000112"	"9i63.00"	"chinese and white - ethnic category 2001 census"
"158361000000116"	"9i64.00"	"asian and chinese - ethnic category 2001 census"
"937511000006119"	"9i65.00"	"other mixed or mixed unspecified ethnic category 2001 census"
"157271000000119"	"9i7..00"	"indian or british indian - ethnic category 2001 census"
"141361000000114"	"9i8..00"	"pakistani or british pakistani - ethnic category 2001 census"
"937541000006115"	"9i9..00"	"bangladeshi or british bangladeshi - ethn categ 2001 census"
"141381000000117"	"9iA..00"	"other asian background - ethnic category 2001 census"
"141521000000110"	"9iA1.00"	"punjabi - ethnic category 2001 census"
"141531000000112"	"9iA2.00"	"kashmiri - ethnic category 2001 census"
"141541000000115"	"9iA3.00"	"east african asian - ethnic category 2001 census"
"136081000000111"	"9iA4.00"	"sri lankan - ethnic category 2001 census"
"141551000000117"	"9iA5.00"	"tamil - ethnic category 2001 census"
"157301000000116"	"9iA6.00"	"sinhalese - ethnic category 2001 census"
"141571000000114"	"9iA7.00"	"caribbean asian - ethnic category 2001 census"
"141561000000119"	"9iA8.00"	"british asian - ethnic category 2001 census"
"141511000000116"	"9iA9.00"	"mixed asian - ethnic category 2001 census"
"937651000006117"	"9iAA.00"	"other asian or asian unspecified ethnic category 2001 census"
"154401000000118"	"9iB..00"	"caribbean - ethnic category 2001 census"
"141391000000115"	"9iC..00"	"african - ethnic category 2001 census"
"158351000000119"	"9iD..00"	"other black background - ethnic category 2001 census"
"141591000000113"	"9iD0.00"	"somali - ethnic category 2001 census"
"141601000000119"	"9iD1.00"	"nigerian - ethnic category 2001 census"
"157311000000119"	"9iD2.00"	"black british - ethnic category 2001 census"
"158371000000111"	"9iD3.00"	"mixed black - ethnic category 2001 census"
"937731000006115"	"9iD4.00"	"other black or black unspecified ethnic category 2001 census"
"141401000000117"	"9iE..00"	"chinese - ethnic category 2001 census"
"141411000000115"	"9iF..00"	"other - ethnic category 2001 census"
"141621000000111"	"9iF0.00"	"vietnamese - ethnic category 2001 census"
"141631000000113"	"9iF1.00"	"japanese - ethnic category 2001 census"
"141641000000116"	"9iF2.00"	"filipino - ethnic category 2001 census"
"141651000000118"	"9iF3.00"	"malaysian - ethnic category 2001 census"
"142881000000117"	"9iF4.00"	"buddhist - ethnic category 2001 census"
"157351000000115"	"9iF5.00"	"hindu - ethnic category 2001 census"
"138241000000113"	"9iF6.00"	"jewish - ethnic category 2001 census"
"138281000000117"	"9iF7.00"	"muslim - ethnic category 2001 census"
"142891000000115"	"9iF8.00"	"sikh - ethnic category 2001 census"
"138251000000111"	"9iF9.00"	"arab - ethnic category 2001 census"
"142811000000112"	"9iFA.00"	"north african - ethnic category 2001 census"
"937871000006114"	"9iFB.00"	"mid east (excl israeli, iranian & arab) - eth cat 2001 cens"
"142831000000116"	"9iFC.00"	"israeli - ethnic category 2001 census"
"138261000000114"	"9iFD.00"	"iranian - ethnic category 2001 census"
"142841000000113"	"9iFE.00"	"kurdish - ethnic category 2001 census"
"142851000000111"	"9iFF.00"	"moroccan - ethnic category 2001 census"
"142861000000114"	"9iFG.00"	"latin american - ethnic category 2001 census"
"138271000000119"	"9iFH.00"	"south and central american - ethnic category 2001 census"
"937941000006111"	"9iFJ.00"	"mauritian/seychellois/maldivian/st helena eth cat 2001census"
"142901000000119"	"9iFK.00"	"any other group - ethnic category 2001 census"
"141421000000114"	"9iG..00"	"ethnic category not stated - 2001 census"
"285925010"	"9S1..00"	"white"
"459726019"	"9S10.00"	"white british"
"459727011"	"9S11.00"	"white irish"
"459728018"	"9S12.00"	"other white ethnic group"
"1780407014"	"9S13.00"	"white scottish"
"1780408016"	"9S14.00"	"other white british ethnic group"
"514611000006111"	"9S2..00"	"black caribbean"
"30683015"	"9S3..00"	"black african"
"285931013"	"9S4..00"	"black, other, non-mixed origin"
"285932018"	"9S41.00"	"black british"
"405064011"	"9S42.00"	"black caribbean/w.i./guyana"
"285930014"	"9S42.11"	"black caribbean"
"453109012"	"9S42.12"	"black west indian"
"453110019"	"9S42.13"	"black guyana"
