"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"GLP-1RA"
"89568"	106	"Semaglutide 1.7mg/0.75ml solution for injection 3ml pre-filled disposable devices"	"Semaglutide"	"2.27mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"90172"	1734	"Tirzepatide 5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Tirzepatide"	"8.333mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
"46469"	23260	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd)"	"Exenatide"	"2mg"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"69548"	3507	"Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Liraglutide"	"6mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Liraglutide"
"63785"	18682	"Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices"	"Dulaglutide"	"1.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Dulaglutide"
"90626"	0	"Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Pharmaram Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"62661"	30396	"Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd)"	"Exenatide"	"2mg"	"Powder and solvent for prolonged-release suspension for inj"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"35149"	125400	"Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices"	"Exenatide"	"250microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"55459"	2259	"Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices"	"Lixisenatide"	"50microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Lixisenatide"
"75740"	7486	"Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"75397"	11292	"Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable devices"	"Semaglutide"	"1.34mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Semaglutide"
"35144"	9730	"Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens (AstraZeneca UK Ltd)"	"Exenatide"	"250microgram/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"80987"	1159	"Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices"	"Exenatide"	"2.353mg/1ml"	"Prolonged-release suspension for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)"	"Exenatide"
"90199"	444	"Tirzepatide 7.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices"	"Tirzepatide"	"12.5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists"	"Tirzepatide"
