"medcode"	"term"	"database"
"259307010"	"blood glucose method"	"Aurum"
"259310015"	"random blood sugar normal"	"Aurum"
"259311016"	"random blood sugar low"	"Aurum"
"259312011"	"random blood sugar raised"	"Aurum"
"259320013"	"laboratory blood sugar"	"Aurum"
"259327011"	"glucometer blood sugar"	"Aurum"
"259341019"	"blood glucose method"	"Aurum"
"259346012"	"blood glucose 0-1.4 mmol/l"	"Aurum"
"259347015"	"blood glucose 1.5-2.4 mmol/l"	"Aurum"
"259348013"	"blood glucose 2.5-4.9 mmol/l"	"Aurum"
"259349017"	"blood glucose 5-6.9 mmol/l"	"Aurum"
"259350017"	"blood glucose 7-9.9 mmol/l"	"Aurum"
"259351018"	"blood glucose 10-13.9 mmol/l"	"Aurum"
"259353015"	"blood glucose normal"	"Aurum"
"259356011"	"blood glucose abnormal"	"Aurum"
"259357019"	"blood glucose 14+ mmol/l"	"Aurum"
"259358012"	"high glucose level in blood"	"Aurum"
"259364017"	"glucose tol. test impaired"	"Aurum"
"259584017"	"serum random glucose level"	"Aurum"
"259587012"	"serum fasting glucose level"	"Aurum"
"259588019"	"serum 2 hours post-prandial glucose level"	"Aurum"
"259597015"	"plasma random glucose level"	"Aurum"
"259598013"	"plasma fasting glucose level"	"Aurum"
"259601015"	"plasma 2 hours post-prandial glucose level"	"Aurum"
"259789013"	"urine glucose test not done"	"Aurum"
"259790016"	"urine glucose test negative"	"Aurum"
"259791017"	"urine glucose test = trace"	"Aurum"
"259794013"	"urine glucose test = +"	"Aurum"
"259795014"	"urine glucose test = ++"	"Aurum"
"259796010"	"urine glucose test = +++"	"Aurum"
"259797018"	"urine glucose test = ++++"	"Aurum"
"259800016"	"urine glucose test nos"	"Aurum"
"260209019"	"urine glucose: chem. titre"	"Aurum"
"260533012"	"faecal sugars - general nos"	"Aurum"
"260540013"	"glucose present in stool specimen by chromatography"	"Aurum"
"264676010"	"diabetic monitoring"	"Aurum"
"264677018"	"initial diabetic assessment"	"Aurum"
"264678011"	"follow-up diabetic assessment"	"Aurum"
"264711019"	"chronic hyperglycaemia"	"Aurum"
"264728016"	"annual diabetic blood test"	"Aurum"
"264729012"	"diabetic monitoring nos"	"Aurum"
"356121018"	"diabetic severe hyperglycaemia"	"Aurum"
"375614013"	"blood sugar tolerance"	"Aurum"
"398843011"	"glucose intolerance"	"Aurum"
"398844017"	"malabsorption of glucose"	"Aurum"
"398855017"	"pure hyperglyceridaemia"	"Aurum"
"404515015"	"urine dipstick for glucose"	"Aurum"
"405633013"	"fasting blood glucose level"	"Aurum"
"411749015"	"glucose in sample"	"Aurum"
"412230017"	"[d]glucose, blood level abnormal"	"Aurum"
"457384010"	"60 minute blood glucose level"	"Aurum"
"457490013"	"120 minute blood glucose level"	"Aurum"
"457491012"	"90 minute blood glucose level"	"Aurum"
"457605016"	"150 minute blood glucose level"	"Aurum"
"457608019"	"30 minute plasma glucose level"	"Aurum"
"457609010"	"60 minute plasma glucose level"	"Aurum"
"457612013"	"120 minute plasma glucose level"	"Aurum"
"457613015"	"150 minute plasma glucose level"	"Aurum"
"457616011"	"30 minute serum glucose level"	"Aurum"
