"MedCodeId"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"Term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"Release"	"EmisCodeCategoryId"
"253669010"	90000000	"229"	"229..00"	"standing height"	248333004	370729019	NA	2
"923831000006115"	200	"PCNQOE1"	""	"o/e - height"	923831000006104	923831000006115	NA	42
"1910921000006114"	8000	"EMISNQES11"	""	"estimated height"	1910921000006105	1910921000006114	NA	2
"1910931000006112"	3000	"EMISNQRE470"	""	"reported height"	1910931000006108	1910931000006112	NA	2
"253669010"	90000000	"229"	"229..00"	"standing height"	248333004	370729019	NA	2
"253672015"	20000	"2293"	"2293.00"	"o/e -height within 10% average"	162758008	253672015	NA	2
"253673013"	1000	"2294"	"2294.00"	"o/e-height 10-20% over average"	162759000	253673013	NA	2
"253675018"	7000	"2296"	"2296.00"	"o/e - loss of height"	162761009	253675018	NA	2
"253676017"	100000	"229Z"	"229Z.00"	"o/e - height nos"	248333004	370729019	NA	2
"253866018"	90000	"22Z"	"22Z..00"	"height and weight"	162879003	253866018	NA	2
"356419015"	5000	"C1303"	"C130300"	"constitutional tall stature"	237835004	356419015	NA	32
"271181000006113"	1000	"2291"	"2291.00"	"o/e-height > 20% below average"	162756007	253670011	NA	2
"272151000006114"	600	"2295"	"2295.00"	"o/e -height > 20% over average"	162760005	253674019	NA	2
"284561000006119"	2000	"2292"	"2292.00"	"o/e - height 10-20% < average"	162757003	253671010	NA	2
"923831000006115"	200	"PCNQOE1"	""	"o/e - height"	923831000006104	923831000006115	NA	42
"957731000006119"	5	"TRISHE1"	""	"height weight & bp"	957731000006103	957731000006119	NA	17
"982601000006111"	70	"EMISCHE7"	""	"height (over)"	982601000006107	982601000006111	NA	27
"982611000006114"	80	"EMISCHE8"	""	"height (under)"	982611000006105	982611000006114	NA	27
"1910921000006114"	8000	"EMISNQES11"	""	"estimated height"	1910921000006105	1910921000006114	NA	2
"1910931000006112"	3000	"EMISNQRE470"	""	"reported height"	1910931000006108	1910931000006112	NA	2
"2729021000006118"	1	"^ESCTME272902"	""	"measuring height of patient"	14456009	24574015	NA	31
"3315711000006110"	300	"^ESCTBO331571"	""	"body height measure"	50373000	495662010	NA	31
"3315721000006119"	8000	"^ESCTBO331572"	""	"body height"	50373000	83914018	NA	31
"3667431000006112"	2	"^ESCTDE366743"	""	"decrease in height"	71781005	501960018	NA	31
"3851891000006118"	5	"^ESCTTA385189"	""	"tall for age"	83077003	137798013	NA	31
"4551671000006115"	20	"^ESCTON455167"	""	"on examination - height"	162755006	2666494014	NA	27
"4551681000006117"	5	"^ESCTOE455168"	""	"o/e - height greater than 20% below average"	162756007	253670011	NA	2
"4551701000006119"	9	"^ESCTOE455170"	""	"o/e - height 10-20% below average"	162757003	253671010	NA	2
"4551761000006118"	5	"^ESCTOE455176"	""	"o/e - height greater than 20% over average"	162760005	253674019	NA	2
"5256071000006119"	90	"^ESCTGE525607"	""	"general finding of height"	248327008	370721016	NA	31
"5256091000006118"	50	"^ESCTTA525609"	""	"tall stature"	248328003	370722011	NA	31
"5256131000006116"	3	"^ESCTHA525613"	""	"has grown in height"	248331002	370727017	NA	31
"5526601000006112"	300	"^ESCTHE552660"	""	"height / growth measure"	271603002	406454019	NA	31
"5529851000006116"	1000	"^ESCTHA552985"	""	"has not grown in height"	271817008	406786011	NA	32
"5892171000006118"	2000	"^ESCTFI589217"	""	"finding of measures of body height and growth"	301330009	442608019	NA	31
"5990011000006117"	200	"^ESCTNO599001"	""	"normal height"	309534003	452982012	NA	31
"6922511000006116"	1	"^ESCTHE692251"	""	"height below average"	418519005	2576674011	NA	31
"8433591000006111"	1	"^ESCTBO843359"	""	"body height growth rate"	1060601000000109	2666101000000114	NA	31
"11905141000006112"	50000	"^ESCT1190514"	""	"o/e - height"	162755006	253669010	NA	27
