"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"31341"	"G24z100"	394	0	1	0	"hypertension secondary to drug"	"February 2009"
"106279"	"8IA5.00"	0	0	1	0	"trial withdrawal of antihypertensive therapy declined"	"June 2013"
"61660"	"G211000"	21	0	0	0	"benign hypertensive heart disease without ccf"	"February 2009"
"4372"	"G202.00"	21061	0	216	4	"systolic hypertension"	"February 2009"
"18057"	"8B26.00"	7216	0	1	0	"antihypertensive therapy"	"February 2009"
"31464"	"G21z.00"	164	0	2	0	"hypertensive heart disease nos"	"February 2009"
"85944"	"7Q01.00"	4	0	0	0	"high cost hypertension drugs"	"February 2009"
"21660"	"TJC7.00"	1243	0	1	0	"adverse reaction to other antihypertensives"	"February 2009"
"5215"	"9OI..00"	199021	0	407	3	"hypertension monitoring admin."	"February 2009"
"31387"	"G24z000"	300	0	11	0	"secondary renovascular hypertension nos"	"February 2009"
"50157"	"G210.00"	46	0	0	0	"malignant hypertensive heart disease"	"February 2009"
"109771"	"662P100"	3692	0	1	0	"telehealth hypertension monitoring"	"June 2015"
"72226"	"SLC6.00"	4	0	0	0	"other hypertensive agent poisoning"	"February 2009"
"109611"	"661M600"	58	0	0	0	"hypertension self-management plan agreed"	"May 2015"
"72668"	"G210100"	7	0	0	0	"malignant hypertensive heart disease with ccf"	"February 2009"
"105938"	"G211z00"	9	0	0	0	"benign hypertensive heart disease nos"	"April 2013"
"11056"	"8BL0.00"	183183	0	42	0	"patient on maximal tolerated antihypertensive therapy"	"February 2009"
"114722"	"J17B.00"	1812	0	0	0	"portal hypertensive gastropathy"	"March 2020"
"29310"	"G22z.11"	636	0	26	1	"renal hypertension"	"February 2009"
"71433"	"66b2.00"	28	0	0	0	"hypertension monitoring not required"	"February 2009"
"24127"	"9OIA.11"	9543	0	15	0	"hypertension monitored"	"February 2009"
"37086"	"F404200"	113	0	2	0	"blind hypertensive eye"	"February 2009"
"51635"	"G241z00"	95	0	0	0	"secondary benign hypertension nos"	"February 2009"
"68659"	"G23z.00"	10	0	0	0	"hypertensive heart and renal disease nos"	"February 2009"
"32976"	"6146200"	388	0	0	0	"hypertension induced by oral contraceptive pill"	"February 2009"
"83473"	"G203.00"	1084	0	15	0	"diastolic hypertension"	"February 2009"
"105989"	"G26..00"	74	0	1	0	"severe hypertension (nat inst for health clinical ex 2011)"	"April 2013"
"27525"	"9OI..11"	10413	0	2	0	"hypertension clinic admin."	"February 2009"
"799"	"G20..00"	4264408	0	17528	38	"essential hypertension"	"February 2009"
"3425"	"662O.00"	55168	0	800	1	"on treatment for hypertension"	"February 2009"
"62718"	"G21z100"	114	0	0	0	"hypertensive heart disease nos with ccf"	"February 2009"
"5513"	"8HT5.00"	3436	0	4188	0	"referral to hypertension clinic"	"February 2009"
"1894"	"G201.00"	59994	0	116	0	"benign essential hypertension"	"February 2009"
