"medcode"	"readcode"	"desc"
"101649"	"7Q01y00"	"other specified high cost hypertension drugs"
"102406"	"662P000"	"hypertension 9 month review"
"102458"	"Gyu2000"	"[x]other secondary hypertension"
"103046"	"G210z00"	"malignant hypertensive heart disease nos"
"105274"	"G28..00"	"stage 2 hypertension (nice - nat ins for hth clin excl 2011)"
"105316"	"G25..11"	"stage 1 hypertension"
"105371"	"G25..00"	"stage 1 hypertension (nice - nat ins for hth clin excl 2011)"
"105480"	"G27..00"	"hypertension resistant to drug therapy"
"105487"	"G26..11"	"severe hypertension"
"105938"	"G211z00"	"benign hypertensive heart disease nos"
"105989"	"G26..00"	"severe hypertension (nat inst for health clinical ex 2011)"
"106279"	"8IA5.00"	"trial withdrawal of antihypertensive therapy declined"
"107704"	"G20..12"	"primary hypertension"
"10818"	"G20z.00"	"essential hypertension nos"
"109611"	"661M600"	"hypertension self-management plan agreed"
"11056"	"8BL0.00"	"patient on maximal tolerated antihypertensive therapy"
"12680"	"8CR4.00"	"hypertension clinical management plan"
"13186"	"662P.00"	"hypertension monitoring"
"13188"	"662G.00"	"hypertensive treatm.changed"
"15106"	"G22z.00"	"hypertensive renal disease nos"
"15377"	"G200.00"	"malignant essential hypertension"
"16059"	"G24z.00"	"secondary hypertension nos"
"16173"	"G21zz00"	"hypertensive heart disease nos"
"16292"	"G21..00"	"hypertensive heart disease"
"16565"	"6627.00"	"good hypertension control"
"18057"	"8B26.00"	"antihypertensive therapy"
"18482"	"662c.00"	"hypertension six month review"
"18590"	"662b.00"	"moderate hypertension control"
"18765"	"G2y..00"	"other specified hypertensive disease"
"1894"	"G201.00"	"benign essential hypertension"
"19070"	"662d.00"	"hypertension annual review"
"204"	"G2...00"	"hypertensive disease"
"21826"	"662F.00"	"hypertension treatm. started"
"21837"	"G232.00"	"hypertensive heart&renal dis wth (congestive) heart failure"
"22333"	"8I3N.00"	"hypertension treatment refused"
"24127"	"9OIA.11"	"hypertension monitored"
"25371"	"G241000"	"secondary benign renovascular hypertension"
"2666"	"14A2.00"	"h/o: hypertension"
"27511"	"6628.00"	"poor hypertension control"
"27525"	"9OI..11"	"hypertension clinic admin."
"27634"	"9N1y200"	"seen in hypertension clinic"
"30770"	"U60C511"	"[x] adverse reaction to other antihypertensives"
"30776"	"6629.00"	"hypertension:follow-up default"
"31341"	"G24z100"	"hypertension secondary to drug"
"31387"	"G24z000"	"secondary renovascular hypertension nos"
"31464"	"G21z.00"	"hypertensive heart disease nos"
"31755"	"G240.00"	"secondary malignant hypertension"
"31816"	"G672.11"	"hypertensive crisis"
"32423"	"G222.00"	"hypertensive renal disease with renal failure"
"32976"	"6146200"	"hypertension induced by oral contraceptive pill"
"3425"	"662O.00"	"on treatment for hypertension"
"34744"	"G244.00"	"hypertension secondary to endocrine disorders"
"37086"	"F404200"	"blind hypertensive eye"
"3712"	"G20z.11"	"hypertension nos"
"39649"	"G220.00"	"malignant hypertensive renal disease"
"42229"	"G24zz00"	"secondary hypertension nos"
"4372"	"G202.00"	"systolic hypertension"
"43935"	"G221.00"	"benign hypertensive renal disease"
"44350"	"U60C51A"	"[x] adverse reaction to antihypertensives nos"
"4444"	"662..12"	"hypertension monitoring"
"50157"	"G210.00"	"malignant hypertensive heart disease"
"51635"	"G241z00"	"secondary benign hypertension nos"
"52127"	"G211100"	"benign hypertensive heart disease with ccf"
"5215"	"9OI..00"	"hypertension monitoring admin."
"52427"	"G211.00"	"benign hypertensive heart disease"
