"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Insulin"
"56857"	149	"Insulin isophane biphasic human 15/85 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"15unit/1ml + 85unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"10547"	3086	"Humulin Lente 100units/ml suspension for injection 10ml vials (Eli Lilly and Company Ltd)"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Unknown"	"Insulin"
"9363"	54646	"U100 Insulin syringe 0.5ml"	"Insulin"	"0.5ml"	"Insulin Syringe"	NA	"Diabetic Hypodermic Equipment"	"Insulin"
"68745"	4887	"Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Neon Diagnostics Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"56656"	230	"Kendall Magellan hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 8mm safety needle 0.3mm/30gauge (Covidien (UK) Commercial Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use"	"Insulin"
"88756"	7	"Trurapi 100units/ml solution for injection 3ml cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"90067"	98	"Insupen Original hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/33gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"54629"	1247	"Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Spirit Healthcare Ltd)"	"Insulin"	NA	"Suppository"	"Rectal"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"36031"	111	"Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 3ml cartridges"	"Insulin"	"70unit/1ml + 30unit/1ml"	"Suspension for injection"	"Intramuscular/Subcutaneous"	"Biphasic Insulins"	"Insulin"
"56879"	1400	"HumaPen Savvio hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Graphite (Eli Lilly and Company Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"59500"	1	"Insulin isophane human 100units/ml suspension for injection 5ml vials"	"Insulin"	"100unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"15040"	54	"INSULIN MONOPHANE (ISOPHANE) 100 I/U INJ"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Unknown"	"Insulin"
"7400"	94378	"Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"41120"	5	"Insulin isophane biphasic human 50/50 100units/ml suspension for injection 3ml pre-filled disposable devices"	"Insulin"	"50unit/1ml + 50unit/1ml"	"Suspension for injection"	"Subcutaneous"	"Biphasic Insulins"	"Insulin"
"73718"	3973	"4SURE hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (Nipro Diagnostics (UK) Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"68939"	1	"PROFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/31gauge (Prosum Medical Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Needle For Pre-Filled And Reusable Pen Injector"	"Insulin"
"22945"	816	"Insuman rapid 100iu/ml Injection (Aventis Pharma)"	"Insulin"	"100iu/ml"	"Injection"	"Subcutaneous Injection"	"Short-Acting Insulins/Diabetic Ketoacidosis"	"Insulin"
"63726"	7706	"NovoPen 5 hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Blue (Novo Nordisk Ltd)"	"Insulin"	NA	"Solution for injection"	"Intramuscular"	"Reusable Pens"	"Insulin"
"85931"	410	"Trurapi 100units/ml solution for injection 3ml pre-filled Solostar pens (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Short-Acting Insulins"	"Insulin"
"10225"	52350	"Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi)"	"Insulin"	"100unit/1ml"	"Solution for injection"	"Subcutaneous"	"Intermediate- And Long-Acting Insulins"	"Insulin"
"10910"	2249	"Humaject m2 100iu/ml M2 pen (Eli Lilly and Company Ltd)"	"Insulin"	"100iu/ml"	"M2 Pen"	"Subcutaneous Injection"	"Intermediate- And Long-Acting Insulins"	"Insulin"
