"medcode"	"readcode"	"desc"
"46225"	"44OD.00"	"plasma lipids"
"858"	"44O2.00"	"serum lipids normal"
"94177"	"4QA..00"	"lipid level"
"7205"	"6879.12"	"lipid screen"
"15195"	"44OZ.00"	"serum lipids nos"
"23125"	"44O3.00"	"serum lipids borderline raised"
"7574"	"6879.00"	"hyperlipidaemia screen"
"856"	"44O6.00"	"lipids abnormal"
"14781"	"44O4.00"	"serum lipids high"
"102004"	"44q8.00"	"hyperlipidaemia screening test"
"62"	"44O..00"	"serum lipids"
"6363"	"44O5.00"	"fasting blood lipids"
"108302"	"44PL000"	"serum non high density lipoprotein cholesterol level"
"50393"	"44lI.00"	"plasma cholesterol/ldl ratio"
"109989"	"44lzY00"	"serum hdl cholesterol:triglyceride ratio"
"108902"	"44PL100"	"estimated serum non-hdl cholesterol level"
"63314"	"44lJ.00"	"serum cholesterol/vldl ratio"
"35583"	"44lH.00"	"serum cholesterol/ldl ratio"
"13816"	"44P7.00"	"serum vldl cholesterol level"
"34548"	"44dA.00"	"plasma hdl cholesterol level"
"46224"	"44PE.00"	"serum random ldl cholesterol level"
"40935"	"44lG.00"	"plasma cholesterol/hdl ratio"
"14136"	"4I3O.00"	"fluid sample cholesterol level"
"19764"	"44dB.00"	"plasma ldl cholesterol level"
"13766"	"44PI.00"	"calculated ldl cholesterol level"
"13765"	"44PD.00"	"serum fasting ldl cholesterol level"
"33304"	"44d4.00"	"plasma random ldl cholesterol level"
"93756"	"44PL.00"	"non hdl cholesterol level"
"26915"	"44d2.00"	"plasma random hdl cholesterol level"
"13762"	"44d3.00"	"plasma fasting hdl cholesterol level"
"35720"	"44P4.00"	"serum cholesterol very high"
"37206"	"44P9.00"	"serum cholesterol studies"
"14108"	"44PG.00"	"hdl : total cholesterol ratio"
"29202"	"44P2.00"	"serum cholesterol borderline"
"14371"	"44lF.00"	"serum cholesterol/hdl ratio"
"14372"	"44PF.00"	"total cholesterol:hdl ratio"
"26902"	"44PZ.00"	"serum cholesterol nos"
"29699"	"44d5.00"	"plasma fasting ldl cholesterol level"
"18443"	"662a.00"	"pre-treatment serum cholesterol level"
"18040"	"44OE.00"	"plasma total cholesterol level"
"14105"	"44l2.00"	"cholesterol/hdl ratio"
"13733"	"44PJ.00"	"serum total cholesterol level"
"18147"	"44PH.00"	"total cholesterol measurement"
"14370"	"44P8.00"	"serum hdl:non-hdl cholesterol ratio"
"13760"	"44PB.00"	"serum fasting hdl cholesterol level"
"13761"	"44PC.00"	"serum random hdl cholesterol level"
"12821"	"44PK.00"	"serum fasting total cholesterol"
"65"	"44P6.00"	"serum ldl cholesterol level"
"44"	"44P5.00"	"serum hdl cholesterol level"
"622"	"44P1.00"	"serum cholesterol normal"
"2493"	"44P3.00"	"serum cholesterol raised"
"10940"	"6879.11"	"cholesterol screen"
"12"	"44P..00"	"serum cholesterol"
"49197"	"44R4.11"	"ldl - electrophoresis"
"49695"	"44lM.00"	"plasma ldl/hdl ratio"
"54066"	"44R5.11"	"vldl - electrophoresis"
"15405"	"44R4.00"	"lipoprotein electroph. - ldl"
"19853"	"44lL.00"	"serum ldl/hdl ratio"
"14369"	"44PA.00"	"hdl : ldl ratio"
"64564"	"44R5.00"	"lipoprotein electroph. - vldl"
"66037"	"44OB.00"	"serum vldl triglyceride level"
"13834"	"44O8.00"	"plasma vldl triglyceride level"
"26940"	"44Q1.00"	"serum triglycerides normal"
"26941"	"44Q3.00"	"serum triglycerides raised"
