"prodcodeid"	"term"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"concat"	"match"	"Lipid regulating meds"
"2841000033117"	"Acipimox 250mg capsules"	"Acipimox 250mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Acipimox"	"250.000mg"	"02120000"	"acipimox 250mg capsules acipimox 250mg capsules acipimox"	1	"Acipimox"
"91941000033117"	"Atorvastatin 10mg tablets"	"Atorvastatin 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atorvastatin"	"10.000mg"	"02120000"	"atorvastatin 10mg tablets atorvastatin 10mg tablets atorvastatin calcium trihydrate"	1	"Atorvastatin"
"92041000033111"	"Atorvastatin 20mg tablets"	"Atorvastatin 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atorvastatin"	"20.000mg"	"02120000"	"atorvastatin 20mg tablets atorvastatin 20mg tablets atorvastatin calcium trihydrate"	1	"Atorvastatin"
"92141000033110"	"Atorvastatin 40mg tablets"	"Atorvastatin 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Atorvastatin"	"40.000mg"	"02120000"	"atorvastatin 40mg tablets atorvastatin 40mg tablets atorvastatin calcium trihydrate"	1	"Atorvastatin"
"144941000033118"	"Bezalip 200mg tablets (Teva UK Ltd)"	"Bezalip 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Bezafibrate"	"200.000mg"	NA	"bezalip 200mg tablets bezalip 200mg tablets  teva uk ltd  bezafibrate"	1	"Bezafibrate"
"145041000033118"	"Bezalip Mono 400mg modified-release tablets (Teva UK Ltd)"	"Bezalip Mono 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Bezafibrate"	"400.000mg"	NA	"bezalip mono 400mg modified release tablets bezalip mono 400mg modified release tablets  teva uk ltd  bezafibrate"	1	"Bezafibrate"
"145841000033113"	"Bezafibrate 200mg tablets"	"Bezafibrate 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Bezafibrate"	"200.000mg"	"02120000"	"bezafibrate 200mg tablets bezafibrate 200mg tablets bezafibrate"	1	"Bezafibrate"
"145941000033117"	"Bezafibrate 400mg modified-release tablets"	"Bezafibrate 400mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Bezafibrate"	"400.000mg"	"02120000"	"bezafibrate 400mg modified release tablets bezafibrate 400mg modified release tablets bezafibrate"	1	"Bezafibrate"
"233741000033115"	"Cerivastatin 100microgram tablets"	"Cerivastatin 100microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Cerivastatin"	"100.000microgram"	"02120000"	"cerivastatin 100microgram tablets cerivastatin 100microgram tablets cerivastatin sodium"	1	"Cerivastatin"
"233841000033113"	"Cerivastatin 200microgram tablets"	"Cerivastatin 200microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Cerivastatin"	"200.000microgram"	"02120000"	"cerivastatin 200microgram tablets cerivastatin 200microgram tablets cerivastatin sodium"	1	"Cerivastatin"
