"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Metformin"
"644941000033117"	"Glucophage 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"500.000mg"	NA	"Metformin"
"645041000033117"	"Glucophage 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"850.000mg"	NA	"Metformin"
"896941000033112"	"Metformin 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"500.000mg"	"06010202"	"Metformin"
"897041000033113"	"Metformin 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"850.000mg"	"06010202"	"Metformin"
"2620241000033119"	"Metformin 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Metformin"	"100.000mg/1.000ml"	"06010202"	"Metformin"
"2995141000033110"	"Avandamet 1mg/500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"500.000mg + 1.000mg"	NA	"Metformin"
"2995241000033115"	"Avandamet 2mg/500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"500.000mg + 2.000mg"	NA	"Metformin"
"3191341000033115"	"Rosiglitazone 1mg / Metformin 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"500.000mg + 1.000mg"	"06010203"	"Metformin"
"3191441000033114"	"Rosiglitazone 2mg / Metformin 500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"500.000mg + 2.000mg"	"06010203"	"Metformin"
"3200541000033116"	"Rosiglitazone 2mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"1.000gram + 2.000mg"	"06010203"	"Metformin"
"3200641000033115"	"Rosiglitazone 4mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"1.000gram + 4.000mg"	"06010203"	"Metformin"
"3200741000033112"	"Avandamet 2mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"1.000gram + 2.000mg"	NA	"Metformin"
"3200841000033119"	"Avandamet 4mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"1.000gram + 4.000mg"	NA	"Metformin"
"3228141000033117"	"Metformin 500mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"500.000mg"	"06010202"	"Metformin"
"3228241000033112"	"Glucophage SR 500mg tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"500.000mg"	NA	"Metformin"
"3890941000033116"	"Metformin Hydrochloride  Sugar free suspension  500 mg/5 ml"	NA	NA	"Metformin"	NA	NA	"Metformin"
"3982341000033110"	"Metformin 500mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Metformin"	"100.000mg/1.000ml"	"06010202"	"Metformin"
"3982441000033116"	"Metsol 500mg/5ml oral solution"	"Oral solution"	"Oral"	"Metformin"	"100.000mg/1.000ml"	NA	"Metformin"
"3983941000033115"	"Pioglitazone 15mg / Metformin 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"850.000mg + 15.000mg"	"06010203"	"Metformin"
"3984241000033114"	"Competact 15mg/850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"850.000mg + 15.000mg"	NA	"Metformin"
"4452341000033119"	"Vildagliptin 50mg / Metformin 850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"850.000mg + 50.000mg"	"06010203"	"Metformin"
"4452441000033113"	"Vildagliptin 50mg / Metformin 1g tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"1.000gram + 50.000mg"	"06010203"	"Metformin"
"4452541000033114"	"Eucreas 50mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"1.000gram + 50.000mg"	NA	"Metformin"
"4452641000033110"	"Eucreas 50mg/850mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"850.000mg + 50.000mg"	NA	"Metformin"
"4549141000033118"	"Metformin 750mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"750.000mg"	"06010202"	"Metformin"
"4549241000033113"	"Glucophage SR 750mg tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"750.000mg"	NA	"Metformin"
"4945241000033117"	"Metformin 1g modified-release tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"1.000gram"	"06010202"	"Metformin"
"4945341000033110"	"Glucophage SR 1000mg tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"1.000gram"	NA	"Metformin"
"4957741000033118"	"Bolamyn SR 500mg tablets"	"Modified-release tablet"	"Oral"	"Metformin"	"500.000mg"	NA	"Metformin"
"5007641000033119"	"Metformin 500mg oral powder sachets sugar free"	"Powder for oral solution/ Powder"	"Oral"	"Metformin"	"500.000mg"	"06010202"	"Metformin"
"5007741000033111"	"Metformin 1g oral powder sachets sugar free"	"Powder for oral solution/ Powder"	"Oral"	"Metformin"	"1.000gram"	"06010202"	"Metformin"
"5007841000033118"	"Glucophage 500mg oral powder sachets"	"Powder for oral solution/ Powder"	"Oral"	"Metformin"	"500.000mg"	NA	"Metformin"
"5007941000033114"	"Glucophage 1000mg oral powder sachets"	"Powder for oral solution/ Powder"	"Oral"	"Metformin"	"1.000gram"	NA	"Metformin"
"5132241000033116"	"Janumet 50mg/1000mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Metformin"	"1.000gram + 50.000mg"	NA	"Metformin"
