"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Metformin"
"43684"	42448	"Janumet 50mg/1000mg tablets (Merck Sharp & Dohme (UK) Ltd)"	"Metformin"	"1gram + 50mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Metformin"
"30316"	8156	"Metformin with pioglitazone 850mg + 15mg Tablet"	"Metformin"	"850mg + 15mg"	"Tablet"	"Oral"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Metformin"
"73808"	2	"Metformin 500mg/5ml oral solution sugar free (Accord-UK Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"62265"	0	"Metformin 500mg modified-release tablets (Mawdsley-Brooks & Company Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"60074"	0	"Metformin 1g modified-release tablets (Waymade Healthcare Plc)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"50570"	1	"Glucophage SR 500mg tablets (Lexon (UK) Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"63031"	2032	"Dapagliflozin 5mg / Metformin 850mg tablets"	"Metformin"	"850mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Metformin"	"Metformin"
"48149"	1	"Metformin 500mg tablets (Almus Pharmaceuticals Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"58865"	65	"Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd)"	"Metformin"	"850mg + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Metformin"
"11609"	569	"Metformin with rosiglitazone 500mg + 1mg Tablet"	"Metformin"	"500mg + 1mg"	"Tablet"	"Oral"	"Biguanides (Metformin)/Other Antidiabetic Products"	"Metformin"
"49738"	29	"Metformin 1g modified-release tablets (A A H Pharmaceuticals Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"37874"	15340	"Vildagliptin 50mg / Metformin 850mg tablets"	"Metformin"	"850mg + 50mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Metformin"
"52221"	7489	"Diagemet XL 500mg tablets (Genus Pharmaceuticals Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"7166"	210786	"Glucophage 500mg tablets (Merck Serono Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"68214"	0	"Metformin 500mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"40007"	1579	"Glucophage 1000mg oral powder sachets (Merck Serono Ltd)"	"Metformin"	"1gram"	"Powder for oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"85047"	0	"Metformin 1g modified-release tablets (Medihealth (Northern) Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"11601"	32305	"Rosiglitazone 2mg / Metformin 500mg tablets"	"Metformin"	"2mg + 500mg"	"Oral tablet"	"Oral"	"Glitazones Plus Metformin"	"Metformin"
"91178"	6	"Metformin 850mg modified-release tablets"	"Metformin"	"850mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"57457"	0	"Metformin 500mg tablets (Milpharm Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"58607"	0	"Metformin 500mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"40233"	11586	"Metformin 1g oral powder sachets sugar free"	"Metformin"	"1gram"	"Powder for oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"52634"	2	"Glucophage SR 500mg tablets (DE Pharmaceuticals)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"56965"	456	"Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd)"	"Metformin"	"1gram + 2.5mg"	"Oral tablet"	"Oral"	"Gliptins Plus Metformin"	"Metformin"
"42161"	3	"Orabet 500mg Tablet (Sandoz Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"73525"	0	"Metformin 500mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"53774"	661	"Metabet SR 500mg tablets (Actavis UK Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"34598"	548	"Metformin 500mg tablets (Viatris UK Healthcare Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"63045"	0	"Metformin 850mg tablets (Relonchem Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"84717"	3	"Metformin 500mg Tablet (Ratiopharm UK Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"84627"	0	"Metformin 1g modified-release tablets (Accord-UK Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"71890"	82	"Metformin 500mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"83608"	1	"Metformin 500mg modified-release tablets (Consilient Health Ltd)"	"Metformin"	"500mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"74021"	15	"Metformin 250mg/5ml oral solution"	"Metformin"	"50mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"87325"	0	"Glucophage SR 1000mg tablets (Pilsco Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"38400"	40043	"Glucophage SR 750mg tablets (Merck Serono Ltd)"	"Metformin"	"750mg"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"74734"	2	"Metformin 850mg capsules"	"Metformin"	"850mg"	"Oral capsule"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"73303"	0	"Metformin 500mg/5ml oral solution sugar free (Colonis Pharma Ltd)"	"Metformin"	"100mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"65083"	3433	"Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd)"	"Metformin"	"1gram + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Metformin"	"Metformin"
"69221"	0	"Metformin 1g oral powder sachets sugar free (J M McGill Ltd)"	"Metformin"	"1gram"	"Powder for oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"90065"	0	"Metformin 850mg/5ml oral solution sugar free (Medihealth (Northern) Ltd)"	"Metformin"	"170mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"7610"	55555	"Glucophage 850mg tablets (Merck Serono Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"62605"	0	"Metformin 850mg tablets (Kent Pharma (UK) Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"52442"	0	"Metformin 500mg tablets (Pfizer Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"78392"	0	"Metformin 850mg tablets (Zentiva Pharma UK Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"82890"	0	"Metformin 850mg tablets (Milpharm Ltd)"	"Metformin"	"850mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"63307"	11	"Metformin 1g/5ml oral solution"	"Metformin"	"200mg/1ml"	"Oral solution"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"73285"	0	"Metformin 500mg tablets (Waymade Healthcare Plc)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"34135"	1	"Metformin 500mg Tablet (M & A Pharmachem Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"50970"	0	"Metformin 500mg tablets (Bristol Laboratories Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"65059"	173	"Xigduo 5mg/850mg tablets (AstraZeneca UK Ltd)"	"Metformin"	"850mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Metformin"	"Metformin"
"27501"	8	"Orabet 500mg Tablet (Lagap)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"72695"	103	"Metformin 500mg Tablet (Celltech Pharma Europe Ltd)"	"Metformin"	"500mg"	"Oral tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"54442"	0	"Metformin (roi) 1000mg Tablet"	"Metformin"	"1000mg"	"Tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
"60643"	1308	"Xigduo 5mg/1000mg tablets (AstraZeneca UK Ltd)"	"Metformin"	"1gram + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Metformin"	"Metformin"
"73254"	45528	"Yaltormin SR 1000mg tablets (Wockhardt UK Ltd)"	"Metformin"	"1gram"	"Modified-release tablet"	"Oral"	"Biguanides (Metformin)"	"Metformin"
