"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Mood Stabiliser"
"62869"	0	"Lamotrigine 50mg tablets (Sigma Pharmaceuticals Plc)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"79244"	21	"Carbamazepine 200mg tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	"200mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"39279"	9194	"Epilim Chronosphere MR 500mg granules sachets (Sanofi)"	"Valproate"	"500mg"	"Modified-release granules"	"Oral"	"Control Of Epilepsy"	"Valproate"
"12932"	288	"Epimaz 100mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"3358"	2873	"PRIADEL 800 MG TAB"	"Lithium"	NA	"Tablet"	"Oral"	"Unknown"	"Lithium"
"5997"	326	"Convulex 150mg gastro-resistant capsules (G.L. Pharma UK Ltd)"	"Valproic"	"150mg"	"Gastro-resistant capsule"	"Oral"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"
"16149"	1992	"Lamotrigine 50mg dispersible tablets sugar free"	"Lamotrigine"	"50mg"	"Dispersible tablet"	"Oral"	"Control Of Epilepsy"	"Lamotrigine"
"75692"	8	"Carbamazepine 100mg/5ml oral suspension (Special Order)"	"Carbamazepine"	"20mg/1ml"	"Oral suspension"	"Oral"	"Control Of Epilepsy"	"Carbamazepine"
"25396"	134	"LITHIUM CHLORIDE 400 MG SOL"	"Lithium"	NA	NA	NA	"Unknown"	"Lithium"
"73122"	1	"Epilim Chrono 300 tablets (Lexon (UK) Ltd)"	"Valproate"	"300mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"87815"	0	"Sodium valproate 200mg gastro-resistant tablets (DE Pharmaceuticals)"	"Valproate"	"200mg"	"Gastro-resistant tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"71432"	739	"Tegretol Prolonged Release 200mg tablets (Waymade Healthcare Plc)"	"Carbamazepine"	"200mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
"6560"	119330	"Sodium valproate 500mg modified-release tablets"	"Valproate"	"500mg"	"Modified-release tablet"	"Oral"	"Control Of Epilepsy"	"Valproate"
"80290"	0	"Lamictal 50mg tablets (Mawdsley-Brooks & Company Ltd)"	"Lamotrigine"	"50mg"	"Oral tablet"	"Oral"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"
"56734"	3	"Carbamazepine 100mg tablets (Phoenix Healthcare Distribution Ltd)"	"Carbamazepine"	"100mg"	"Oral tablet"	"Oral"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"
