"MedCodeId"	"CleansedReadCode"	"Term"
"810811000006116"	"14A3.00"	"h/o: myocardial infarct <60"
"810821000006112"	"14A4.00"	"h/o: myocardial infarct >60"
"451369010"	"14AH.00"	"h/o: myocardial infarction in last year"
"1738171000006114"	"14AT.00"	"history of myocardial infarction"
"256452010"	"323..00"	"ecg: myocardial infarction"
"256454011"	"3232.00"	"ecg: old myocardial infarction"
"256460011"	"323Z.00"	"ecg: myocardial infarct nos"
"238651000006115"	"7929100"	"percut transluminal coronary thrombolysis with streptokinase"
"238581000006112"	"7929111"	"percut translum coronary thrombolytic therapy- streptokinase"
"616081000006113"	"889A.00"	"diab mellit insulin-glucose infus acute myocardial infarct"
"94884017"	"G30..00"	"acute myocardial infarction"
"1786197015"	"G30..12"	"coronary thrombosis"
"537751000006115"	"G30..13"	"cardiac rupture following myocardial infarction (mi)"
"37443015"	"G30..14"	"heart attack"
"219531000000117"	"G30..15"	"mi - acute myocardial infarction"
"1786198013"	"G30..16"	"thrombosis - coronary"
"350376014"	"G30..17"	"silent myocardial infarction"
"455641000006112"	"G300.00"	"acute anterolateral infarction"
"299707016"	"G301.00"	"other specified anterior myocardial infarction"
"455651000006114"	"G301100"	"acute anteroseptal infarction"
"299709018"	"G301z00"	"anterior myocardial infarction nos"
"457531000006110"	"G302.00"	"acute inferolateral infarction"
"1234005010"	"G303.00"	"acute inferoposterior infarction"
"299710011"	"G304.00"	"posterior myocardial infarction nos"
"299711010"	"G305.00"	"lateral myocardial infarction nos"
"299712015"	"G306.00"	"true posterior myocardial infarction"
"116992017"	"G307.00"	"acute subendocardial infarction"
"450322013"	"G307000"	"acute non-q wave infarction"
"1780501013"	"G307100"	"acute non-st segment elevation myocardial infarction"
"299714019"	"G308.00"	"inferior myocardial infarction nos"
"967931000006114"	"G30B.00"	"acute posterolateral myocardial infarction"
"460681000006116"	"G30X.00"	"acute transmural myocardial infarction of unspecif site"
"1780491019"	"G30X000"	"acute st segment elevation myocardial infarction"
"299718016"	"G30y.00"	"other acute myocardial infarction"
"299720018"	"G30yz00"	"other acute myocardial infarction nos"
"299721019"	"G30z.00"	"acute myocardial infarction nos"
"109915012"	"G310.00"	"postmyocardial infarction syndrome"
"682481000006118"	"G311000"	"myocardial infarction aborted"
"2619484018"	"G311011"	"mi - myocardial infarction aborted"
"4031011"	"G32..00"	"old myocardial infarction"
"4032016"	"G32..11"	"healed myocardial infarction"
"230021000006115"	"G32..12"	"personal history of myocardial infarction"
"299808017"	"G35..00"	"subsequent myocardial infarction"
"299811016"	"G350.00"	"subsequent myocardial infarction of anterior wall"
"299812011"	"G351.00"	"subsequent myocardial infarction of inferior wall"
"299813018"	"G353.00"	"subsequent myocardial infarction of other sites"
"118831000006118"	"G35X.00"	"subsequent myocardial infarction of unspecified site"
"543291000006110"	"G36..00"	"certain current complication follow acute myocardial infarct"
"208365015"	"G38..00"	"postoperative myocardial infarction"
