"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Other Antidiabetic"
"11441000033114"	"Acarbose 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"100.000mg"	"06010203"	"Acarbose"
"11541000033110"	"Acarbose 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"50.000mg"	"06010203"	"Acarbose"
"645241000033113"	"Glucobay 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"100.000mg"	NA	"Acarbose"
"645341000033115"	"Glucobay 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acarbose"	"50.000mg"	NA	"Acarbose"
"1659941000033116"	"NovoNorm 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"500.000microgram"	NA	"Repaglinide"
"1660041000033118"	"NovoNorm 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"1.000mg"	NA	"Repaglinide"
"1660141000033119"	"NovoNorm 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"2.000mg"	NA	"Repaglinide"
"1672741000033112"	"Repaglinide 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"1.000mg"	"06010203"	"Repaglinide"
"1672841000033119"	"Repaglinide 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"2.000mg"	"06010203"	"Repaglinide"
"1672941000033110"	"Repaglinide 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Repaglinide"	"500.000microgram"	"06010203"	"Repaglinide"
"2147541000033115"	"Rosiglitazone 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"4.000mg"	"06010203"	"Rosiglitazone"
"2147641000033119"	"Rosiglitazone 8mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"8.000mg"	"06010203"	"Rosiglitazone"
"2147741000033111"	"Avandia 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"4.000mg"	NA	"Rosiglitazone"
"2147841000033118"	"Avandia 8mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"8.000mg"	NA	"Rosiglitazone"
"2190741000033115"	"Pioglitazone 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"15.000mg"	"06010203"	"Pioglitazone"
"2190841000033113"	"Pioglitazone 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"30.000mg"	"06010203"	"Pioglitazone"
"2190941000033117"	"Actos 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"15.000mg"	NA	"Pioglitazone"
"2191041000033110"	"Actos 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"30.000mg"	NA	"Pioglitazone"
"2288241000033112"	"Nateglinide 60mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nateglinide"	"60.000mg"	"06010203"	"Nateglinide"
"2288341000033119"	"Nateglinide 120mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nateglinide"	"120.000mg"	"06010203"	"Nateglinide"
"2288441000033113"	"Nateglinide 180mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nateglinide"	"180.000mg"	"06010203"	"Nateglinide"
"2288541000033114"	"Starlix 60mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nateglinide"	"60.000mg"	NA	"Nateglinide"
"2288641000033110"	"Starlix 120mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nateglinide"	"120.000mg"	NA	"Nateglinide"
"2288741000033118"	"Starlix 180mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nateglinide"	"180.000mg"	NA	"Nateglinide"
"2995141000033110"	"Avandamet 1mg/500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"500.000mg + 1.000mg"	NA	"Rosiglitazone"
"2995241000033115"	"Avandamet 2mg/500mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Rosiglitazone"	"500.000mg + 2.000mg"	NA	"Rosiglitazone"
"2995941000033112"	"Pioglitazone 45mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pioglitazone"	"45.000mg"	"06010203"	"Pioglitazone"
