"chapter"	"code"	"title"	"primary_only"	"type"
"05"	"F00.-*"	"Dementia in Alzheimer disease"	TRUE	"group_heading"
"05"	"F00.0*"	"Dementia in Alzheimer disease with early onset"	TRUE	"psych_primary"
"05"	"F00.1*"	"Dementia in Alzheimer disease with late onset"	TRUE	"psych_primary"
"05"	"F00.2*"	"Dementia in Alzheimer disease, atypical or mixed type"	TRUE	"psych_primary"
"05"	"F00.9*"	"Dementia in Alzheimer disease, unspecified"	TRUE	"psych_primary"
"05"	"F01.-"	"Vascular dementia"	TRUE	"group_heading"
"05"	"F01.0"	"Vascular dementia of acute onset"	TRUE	"psych_primary"
"05"	"F01.1"	"Multi-infarct dementia"	TRUE	"psych_primary"
"05"	"F01.2"	"Subcortical vascular dementia"	TRUE	"psych_primary"
"05"	"F01.3"	"Mixed cortical and subcortical vascular dementia"	TRUE	"psych_primary"
"05"	"F01.8"	"Other vascular dementia"	TRUE	"psych_primary"
"05"	"F01.9"	"Vascular dementia, unspecified"	TRUE	"psych_primary"
"05"	"F02.-*"	"Dementia in other diseases classified elsewhere"	TRUE	"group_heading"
"05"	"F02.0*"	"Dementia in Pick disease"	TRUE	"psych_primary"
"05"	"F02.1*"	"Dementia in Creutzfeldt-Jakob disease"	TRUE	"psych_primary"
"05"	"F02.2*"	"Dementia in Huntington disease"	TRUE	"psych_primary"
"05"	"F02.3*"	"Dementia in Parkinson disease"	TRUE	"psych_primary"
"05"	"F02.4*"	"Dementia in human immunodeficiency virus [HIV] disease"	TRUE	"psych_primary"
"05"	"F02.8*"	"Dementia in other specified diseases classified elsewhere"	TRUE	"psych_primary"
"05"	"F03"	"Unspecified dementia"	TRUE	"psych_primary"
"05"	"F04"	"Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"	TRUE	"psych_primary"
"05"	"F05.-"	"Delirium, not induced by alcohol and other psychoactive substances"	TRUE	"group_heading"
"05"	"F05.0"	"Delirium not superimposed on dementia, so described"	TRUE	"psych_primary"
"05"	"F05.1"	"Delirium superimposed on dementia"	TRUE	"psych_primary"
"05"	"F05.8"	"Other delirium"	TRUE	"psych_primary"
"05"	"F05.9"	"Delirium, unspecified"	TRUE	"psych_primary"
"05"	"F06.-"	"Other mental disorders due to brain damage and dysfunction and to physical disease"	TRUE	"group_heading"
"05"	"F06.0"	"Organic hallucinosis"	TRUE	"psych_primary"
"05"	"F06.1"	"Organic catatonic disorder"	TRUE	"psych_primary"
"05"	"F06.2"	"Organic delusional [schizophrenia-like] disorder"	TRUE	"psych_primary"
"05"	"F06.3"	"Organic mood [affective] disorders"	TRUE	"psych_primary"
"05"	"F06.4"	"Organic anxiety disorder"	TRUE	"psych_primary"
"05"	"F06.5"	"Organic dissociative disorder"	TRUE	"psych_primary"
"05"	"F06.6"	"Organic emotionally labile [asthenic] disorder"	TRUE	"psych_primary"
"05"	"F06.7"	"Mild cognitive disorder"	TRUE	"psych_primary"
"05"	"F06.8"	"Other specified mental disorders due to brain damage and dysfunction and to physical disease"	TRUE	"psych_primary"
"05"	"F06.9"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	TRUE	"psych_primary"
"05"	"F07.-"	"Personality and behavioural disorders due to brain disease, damage and dysfunction"	TRUE	"group_heading"
"05"	"F07.0"	"Organic personality disorder"	TRUE	"psych_primary"
"05"	"F07.1"	"Postencephalitic syndrome"	TRUE	"psych_primary"
"05"	"F07.2"	"Postconcussional syndrome"	TRUE	"psych_primary"
"05"	"F07.8"	"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction"	TRUE	"psych_primary"
"05"	"F07.9"	"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction"	TRUE	"psych_primary"
"05"	"F09"	"Unspecified organic or symptomatic mental disorder"	TRUE	"psych_primary"
"05"	"F10.-"	"Mental and behavioural disorders due to use of alcohol"	TRUE	"group_heading"
"05"	"F10.0"	"Mental and behavioural disorders due to use of alcohol: Acute intoxication"	TRUE	"psych_primary"
"05"	"F10.1"	"Mental and behavioural disorders due to use of alcohol: Harmful use"	TRUE	"psych_primary"
"05"	"F10.2"	"Mental and behavioural disorders due to use of alcohol: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F10.3"	"Mental and behavioural disorders due to use of alcohol: Withdrawal state"	TRUE	"psych_primary"
"05"	"F10.4"	"Mental and behavioural disorders due to use of alcohol: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F10.5"	"Mental and behavioural disorders due to use of alcohol: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F10.6"	"Mental and behavioural disorders due to use of alcohol: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F10.7"	"Mental and behavioural disorders due to use of alcohol: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F10.8"	"Mental and behavioural disorders due to use of alcohol: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F10.9"	"Mental and behavioural disorders due to use of alcohol: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F11.-"	"Mental and behavioural disorders due to use of opioids"	TRUE	"group_heading"
"05"	"F11.0"	"Mental and behavioural disorders due to use of opioids: Acute intoxication"	TRUE	"psych_primary"
"05"	"F11.1"	"Mental and behavioural disorders due to use of opioids: Harmful use"	TRUE	"psych_primary"
"05"	"F11.2"	"Mental and behavioural disorders due to use of opioids: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F11.3"	"Mental and behavioural disorders due to use of opioids: Withdrawal state"	TRUE	"psych_primary"
"05"	"F11.4"	"Mental and behavioural disorders due to use of opioids: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F11.5"	"Mental and behavioural disorders due to use of opioids: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F11.6"	"Mental and behavioural disorders due to use of opioids: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F11.7"	"Mental and behavioural disorders due to use of opioids: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F11.8"	"Mental and behavioural disorders due to use of opioids: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F11.9"	"Mental and behavioural disorders due to use of opioids: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F12.-"	"Mental and behavioural disorders due to use of cannabinoids"	TRUE	"group_heading"
"05"	"F12.0"	"Mental and behavioural disorders due to use of cannabinoids: Acute intoxication"	TRUE	"psych_primary"
"05"	"F12.1"	"Mental and behavioural disorders due to use of cannabinoids: Harmful use"	TRUE	"psych_primary"
"05"	"F12.2"	"Mental and behavioural disorders due to use of cannabinoids: Dependence syndrome"	TRUE	"psych_primary"
"05"	"F12.3"	"Mental and behavioural disorders due to use of cannabinoids: Withdrawal state"	TRUE	"psych_primary"
"05"	"F12.4"	"Mental and behavioural disorders due to use of cannabinoids: Withdrawal state with delirium"	TRUE	"psych_primary"
"05"	"F12.5"	"Mental and behavioural disorders due to use of cannabinoids: Psychotic disorder"	TRUE	"psych_primary"
"05"	"F12.6"	"Mental and behavioural disorders due to use of cannabinoids: Amnesic syndrome"	TRUE	"psych_primary"
"05"	"F12.7"	"Mental and behavioural disorders due to use of cannabinoids: Residual and late-onset psychotic disorder"	TRUE	"psych_primary"
"05"	"F12.8"	"Mental and behavioural disorders due to use of cannabinoids: Other mental and behavioural disorders"	TRUE	"psych_primary"
"05"	"F12.9"	"Mental and behavioural disorders due to use of cannabinoids: Unspecified mental and behavioural disorder"	TRUE	"psych_primary"
"05"	"F13.-"	"Mental and behavioural disorders due to use of sedatives or hypnotics"	TRUE	"group_heading"
