"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"bnftext"	"Psychotropic"	"group"
"64458"	"Clomipramine 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Clomipramine"	"5mg/1ml"	"Tricyclic And Related Antidepressants"	"Clomipramine"	"Antidepressants"
"85144"	"Clopixol 10mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Zuclopenthixol"	"10mg"	"First-Generation Antipsychotic Drugs"	"Zuclopenthixol"	"Antipsychotics"
"87904"	"Paroxetine 20mg tablets (Crescent Pharma Ltd)"	"Oral tablet"	"Oral"	"Paroxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Paroxetine"	"Antidepressants"
"35493"	"Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Doxepin"	"50mg"	"Tricyclic And Related Antidepressants"	"Doxepin"	"Antidepressants"
"29972"	"PERICYAZINE"	NA	NA	"Pericyazine"	NA	"Unknown"	"Pericyazine"	"Antipsychotics"
"65944"	"Olanzapine 2.5mg tablets (Viatris UK Healthcare Ltd)"	"Oral tablet"	"Oral"	"Olanzapine"	"2.5mg"	"Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania"	"Olanzapine"	"Antipsychotics"
"62869"	"Lamotrigine 50mg tablets (Sigma Pharmaceuticals Plc)"	"Oral tablet"	"Oral"	"Lamotrigine"	"50mg"	"Products Used In Psychoses And Related Disorders/Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"79244"	"Carbamazepine 200mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"8136"	"HALOPERIDOL 5 MG LIQ"	NA	NA	"Haloperidol"	NA	"Unknown"	"Haloperidol"	"Antipsychotics"
"39279"	"Epilim Chronosphere MR 500mg granules sachets (Sanofi)"	"Modified-release granules"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"54686"	"Tryptophan 500mg capsules"	"Oral capsule"	"Oral"	"Tryptophan"	"500mg"	"Other Antidepressants"	"Tryptophan"	"Antidepressants"
"88116"	"Chlorpromazine 25mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"25mg"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"67820"	"Chlorpromazine 100mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Chlorpromazine"	"20mg/1ml"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"77890"	"Droperidol 2.5mg/1ml solution for injection ampoules (Panpharma UK Ltd)"	"Solution for injection"	"Intravenous"	"Droperidol"	"2.5mg/1ml"	"Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Droperidol"	"Antipsychotics"
"12932"	"Epimaz 100mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Oral tablet"	"Oral"	"Carbamazepine"	"100mg"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"55139"	"Amitriptyline 25mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"25mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"33624"	"Amitriptyline 50mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Amitriptyline"	"50mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"52824"	"Citalopram 10mg tablets (PLIVA Pharma Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"3358"	"PRIADEL 800 MG TAB"	"Tablet"	"Oral"	"Lithium"	NA	"Unknown"	"Lithium"	"Mood Stabilisers"
"3842"	"Doxepin 10mg capsules"	"Oral capsule"	"Oral"	"Doxepin"	"10mg"	"Tricyclic And Related Antidepressants"	"Doxepin"	"Antidepressants"
"5997"	"Convulex 150mg gastro-resistant capsules (G.L. Pharma UK Ltd)"	"Gastro-resistant capsule"	"Oral"	"Valproic"	"150mg"	"Prophylaxis Of Migraine/Control Of Epilepsy"	"Valproic"	"Mood Stabilisers"
"16149"	"Lamotrigine 50mg dispersible tablets sugar free"	"Dispersible tablet"	"Oral"	"Lamotrigine"	"50mg"	"Control Of Epilepsy"	"Lamotrigine"	"Mood Stabilisers"
"60962"	"Fluoxetine 20mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"24723"	"Asendis 150mg Tablet (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Amoxapine"	"150mg"	"Tricyclic And Related Antidepressants"	"Amoxapine"	"Antidepressants"
"67562"	"Fluoxetine 40mg capsules"	"Oral capsule"	"Oral"	"Fluoxetine"	"40mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"39145"	"Nortriptyline 10mg/5ml Liquid"	"Liquid"	"Oral"	"Nortriptyline"	"10mg/5ml"	"Tricyclic And Related Antidepressants/Neuropathic Pain"	"Nortriptyline"	"Antidepressants"
"30346"	"CHLORPROMAZINE HCl 100 MG TAB"	"Tablet"	"Oral"	"Chlorpromazine"	NA	"Unknown"	"Chlorpromazine"	"Antipsychotics"
"12100"	"Maprotiline 50mg tablets"	"Oral tablet"	"Oral"	"Maprotiline"	"50mg"	"Tricyclic And Related Antidepressants"	"Maprotiline"	"Antidepressants"
"78585"	"ViePax XL 225mg tablets (Dexcel-Pharma Ltd)"	"Modified-release tablet"	"Oral"	"Venlafaxine"	"225mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"75697"	"Citalopram 10mg tablets (Phoenix Healthcare Distribution Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"10mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"29838"	"STELAZINE CONCENTRATE 10mg/ml"	"Solution for injection"	"Intramuscular"	"Trifluoperazine"	NA	"Unknown"	"Trifluoperazine"	"Antipsychotics"
"27582"	"STELAZINE"	NA	NA	"Trifluoperazine"	NA	"Unknown"	"Trifluoperazine"	"Antipsychotics"
"34668"	"Chlorpromazine 25mg tablets (Teva UK Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"25mg"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"35258"	"Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Doxepin"	"25mg"	"Tricyclic And Related Antidepressants"	"Doxepin"	"Antidepressants"
"75692"	"Carbamazepine 100mg/5ml oral suspension (Special Order)"	"Oral suspension"	"Oral"	"Carbamazepine"	"20mg/1ml"	"Control Of Epilepsy"	"Carbamazepine"	"Mood Stabilisers"
"41663"	"Trifluoperazine 5mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Trifluoperazine"	"5mg"	"First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products"	"Trifluoperazine"	"Antipsychotics"
"41681"	"Imipramine 10mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Imipramine"	"10mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Imipramine"	"Antidepressants"
"74782"	"Risperdal 1mg tablets (Lexon (UK) Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"1mg"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"29339"	"Trazodone 50mg capsules (Viatris UK Healthcare Ltd)"	"Oral capsule"	"Oral"	"Trazodone"	"50mg"	"Tricyclic And Related Antidepressants"	"Trazodone"	"Antidepressants"
"43968"	"Foraven XL 75mg capsules (Forum Products Ltd)"	"Modified-release capsule"	"Oral"	"Venlafaxine"	"75mg"	"Other Antidepressants"	"Venlafaxine"	"Antidepressants"
"22162"	"DOTHIEPIN HCl 50 MG ELI"	NA	NA	"Dosulepin"	NA	"Unknown"	"Dosulepin"	"Antidepressants"
"2714"	"Trifluoperazine 10mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Trifluoperazine"	"10mg"	"Unknown"	"Trifluoperazine"	"Antipsychotics"
"84366"	"Risperidone 500microgram tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"34288"	"Fluoxetine 20mg capsules (Viatris UK Healthcare Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"82510"	"Zispin SolTab 30mg orodispersible tablets (Waymade Healthcare Plc)"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30mg"	"Other Antidepressants"	"Mirtazapine"	"Antidepressants"
"25396"	"LITHIUM CHLORIDE 400 MG SOL"	NA	NA	"Lithium"	NA	"Unknown"	"Lithium"	"Mood Stabilisers"
"89463"	"Risperidone 500microgram tablets (Consilient Health Ltd)"	"Oral tablet"	"Oral"	"Risperidone"	"500microgram"	"Second-Generation Antipsychotic Drugs"	"Risperidone"	"Antipsychotics"
"24494"	"Haldol 10mg/ml Liquid (Janssen-Cilag Ltd)"	"Liquid"	"Oral"	"Haloperidol"	"10mg/ml"	"Antipsychotic Products/-"	"Haloperidol"	"Antipsychotics"
"86970"	"Aripiprazole 10mg orodispersible tablets sugar free (Accord-UK Ltd)"	"Orodispersible tablet"	"Oral"	"Aripiprazole"	"10mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"65938"	"Quetiapine 25mg tablets (Sun Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Quetiapine"	"25mg"	"Second-Generation Antipsychotic Drugs"	"Quetiapine"	"Antipsychotics"
"83468"	"Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)"	"Oral capsule"	"Oral"	"Clomipramine"	"10mg"	"Unknown"	"Clomipramine"	"Antidepressants"
"62924"	"Lurasidone 18.5mg tablets"	"Oral tablet"	"Oral"	"Lurasidone"	"18.5mg"	"Second-Generation Antipsychotic Drugs"	"Lurasidone"	"Antipsychotics"
"19283"	"Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)"	"Solution for injection"	"Intramuscular"	"Flupentixol"	"20mg/1ml"	"Antipsychotic Depot Injections"	"Flupentixol"	"Antipsychotics"
"61835"	"Amitriptyline 10mg tablets (DE Pharmaceuticals)"	"Oral tablet"	"Oral"	"Amitriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine"	"Amitriptyline"	"Antidepressants"
"33493"	"Sparine 100mg Tablet (Wyeth Pharmaceuticals)"	"Tablet"	"Oral"	"Promazine"	"100mg"	"Antipsychotic Products"	"Promazine"	"Antipsychotics"
"73980"	"Abilify 5mg tablets (Lexon (UK) Ltd)"	"Oral tablet"	"Oral"	"Aripiprazole"	"5mg"	"Second-Generation Antipsychotic Drugs"	"Aripiprazole"	"Antipsychotics"
"75702"	"Citalopram 40mg tablets (Kent Pharma (UK) Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"40mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"79794"	"HealthAid 5-HTP HydroxyTryptoPhan 50mg tablets (HealthAid Ltd)"	"Modified-release tablet"	"Oral"	"Oxitriptan"	"50mg"	"Nutritional Supplements"	"Oxitriptan"	"Antidepressants"
"19002"	"Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd)"	"Suppository"	"Rectal"	"Chlorpromazine"	"100mg"	"Antipsychotic Products/-"	"Chlorpromazine"	"Antipsychotics"
"84537"	"Sertraline 50mg tablets (Waymade Healthcare Plc)"	"Oral tablet"	"Oral"	"Sertraline"	"50mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Sertraline"	"Antidepressants"
"73122"	"Epilim Chrono 300 tablets (Lexon (UK) Ltd)"	"Modified-release tablet"	"Oral"	"Valproate"	"300mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"56703"	"Lofepramine 70mg tablets (Sandoz Ltd)"	"Oral tablet"	"Oral"	"Lofepramine"	"70mg"	"Tricyclic And Related Antidepressants"	"Lofepramine"	"Antidepressants"
"5212"	"Fluphenazine 1mg tablets"	"Oral tablet"	"Oral"	"Fluphenazine"	"1mg"	"Antipsychotic Products"	"Fluphenazine"	"Antipsychotics"
"69991"	"Brintellix 20mg tablets (Lundbeck Ltd)"	"Oral tablet"	"Oral"	"Vortioxetine"	"20mg"	"Other Antidepressants"	"Vortioxetine"	"Antidepressants"
"89960"	"Chlorpromazine 100mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Chlorpromazine"	"100mg"	"First-Generation Antipsychotic Drugs"	"Chlorpromazine"	"Antipsychotics"
"19779"	"Amitriptyline 10mg/ml injection"	"Injection"	"Intramuscular"	"Amitriptyline"	"10mg/ml"	"Tricyclic And Related Antidepressants"	"Amitriptyline"	"Antidepressants"
"87815"	"Sodium valproate 200mg gastro-resistant tablets (DE Pharmaceuticals)"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"200mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"65237"	"Nortriptyline 10mg tablets (A A H Pharmaceuticals Ltd)"	"Oral tablet"	"Oral"	"Nortriptyline"	"10mg"	"Tricyclic And Related Antidepressants/Nocturnal Enuresis"	"Nortriptyline"	"Antidepressants"
"79381"	"Paroxetine 30mg Tablet (Sovereign Medical Ltd)"	"Oral tablet"	"Oral"	"Paroxetine"	"30mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Paroxetine"	"Antidepressants"
"46926"	"Citalopram 40mg tablets (Zentiva Pharma UK Ltd)"	"Oral tablet"	"Oral"	"Citalopram"	"40mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Citalopram"	"Antidepressants"
"71432"	"Tegretol Prolonged Release 200mg tablets (Waymade Healthcare Plc)"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200mg"	"Control Of Epilepsy/Substance Dependence - Alcohol Dependence/Treatment Of Diabetic Nephropathy And Neuropathy"	"Carbamazepine"	"Mood Stabilisers"
"26056"	"Cipralex 10mg/ml oral drops (Lundbeck Ltd)"	"Oral drops"	"Oral"	"Escitalopram"	"10mg/1ml"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Escitalopram"	"Antidepressants"
"42107"	"Fluoxetine 20mg capsules (Niche Generics Ltd)"	"Oral capsule"	"Oral"	"Fluoxetine"	"20mg"	"Selective Serotonin Re-Uptake Inhibitors (SSRI)"	"Fluoxetine"	"Antidepressants"
"6560"	"Sodium valproate 500mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"500mg"	"Control Of Epilepsy"	"Valproate"	"Mood Stabilisers"
"12128"	"Modecate concentrate 100mg/ml Injection (Sanofi-Synthelabo Ltd)"	"Injection"	"Intramuscular Deep Injection Gluteal Muscle"	"Fluphenazine"	"100mg/ml"	"Antipsychotic Depot Injections"	"Fluphenazine"	"Antipsychotics"
"83072"	"Amisulpride 200mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Oral tablet"	"Oral"	"Amisulpride"	"200mg"	"Second-Generation Antipsychotic Drugs"	"Amisulpride"	"Antipsychotics"
