"MedCodeId"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"Term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"Release"	"EmisCodeCategoryId"	"SH"	"Group"
"331522012"	6	"TK010"	"TK01000"	"suicide and self inflicted injury by amylobarbitone"	296039004	436430011	NA	32	1	"self harm"
"331523019"	4	"TK011"	"TK01100"	"suicide and self inflicted injury by barbitone"	296036006	436427016	NA	32	1	"self harm"
"331524013"	2	"TK012"	"TK01200"	"suicide and self inflicted injury by butabarbitone"	296036006	436427016	NA	32	1	"self harm"
"331525014"	4	"TK013"	"TK01300"	"suicide and self inflicted injury by pentabarbitone"	296036006	436427016	NA	32	1	"self harm"
"331526010"	20	"TK014"	"TK01400"	"suicide and self inflicted injury by phenobarbitone"	296036006	436427016	NA	32	1	"self harm"
"331528011"	20	"TK01z"	"TK01z00"	"suicide and self inflicted injury by barbiturates"	296036006	436427016	NA	32	1	"self harm"
"331542015"	8	"TK1y"	"TK1y.00"	"suicide and selfinflicted poisoning by other utility gas"	219125007	331539014	NA	32	1	"self harm"
"331546017"	200	"TK21"	"TK21.00"	"suicide and selfinflicted poisoning by other carbon monoxide"	271982007	407014015	NA	32	1	"self harm"
"331555019"	400	"TK4"	"TK4..00"	"suicide and selfinflicted injury by drowning"	287183002	426702019	NA	32	1	"self harm"
"331561016"	20	"TK54"	"TK54.00"	"suicide and selfinflicted injury by other firearm"	287184008	426703012	NA	32	1	"self harm"
"331566014"	30000	"TK601"	"TK60100"	"self inflicted lacerations to wrist"	219152002	331566014	NA	32	1	"self harm"
"331574010"	400	"TKx"	"TKx..00"	"suicide and selfinflicted injury by other means"	248062006	370335016	NA	32	1	"self harm"
"331586013"	70	"TKxy"	"TKxy.00"	"suicide and selfinflicted injury by other specified means"	248062006	370335016	NA	32	1	"self harm"
"331587016"	80	"TKxz"	"TKxz.00"	"suicide and selfinflicted injury by other means nos"	248062006	370335016	NA	32	1	"self harm"
"331589018"	4000	"TKz"	"TKz..00"	"suicide and selfinflicted injury nos"	248062006	370336015	NA	32	1	"self harm"
"334616010"	6000	"U200-2"	"U200.12"	"ibuprofen overdose"	295250003	435584017	NA	32	1	"unknown intent"
"334642010"	400	"U202-5"	"U202.15"	"nitrazepam overdose"	296070007	436461019	NA	32	1	"unknown intent"
