"medcode"	"readcode"	"desc"	"SH"	"Group"
"171"	"SL...15"	"overdose of drug"	1	"unknown intent"
"697"	"U20..11"	"[x]deliberate drug overdose / other poisoning"	1	"self harm"
"2557"	"TK05.00"	"suicide + selfinflicted poisoning by drug or medicine nos"	1	"self harm"
"3246"	"TK...15"	"attempted suicide"	1	"attempted suicide"
"3406"	"TK...17"	"para-suicide"	1	"attempted suicide"
"3423"	"TK...12"	"injury - self-inflicted"	1	"self harm"
"3985"	"U2...13"	"[x]suicide"	1	"attempted suicide"
"5140"	"TN61.00"	"injury ?accidental, by stabbing instrument"	1	"unknown intent"
"5242"	"U2E..00"	"[x]self mutilation"	1	"self harm"
"5616"	"TK3y.00"	"suicide + selfinflicted inj oth mean hang/strangle/suffocate"	1	"self harm"
"6595"	"TK...11"	"cause of overdose - deliberate"	1	"self harm"
"7606"	"TN82.00"	"injury ?accidental, by scald"	1	"unknown intent"
"8229"	"U2...15"	"[x]para-suicide"	1	"attempted suicide"
"9604"	"TK60111"	"slashed wrists self inflicted"	1	"self harm"
"10057"	"ZX1..13"	"deliberate self-harm"	1	"self harm"
"10436"	"TN81.00"	"injury ?accidental, by burns or fire"	1	"unknown intent"
"10463"	"U209.00"	"[x]intent self poison/exposure to alcohol"	1	"self harm"
"10464"	"ZX...00"	"self-harm"	1	"self harm"
"10644"	"TK...13"	"poisoning - self-inflicted"	1	"self harm"
"10717"	"U2...11"	"[x]self inflicted injury"	1	"self harm"
"10843"	"TN60.00"	"injury ?accidental, by cutting instrument"	1	"unknown intent"
"11122"	"TK60100"	"self inflicted lacerations to wrist"	1	"self harm"
"11708"	"SL...14"	"overdose of biological substance"	1	"unknown intent"
"12333"	"ZX13.00"	"cutting self"	1	"self harm"
"13557"	"TK30.00"	"suicide and selfinflicted injury by hanging"	1	"self harm"
"14853"	"TK00.00"	"suicide + selfinflicted poisoning by analgesic/antipyretic"	1	"self harm"
"15177"	"TK60.00"	"suicide and selfinflicted injury by cutting"	1	"self harm"
"16485"	"TK01.00"	"suicide + selfinflicted poisoning by barbiturates"	1	"self harm"
"16907"	"U30..11"	"[x]deliberate drug poisoning"	1	"self harm"
"17046"	"U2...00"	"[x]intentional self-harm"	1	"self harm"
"17097"	"TN...00"	"injury undetermined whether accidentally/purposely inflicted"	1	"unknown intent"
"17378"	"U2...14"	"[x]attempted suicide"	1	"attempted suicide"
"18182"	"U4...00"	"[x]event of undetermined intent"	1	"unknown intent"
"18379"	"U200.11"	"[x]overdose - paracetamol"	1	"unknown intent"
"18983"	"ZX1I.00"	"self-scalding"	1	"self harm"
"20625"	"U2...12"	"[x]injury - self-inflicted"	1	"self harm"
"20650"	"U200z00"	"[x]intent self poison nonopioid analgesic unspecif place"	1	"self harm"
"20668"	"TN7..00"	"injury ?accidental, fall from high place"	1	"unknown intent"
"21027"	"TK...14"	"suicide and self harm"	1	"self harm"
"21029"	"TK...00"	"suicide and selfinflicted injury"	1	"self harm"
"21211"	"U200.00"	"[x]intent self poison/exposure to nonopioid analgesic"	1	"self harm"
"22199"	"TK04.00"	"suicide + selfinflicted poisoning by other drugs/medicines"	1	"self harm"
"22281"	"ZX11.00"	"biting self"	1	"self harm"
"23080"	"TK3..00"	"suicide + selfinflicted injury by hang/strangulate/suffocate"	1	"self harm"
"23753"	"TK7..00"	"suicide and selfinflicted injury by jumping from high place"	1	"self harm"
"23823"	"U40..00"	"[x]poisoning/expos to noxious substance,undetermined intent"	1	"unknown intent"
"24086"	"U20A.11"	"[x]self poisoning from glue solvent"	1	"self harm"
"24461"	"U27..00"	"[x]intentional self harm by smoke, fire and flames"	1	"self harm"
"24463"	"U20B.11"	"[x]self carbon monoxide poisoning"	1	"self harm"
"25274"	"TNz..00"	"injury undetermined accidental or purposely inflicted nos"	1	"unknown intent"
"25854"	"ZX19.00"	"hitting self"	1	"self harm"
"25859"	"ZX1G.00"	"scratches self"	1	"self harm"
"26465"	"U29..00"	"[x]intentional self harm by sharp object"	1	"self harm"
"27470"	"TK61.00"	"suicide and selfinflicted injury by stabbing"	1	"self harm"
"27522"	"TK03.00"	"suicide + selfinflicted poisoning tranquilliser/psychotropic"	1	"self harm"
"27713"	"U20..00"	"[x]intentional self poisoning/exposure to noxious substances"	1	"self harm"
"27812"	"U40y.00"	"[x]poisoning/exposure, ? intent, to unspecif chemical"	1	"unknown intent"
"28080"	"TK07.00"	"suicide + selfinflicted poisoning by corrosive/caustic subst"	1	"self harm"
"28115"	"TK51.00"	"suicide and selfinflicted injury by shotgun"	1	"self harm"
"28399"	"TN51.00"	"injury ?accidental, by shotgun"	1	"unknown intent"
"28531"	"U45..00"	"[x]other+unspecified firearm discharge undetermined intent"	1	"unknown intent"
"28680"	"ZX1LD00"	"[x]self mutilation"	1	"self harm"
"28683"	"ZX1..14"	"self-abusive behaviour"	1	"self harm"
"28694"	"ZX18.00"	"hanging self"	1	"self harm"
"28710"	"U205.11"	"[x]overdose - heroin"	1	"unknown intent"
"29134"	"TN5..00"	"injury ?accidental, by firearms and explosives"	1	"unknown intent"
"29861"	"U200.13"	"[x]overdose - aspirin"	1	"unknown intent"
"30036"	"U409.00"	"[x]poisoning/exposure, ? intent, to alcohol"	1	"unknown intent"
"30074"	"U290.00"	"[x]intentional self harm by sharp object occurrence at home"	1	"self harm"
"30286"	"TN3..00"	"injury ?accidental, hanging, strangulation and suffocation"	1	"unknown intent"
"30292"	"TK0..00"	"suicide + selfinflicted poisoning by solid/liquid substances"	1	"self harm"
"30360"	"U21..00"	"[x]intent self harm by hanging strangulation / suffocation"	1	"self harm"
"30370"	"ZX1H100"	"self-strangulation"	1	"self harm"
"31836"	"TN1..00"	"injury ?accidental, poisoning by gases in domestic use"	1	"unknown intent"
"31854"	"TK4..00"	"suicide and selfinflicted injury by drowning"	1	"self harm"
"32267"	"ZX1L.00"	"self-mutilation"	1	"self harm"
"33596"	"TK02.00"	"suicide + selfinflicted poisoning by oth sedatives/hypnotics"	1	"self harm"
"34156"	"U2z..00"	"[x]intentional self harm by unspecified means"	1	"self harm"
"34703"	"U204.12"	"[x]overdose - amitriptyline"	1	"unknown intent"
"34827"	"TN83.00"	"injury ?accidental, by extremes of cold"	1	"unknown intent"
"35123"	"ZX1L100"	"self-mutilation of hands"	1	"self harm"
"35247"	"ZX1..00"	"self-injurious behaviour"	1	"self harm"
"35798"	"U4D0.00"	"[x]crashng of motor vehicle undetermined intent occ at home"	1	"unknown intent"
"35868"	"U2D4.00"	"[x]intent self harm by crash motor vehicl occ street/highway"	1	"self harm"
"35879"	"U208.00"	"[x]int self poison/exposure to other/unspec drug/medicament"	1	"self harm"
"36084"	"TKx2.00"	"suicide and selfinflicted injury by scald"	1	"self harm"
"36197"	"U4B..00"	"[x]falling jumping/pushed from high place undeterm intent"	1	"unknown intent"
"36255"	"TK6..00"	"suicide and selfinflicted injury by cutting and stabbing"	1	"self harm"
"36398"	"U204.00"	"[x]intent self poison/exposure to psychotropic drug"	1	"self harm"
"36863"	"ZX13.11"	"cuts self"	1	"self harm"
"37874"	"ZX12.00"	"burning self"	1	"self harm"
"38008"	"U27z.00"	"[x]intent self harm by smoke fire/flames occ unspecif place"	1	"self harm"
"38079"	"TN54.00"	"injury ?accidental, by other firearm"	1	"unknown intent"
"38749"	"U20B200"	"[x]int self poison other gas/vapour school/pub admin area"	1	"self harm"
"38760"	"U2y..00"	"[x]intentional self harm by other specified means"	1	"self harm"
"40284"	"U41..00"	"[x]hanging strangulation + suffocation undetermined intent"	1	"unknown intent"
"40888"	"TN50.00"	"injury ?accidental, by handgun"	1	"unknown intent"
"41241"	"TKz..00"	"suicide and selfinflicted injury nos"	1	"self harm"
"41306"	"TN86.00"	"injury ?accidental, by crashing of aircraft"	1	"unknown intent"
"41400"	"U22..00"	"[x]intentional self harm by drowning and submersion"	1	"self harm"
"41638"	"U209000"	"[x]int self poison/exposure to alcohol at home"	1	"self harm"
"42086"	"U20yz00"	"[x]intent self poison unspecif chemical unspecif place"	1	"self harm"
"42097"	"U2C..00"	"[x]intent self harm by jumping / lying before moving object"	1	"self harm"
"42103"	"U2z0.00"	"[x]intentional self harm by unspecif means occurrn at home"	1	"self harm"
"42418"	"U20A.00"	"[x]intentional self poison organ solvent,halogen hydrocarb"	1	"self harm"
"42464"	"TKy..00"	"late effects of selfinflicted injury"	1	"self harm"
"42471"	"U21z.00"	"[x]intent self harm by hangng strangul/suffoct unspecif plce"	1	"self harm"
"42937"	"TK71.00"	"suicide+selfinflicted injury-jump from oth manmade structure"	1	"self harm"
"43355"	"TN85.00"	"injury ?accidental, by crashing of motor vehicle"	1	"unknown intent"
"43382"	"U40C.00"	"[x]poisoning/exposure, ? intent, to pesticide"	1	"unknown intent"
"43891"	"TN4..00"	"injury ?accidental, drowning"	1	"unknown intent"
"44168"	"U4A..00"	"[x]contact with blunt object, undetermined intent"	1	"unknown intent"
"44497"	"U4y0.00"	"[x]other specified event undetermind intent occurrn at home"	1	"unknown intent"
"44508"	"U204000"	"[x]int self poison/exposure to psychotropic drug at home"	1	"self harm"
"44530"	"U202000"	"[x]int self poison/exposure to sedative hypnotic at home"	1	"self harm"
"44827"	"U47..00"	"[x]exposure to smoke, fire and flames, undetermined intent"	1	"unknown intent"
"44886"	"U200.12"	"[x]overdose - ibuprofen"	1	"unknown intent"
