"medcodeid"	"TermRead"	"TermSNOMED"	"TermEMIS"	"SNOMED"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"Observations"
"1452014"	"Delusion of persecution"	"Delusion of persecution (finding)"	NA	"216004"	"1BH0"	"1BH0.00"	"other psychosis"	3852
"4569010"	"Delusion"	"Delusions (finding)"	NA	"2073000"	"1BH-1"	"1BH..11"	"other psychosis"	3408
"9225016"	"Schizophrenia in remission"	"Schizophrenia in remission"	NA	"4926007"	"E1005"	"E100500"	"schizophrenia"	16471
"10122017"	"Brief reactive psychosis"	"Brief reactive psychosis"	NA	"5464005"	"E13y1"	"E13y100"	"other psychosis"	1426
"28758018"	"Subchronic schizophrenia"	"Subchronic schizophrenia"	NA	"16990005"	"E1001"	"E100100"	"schizophrenia"	51
"43595011"	"Residual schizophrenia"	"Residual schizophrenia"	NA	"26025008"	"E106"	"E106.00"	"schizophrenia"	2926
"44335019"	"Paraphrenia"	"Paraphrenia"	NA	"26472000"	"E122"	"E122.00"	"other psychosis"	7852
"52897013"	"Chronic paranoid schizophrenia"	"Chronic paranoid schizophrenia"	NA	"31658008"	"E1032"	"E103200"	"schizophrenia"	13136
"71539017"	"Subchronic catatonic schizophrenia"	"Subchronic catatonic schizophrenia"	NA	"42868002"	"E1021"	"E102100"	"schizophrenia"	38
"105029017"	"Paranoid schizophrenia in remission"	"Paranoid schizophrenia in remission"	NA	"63181006"	"E1035"	"E103500"	"schizophrenia"	6434
"107878010"	"Paranoid schizophrenia"	"Paranoid schizophrenia"	NA	"64905009"	"E103"	"E103.00"	"schizophrenia"	669437
"114616017"	"Chronic catatonic schizophrenia"	"Chronic catatonic schizophrenia"	NA	"68995007"	"E1022"	"E102200"	"schizophrenia"	34
"132503015"	"Subchronic paranoid schizophrenia"	"Subchronic paranoid schizophrenia"	NA	"79866005"	"E1031"	"E103100"	"schizophrenia"	320
"178723016"	"Catatonic schizophrenia in remission"	"Catatonic schizophrenia in remission"	NA	"111483008"	"E1025"	"E102500"	"schizophrenia"	150
"251628010"	"H/O: schizophrenia"	"H/O: schizophrenia"	NA	"161468000"	"1464"	"1464.00"	"schizophrenia"	70092
"253124017"	"Morbid jealousy"	"Morbid jealousy (disorder)"	NA	"162313000"	"1BC"	"1BC..00"	"other psychosis"	5447
"294724012"	"Non-organic psychoses"	"Non-organic psychoses"	NA	"191525009"	"E1"	"E1...00"	"other psychosis"	38968
"294725013"	"Schizophrenic disorders"	"Schizophrenic disorders"	NA	"191526005"	"E10"	"E10..00"	"schizophrenia"	551947
"294726014"	"Schizophrenia simplex"	"Schizophrenia simplex"	NA	"191527001"	"E100-1"	"E100.11"	"schizophrenia"	370
"294727017"	"Simple schizophrenia"	"Simple schizophrenia"	NA	"191527001"	"E100"	"E100.00"	"schizophrenia"	44383
"294728010"	"Unspecified schizophrenia"	"Unspecified schizophrenia"	NA	"58214004"	"E1000"	"E100000"	"schizophrenia"	29831
"294730012"	"Acute exacerbation of subchronic schizophrenia"	"Acute exacerbation of subchronic schizophrenia"	NA	"111482003"	"E1003"	"E100300"	"schizophrenia"	122
"294731011"	"Acute exacerbation of chronic schizophrenia"	"Acute exacerbation of chronic schizophrenia"	NA	"191531007"	"E1004"	"E100400"	"schizophrenia"	1799
"294734015"	"Simple schizophrenia NOS"	"Simple schizophrenia NOS"	NA	"191527001"	"E100z"	"E100z00"	"schizophrenia"	644
"294735019"	"Unspecified hebephrenic schizophrenia"	"Unspecified hebephrenic schizophrenia"	NA	"35252006"	"E1010"	"E101000"	"schizophrenia"	100
"294736018"	"Subchronic hebephrenic schizophrenia"	"Subchronic hebephrenic schizophrenia"	NA	"27387000"	"E1011"	"E101100"	"schizophrenia"	2
"294737010"	"Chronic hebephrenic schizophrenia"	"Chronic hebephrenic schizophrenia"	NA	"12939007"	"E1012"	"E101200"	"schizophrenia"	65
"294738017"	"Acute exacerbation of subchronic hebephrenic schizophrenia"	"Acute exacerbation of subchronic hebephrenic schizophrenia"	NA	"14291003"	"E1013"	"E101300"	"schizophrenia"	6
"294739013"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"Acute exacerbation of chronic hebephrenic schizophrenia"	NA	"191539009"	"E1014"	"E101400"	"schizophrenia"	16
