"medcode"	"Read.code"	"Term"	"Group"
"6325"	"1464"	"H/O: schizophrenia"	"schizophrenia"
"11548"	"146D"	"H/O: manic depressive disorder"	"bipolar"
"12777"	"146H"	"H/O: psychosis"	"other psychosis"
"22713"	"1S42"	"Manic mood"	"bipolar"
"15958"	"E1"	"Non-organic psychoses"	"other psychosis"
"854"	"E10"	"Schizophrenic disorders"	"schizophrenia"
"32222"	"E100"	"Simple schizophrenia"	"schizophrenia"
"15733"	"E1000"	"Unspecified schizophrenia"	"schizophrenia"
"23616"	"E1001"	"Subchronic schizophrenia"	"schizophrenia"
"73295"	"E100-1"	"Schizophrenia simplex"	"schizophrenia"
"3984"	"E1002"	"Chronic schizophrenic"	"schizophrenia"
"57666"	"E1003"	"Acute exacerbation of subchronic schizophrenia"	"schizophrenia"
"44498"	"E1004"	"Acute exacerbation of chronic schizophrenia"	"schizophrenia"
"58687"	"E1005"	"Schizophrenia in remission"	"schizophrenia"
"53625"	"E100z"	"Simple schizophrenia NOS"	"schizophrenia"
"30619"	"E101"	"Hebephrenic schizophrenia"	"schizophrenia"
"66506"	"E1010"	"Unspecified hebephrenic schizophrenia"	"schizophrenia"
"113781"	"E1012"	"Chronic hebephrenic schizophrenia"	"schizophrenia"
"97919"	"E1014"	"Acute exacerbation of chronic hebephrenic schizophrenia"	"schizophrenia"
"67768"	"E1015"	"Hebephrenic schizophrenia in remission"	"schizophrenia"
"48054"	"E101z"	"Hebephrenic schizophrenia NOS"	"schizophrenia"
"25546"	"E102"	"Catatonic schizophrenia"	"schizophrenia"
"58716"	"E1020"	"Unspecified catatonic schizophrenia"	"schizophrenia"
"99199"	"E1021"	"Subchronic catatonic schizophrenia"	"schizophrenia"
"113529"	"E1022"	"Chronic catatonic schizophrenia"	"schizophrenia"
"107222"	"E1024"	"Acute exacerbation of chronic catatonic schizophrenia"	"schizophrenia"
"102427"	"E1025"	"Catatonic schizophrenia in remission"	"schizophrenia"
"63867"	"E102z"	"Catatonic schizophrenia NOS"	"schizophrenia"
"1494"	"E103"	"Paranoid schizophrenia"	"schizophrenia"
"33383"	"E1030"	"Unspecified paranoid schizophrenia"	"schizophrenia"
"104760"	"E1031"	"Subchronic paranoid schizophrenia"	"schizophrenia"
"31362"	"E1032"	"Chronic paranoid schizophrenia"	"schizophrenia"
"51322"	"E1033"	"Acute exacerbation of subchronic paranoid schizophrenia"	"schizophrenia"
"53032"	"E1034"	"Acute exacerbation of chronic paranoid schizophrenia"	"schizophrenia"
"36172"	"E1035"	"Paranoid schizophrenia in remission"	"schizophrenia"
"9281"	"E103z"	"Paranoid schizophrenia NOS"	"schizophrenia"
"576"	"E104"	"Acute schizophrenic episode"	"schizophrenia"
"93167"	"E104-1"	"Oneirophrenia"	"other psychosis"
"66410"	"E105"	"Latent schizophrenia"	"other psychosis"
"102311"	"E1050"	"Unspecified latent schizophrenia"	"other psychosis"
"94299"	"E1052"	"Chronic latent schizophrenia"	"other psychosis"
"114206"	"E1054"	"Acute exacerbation of chronic latent schizophrenia"	"other psychosis"
"96883"	"E1055"	"Latent schizophrenia in remission"	"other psychosis"
"102446"	"E105z"	"Latent schizophrenia NOS"	"other psychosis"
"38063"	"E106"	"Residual schizophrenia"	"schizophrenia"
"2117"	"E107"	"Schizo-affective schizophrenia"	"other psychosis"
"58862"	"E1070"	"Unspecified schizo-affective schizophrenia"	"other psychosis"
"61098"	"E1071"	"Subchronic schizo-affective schizophrenia"	"other psychosis"
"99000"	"E107-1"	"Cyclic schizophrenia"	"other psychosis"
"43800"	"E1072"	"Chronic schizo-affective schizophrenia"	"other psychosis"
"58866"	"E1073"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"other psychosis"
"63478"	"E1074"	"Acute exacerbation of chronic schizo-affective schizophrenia"	"other psychosis"
"56438"	"E1075"	"Schizo-affective schizophrenia in remission"	"other psychosis"
"10575"	"E107z"	"Schizo-affective schizophrenia NOS"	"other psychosis"
"39062"	"E10y"	"Other schizophrenia"	"schizophrenia"
"33338"	"E10y0"	"Atypical schizophrenia"	"schizophrenia"
"99070"	"E10y1"	"Coenesthopathic schizophrenia"	"schizophrenia"
"92994"	"E10y-1"	"Cenesthopathic schizophrenia"	"schizophrenia"
"49761"	"E10yz"	"Other schizophrenia NOS"	"schizophrenia"
"8407"	"E10z"	"Schizophrenia NOS"	"schizophrenia"
"37070"	"E110"	"\\"Manic disorder, single episode\\""	"bipolar"
"20110"	"E1100"	"\\"Single manic episode, unspecified\\""	"bipolar"
"14728"	"E1101"	"\\"Single manic episode, mild\\""	"bipolar"
"18909"	"E110-1"	"Hypomanic psychoses"	"bipolar"
"24640"	"E1102"	"\\"Single manic episode, moderate\\""	"bipolar"
"43093"	"E1103"	"\\"Single manic episode, severe without mention of psychosis\\""	"bipolar"
"50218"	"E1104"	"\\"Single manic episode, severe, with psychosis\\""	"bipolar"
"109485"	"E1105"	"Single manic episode in partial or unspecified remission"	"bipolar"
"70000"	"E1106"	"Single manic episode in full remission"	"bipolar"
"36611"	"E110z"	"\\"Manic disorder, single episode NOS\\""	"bipolar"
"26227"	"E111"	"Recurrent manic episodes"	"bipolar"
"8567"	"E11-1"	"Bipolar psychoses"	"bipolar"
"19967"	"E1110"	"\\"Recurrent manic episodes, unspecified\\""	"bipolar"
"46425"	"E1111"	"\\"Recurrent manic episodes, mild\\""	"bipolar"
