"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"SGLT2i"
"69540"	1134	"Saxagliptin 5mg / Dapagliflozin 10mg tablets"	"Dapagliflozin"	"5mg + 10mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Dapagliflozin"
"80087"	529	"Empagliflozin 25mg / Linagliptin 5mg tablets"	"Empagliflozin"	"25mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Empagliflozin"
"80784"	0	"Invokana 100mg tablets (Pharmaram Ltd)"	"Canagliflozin"	"100mg"	"Oral tablet"	"Oral"	"SGLT2 Inhibitors (Gliflozins)"	"Canagliflozin"
"63031"	2032	"Dapagliflozin 5mg / Metformin 850mg tablets"	"Dapagliflozin"	"850mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Metformin"	"Dapagliflozin"
"60073"	16	"Canagliflozin 100mg tablets"	"Canagliflozin"	NA	"Tablet"	"Oral"	"Unknown"	"Canagliflozin"
"80319"	249	"Empagliflozin 10mg / Linagliptin 5mg tablets"	"Empagliflozin"	"10mg + 5mg"	"Oral tablet"	"Oral"	"Gliflozins Plus Gliptins"	"Empagliflozin"
"60386"	110177	"Canagliflozin 300mg tablets"	"Canagliflozin"	"300mg"	"Oral tablet"	"Oral"	"SGLT2 Inhibitors (Gliflozins)"	"Canagliflozin"
"62760"	2847	"Jardiance 10mg tablets (Boehringer Ingelheim Ltd)"	"Empagliflozin"	"10mg"	"Oral tablet"	"Oral"	"SGLT2 Inhibitors (Gliflozins)"	"Empagliflozin"
"60430"	3071	"Invokana 100mg tablets (A. Menarini Farmaceutica Internazionale SRL)"	"Canagliflozin"	"100mg"	"Oral tablet"	"Oral"	"SGLT2 Inhibitors (Gliflozins)"	"Canagliflozin"
"78946"	374	"Ertugliflozin 15mg tablets"	"Ertugliflozin"	"15mg"	"Oral tablet"	"Oral"	"SGLT2 Inhibitors (Gliflozins)"	"Ertugliflozin"
"84232"	0	"Forxiga 10mg tablets (Pharmaram Ltd)"	"Dapagliflozin"	"10mg"	"Oral tablet"	"Oral"	"SGLT2 Inhibitors (Gliflozins)"	"Dapagliflozin"
