"ProdCodeId"	"dmdid"	"Term.from.EMIS"	"ProductName"	"Formulation"	"RouteOfAdministration"	"DrugSubstanceName"	"SubstanceStrength"	"BNFChapter"	"DrugIssues"	"Statin"
"91941000033117"	39695411000001104	"Atorvastatin 10mg tablets"	"Atorvastatin 10mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"10.000mg"	"2120000"	30000000	"Atorvastatin"
"92041000033111"	39733011000001104	"Atorvastatin 20mg tablets"	"Atorvastatin 20mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"20.000mg"	"2120000"	40000000	"Atorvastatin"
"92141000033110"	39733111000001104	"Atorvastatin 40mg tablets"	"Atorvastatin 40mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"40.000mg"	"2120000"	30000000	"Atorvastatin"
"233741000033115"	320035006	"Cerivastatin 100microgram tablets"	"Cerivastatin 100microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"100.000microgram"	""	200000	"Other"
"233841000033113"	320036007	"Cerivastatin 200microgram tablets"	"Cerivastatin 200microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"200.000microgram"	""	100000	"Other"
"233941000033117"	320037003	"Cerivastatin 300microgram tablets"	"Cerivastatin 300microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"300.000microgram"	""	40000	"Other"
"578641000033114"	39693011000001104	"Fluvastatin 20mg capsules"	"Fluvastatin 20mg capsules"	"Capsule"	"Oral"	"Fluvastatin sodium"	"20.000mg"	"2120000"	600000	"fluvastatin"
"578741000033117"	39693111000001104	"Fluvastatin 40mg capsules"	"Fluvastatin 40mg capsules"	"Capsule"	"Oral"	"Fluvastatin sodium"	"40.000mg"	"2120000"	700000	"fluvastatin"
"819941000033119"	84811000001104	"Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Lescol 20mg capsules"	"Capsule"	"Oral"	"Fluvastatin sodium"	"20.000mg"	"2120000"	20000	"fluvastatin"
"820041000033116"	409611000001108	"Lescol 40mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Lescol 40mg capsules"	"Capsule"	"Oral"	"Fluvastatin sodium"	"40.000mg"	"2120000"	10000	"fluvastatin"
"834841000033118"	802411000001108	"Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Lipostat 10mg tablets"	"Tablet"	"Oral"	"Pravastatin sodium"	"10.000mg"	"2120000"	100000	"Pravastatin"
"834941000033114"	454111000001107	"Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Lipostat 20mg tablets"	"Tablet"	"Oral"	"Pravastatin sodium"	"20.000mg"	"2120000"	80000	"Pravastatin"
"836241000033113"	643911000001108	"Lipitor 10mg tablets (Viatris UK Healthcare Ltd)"	"Lipitor 10mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"10.000mg"	"2120000"	200000	"Atorvastatin"
"836341000033115"	232011000001102	"Lipitor 20mg tablets (Viatris UK Healthcare Ltd)"	"Lipitor 20mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"20.000mg"	"2120000"	100000	"Atorvastatin"
"836441000033114"	484211000001108	"Lipitor 40mg tablets (Viatris UK Healthcare Ltd)"	"Lipitor 40mg tablets"	"Tablet"	"Oral"	"Atorvastatin calcium trihydrate"	"40.000mg"	"2120000"	80000	"Atorvastatin"
"836541000033110"	535011000001102	"Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Lipostat 40mg tablets"	"Tablet"	"Oral"	"Pravastatin sodium"	"40.000mg"	"2120000"	40000	"Pravastatin"
"836641000033111"	4535911000001106	"Lipobay 100microgram tablets (Bayer Plc)"	"Lipobay 100microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"100.000microgram"	""	20000	"Other"
"836741000033119"	4537511000001108	"Lipobay 200microgram tablets (Bayer Plc)"	"Lipobay 200microgram tablets"	"Tablet"	"Oral"	"Cerivastatin sodium"	"200.000microgram"	""	8000	"Other"
