"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"	"Statin"
"25"	319997009	"72488020"	"Simvastatin 20mg tablets"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"28"	320029006	"83943020"	"Atorvastatin 10mg tablets"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"42"	319996000	"72487020"	"Simvastatin 10mg tablets"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"51"	320000009	"72489020"	"Simvastatin 40mg tablets"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"75"	320030001	"83944020"	"Atorvastatin 20mg tablets"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"379"	320022002	"75344020"	"Fluvastatin 20mg capsules"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"420"	320035006	"84278020"	"Cerivastatin 100microgram tablets"	"Cerivastatin sodium"	"100microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"490"	320012008	"73782020"	"Pravastatin 10mg tablets"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"713"	408036003	"85632020"	"Rosuvastatin 10mg tablets"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"730"	320013003	"73783020"	"Pravastatin 20mg tablets"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"745"	320031002	"83945020"	"Atorvastatin 40mg tablets"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"802"	4896711000001108	"87029020"	"Simvador 40mg tablets (Discovery Pharmaceuticals)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"818"	242705001000027104	"90773020"	"Simvastatin 20mg/5ml oral solution sugar free"	"Simvastatin"	"20mg/5ml"	"Oral Suspension Sugar-free"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"1219"	320014009	"73784020"	"Pravastatin 40mg tablets"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"1221"	802411000001108	"73787020"	"Lipostat 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Pravastatin sodium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"1223"	535011000001102	"73789020"	"Lipostat 40mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Pravastatin sodium"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"2137"	320023007	"75345020"	"Fluvastatin 40mg capsules"	"Fluvastatin sodium"	"40mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"2718"	108111000001106	"72482020"	"Zocor 10mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"2955"	484211000001108	"83955020"	"Lipitor 40mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"3411"	643911000001108	"83953020"	"Lipitor 10mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"3690"	454111000001107	"73788020"	"Lipostat 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Pravastatin sodium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Pravastatin"
"4961"	226245001000027104	"84284020"	"Lipobay 300microgram Tablet (Bayer Plc)"	"Cerivastatin sodium"	"300microgram"	"Tablet"	"Oral"	"02120400"	"Statins"	"Other"
"5009"	320036007	"84279020"	"Cerivastatin 200microgram tablets"	"Cerivastatin sodium"	"200microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"5148"	320006003	"77174020"	"Simvastatin 80mg tablets"	"Simvastatin"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"5251"	320037003	"84280020"	"Cerivastatin 300microgram tablets"	"Cerivastatin sodium"	"300microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"5278"	320041004	"76527020"	"Cerivastatin 400microgram tablets"	"Cerivastatin sodium"	"400microgram"	"Tablet"	"Oral"	"00000000"	"Unknown"	"Other"
"5775"	134489001	"81727020"	"Atorvastatin 80mg tablets"	"Atorvastatin calcium trihydrate"	"80mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"5985"	378111000001106	"79882020"	"Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Fluvastatin sodium"	"80mg"	"Modified-release tablet"	"Oral"	"02120400"	"Statins"	"fluvastatin"
"6168"	859611000001107	"72484020"	"Zocor 40mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"40mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"6213"	408037007	"80350020"	"Rosuvastatin 20mg tablets"	"Rosuvastatin calcium"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"7196"	776811000001104	"72483020"	"Zocor 20mg tablets (Merck Sharp & Dohme Ltd)"	"Simvastatin"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Simvastatin"
"7347"	4171011000001104	"76621020"	"Crestor 10mg tablets (AstraZeneca UK Ltd)"	"Rosuvastatin calcium"	"10mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"7374"	232011000001102	"83954020"	"Lipitor 20mg tablets (Pfizer Ltd)"	"Atorvastatin calcium trihydrate"	"20mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Atorvastatin"
"7552"	414177002	"89242020"	"Simvastatin 20mg / Ezetimibe 10mg tablets"	"Simvastatin/Ezetimibe"	"20mg + 10mg"	"Tablet"	"Oral"	"02120200/02120400"	"Ezetimibe/Statins"	"Other"
"7554"	409108001	"89881020"	"Rosuvastatin 5mg tablets"	"Rosuvastatin calcium"	"5mg"	"Tablet"	"Oral"	"02120400"	"Statins"	"Rosuvastatin"
"8380"	84811000001104	"75340020"	"Lescol 20mg capsules (Novartis Pharmaceuticals UK Ltd)"	"Fluvastatin sodium"	"20mg"	"Capsule"	"Oral"	"02120400"	"Statins"	"fluvastatin"
