"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Sulfonylurea"
"58841000033113"	"Amaryl 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"2.000mg"	NA	"Glimepiride"
"59541000033116"	"Amaryl 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"1.000mg"	NA	"Glimepiride"
"59641000033115"	"Amaryl 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"3.000mg"	NA	"Glimepiride"
"59741000033112"	"Amaryl 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"4.000mg"	NA	"Glimepiride"
"249441000033114"	"Chlorpropamide 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpropamide"	"100.000mg"	"06010201"	"Chlorpropamide"
"249541000033110"	"Chlorpropamide 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlorpropamide"	"250.000mg"	"06010201"	"Chlorpropamide"
"406741000033116"	"Daonil  Tablets  2.5 mg"	"Tablet"	"Oral"	"Glibenclamide"	NA	NA	"Glibenclamide"
"406841000033114"	"Daonil 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	NA	"Glibenclamide"
"462041000033119"	"Diabetamide 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	NA	"Glibenclamide"
"462141000033115"	"Diabetamide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	NA	"Glibenclamide"
"463541000033118"	"Diamicron 80mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Gliclazide"	"80.000mg"	NA	"Gliclazide"
"557241000033113"	"Euglucon 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	NA	"Glibenclamide"
"557341000033115"	"Euglucon 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	NA	"Glibenclamide"
"644541000033111"	"Glibenclamide 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"2.500mg"	"06010201"	"Glibenclamide"
"644641000033112"	"Glibenclamide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glibenclamide"	"5.000mg"	"06010201"	"Glibenclamide"
"644741000033115"	"Glibenese 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glipizide"	"5.000mg"	NA	"Glipizide"
"644841000033113"	"Glipizide 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glipizide"	"5.000mg"	"06010201"	"Glipizide"
"645841000033112"	"Glimepiride 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Glimepiride"	"2.000mg"	"06010201"	"Glimepiride"
