"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Sulfonylurea"
"77498"	5473	"Gliclazide 160mg tablets"	"Gliclazide"	"160mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"2219"	261137	"Glibenclamide 2.5mg tablets"	"Glibenclamide"	"2.5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"62034"	92	"Laaglyda MR 60mg tablets (Krka UK Ltd)"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"11695"	95305	"Diamicron 30mg MR tablets (Servier Laboratories Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"7912"	22682	"Semi-Daonil 2.5mg tablets (Sanofi)"	"Glibenclamide"	"2.5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"34957"	63	"Tolbutamide 500mg tablets (A A H Pharmaceuticals Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"70432"	17637	"Bilxona 30mg modified-release tablets (Accord-UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"84885"	0	"Gliclazide 80mg tablets (Phoenix Healthcare Distribution Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"44473"	88	"Edicil MR 30mg tablets (Teva UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"1847"	29684	"Chlorpropamide 250mg tablets"	"Chlorpropamide"	"250mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Chlorpropamide"
"32"	11938275	"Gliclazide 80mg tablets"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"26218"	2511	"Calabren 5mg Tablet (Berk Pharmaceuticals Ltd)"	"Glibenclamide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"41558"	1266	"Glibenclamide 5mg tablets (Teva UK Ltd)"	"Glibenclamide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"21424"	345	"Glibenclamide 5mg/5ml oral suspension"	"Glibenclamide"	"1mg/1ml"	"Oral suspension"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"45215"	15	"Gliclazide 80mg Tablet (Neo Laboratories Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"11284"	16403	"Amaryl 4mg tablets (Zentiva Pharma UK Ltd)"	"Glimepiride"	"4mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"34507"	32	"Glibenclamide 2.5mg tablets (Wockhardt UK Ltd)"	"Glibenclamide"	"2.5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"83493"	0	"Tolbutamide 500mg tablets (Almus Pharmaceuticals Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"56376"	0	"Rosiglitazone 4mg with glimepiride 4mg tablet"	"Glimepiride"	NA	"Tablet"	"Oral"	"Sulphonylureas/Other Antidiabetic Products"	"Glimepiride"
"46927"	261	"Tolbutamide 500mg tablets (Teva UK Ltd)"	"Tolbutamide"	"500mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Tolbutamide"
"61311"	0	"Glimepiride 4mg tablets (Sigma Pharmaceuticals Plc)"	"Glimepiride"	"4mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"17343"	3475	"Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"56437"	64553	"Gliclazide 60mg modified-release tablets"	"Gliclazide"	"60mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"1964"	254961	"Diamicron 80mg tablets (Servier Laboratories Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"7744"	72799	"Daonil 5mg tablets (Sanofi)"	"Glibenclamide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"82846"	0	"Amglidia 0.6mg/ml oral suspension with 5ml oral syringe (Amring Pharmaceuticals Ltd)"	"Glibenclamide"	"600microgram/1ml"	"Oral suspension"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"78125"	39	"Gliclazide 30mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"21832"	18984	"Diabetamide 5mg tablets (Ashbourne Pharmaceuticals Ltd)"	"Glibenclamide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"34399"	3196	"Gliclazide 80mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Gliclazide"	"80mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"82322"	0	"Gliclazide 30mg modified-release tablets (Actavis UK Ltd)"	"Gliclazide"	"30mg"	"Modified-release tablet"	"Oral"	"Sulphonylureas"	"Gliclazide"
"6337"	235123	"Glimepiride 3mg tablets"	"Glimepiride"	"3mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"22636"	24	"TOLBUTAMIDE 1 GM TAB"	"Tolbutamide"	NA	"Tablet"	"Oral"	"Unknown"	"Tolbutamide"
"71477"	1	"Glimepiride 1mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"1mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"57601"	145	"Daonil 5mg tablets (Dowelhurst Ltd)"	"Glibenclamide"	"5mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glibenclamide"
"71476"	16	"Glimepiride 2mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Glimepiride"	"2mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Glimepiride"
"27969"	1	"Glymese 250mg Tablet (DDSA Pharmaceuticals Ltd)"	"Chlorpropamide"	"250mg"	"Oral tablet"	"Oral"	"Sulphonylureas"	"Chlorpropamide"
