medcodeid	term
73466011	non-insulin dependent diabetes mellitus
121589010	diabetes mellitus
197761014	type 2 diabetes mellitus
264681018	diabetic on oral treatment
264682013	diabetic on insulin
264707013	diabetic - good control
264716012	diabetic - poor control nos
264717015	diabetic - cooperative patient
264718013	diabetic-uncooperative patient
264719017	diabetic - follow-up default
292466013	diabetes mellitus without complication
292475010	diabetes mellitus nos with no mention of complication
292479016	diabetes mellitus nos with ketoacidosis
292480018	diabetes mellitus with hyperosmolar coma
292483016	diabetes mellitus, adult onset, with hyperosmolar coma
292489017	diabetes mellitus nos with ketoacidotic coma
292496015	diabetes mellitus with nephropathy nos
292503016	diabetes mellitus nos with ophthalmic manifestation
292512019	diabetes mellitus nos with neurological manifestation
292523015	diabetes mellitus nos with peripheral circulatory disorder
292565014	diabetes mellitus with multiple complications
292576013	type ii diabetes mellitus with multiple complications
292577016	type 2 diabetes mellitus with multiple complications
292579018	type 2 diabetes mellitus with ulcer
292581016	type ii diabetes mellitus with ulcer
292582011	type ii diabetes mellitus with gangrene
292583018	type 2 diabetes mellitus with gangrene
292589019	type ii diabetes mellitus - poor control
292590011	type ii diabetes mellitus poorly controlled
292617015	diabetes mellitus with other specified manifestation
292621010	diabetes mellitus nos with other specified manifestation
292622015	diabetes mellitus with unspecified complication
345487013	diabetes mellitus with neuropathy
401531012	diabetic - poor control
411891014	unstable diabetes
457328010	non-insulin-dependent diabetes mellitus without complication
457329019	type 2 diabetes mellitus without complication
457330012	type ii diabetes mellitus without complication
458512016	diabetic on insulin and oral treatment
459167016	type 2 diabetes mellitus with hypoglycaemic coma
459306016	type ii diabetes mellitus with peripheral angiopathy
459308015	type 2 diabetes mellitus with peripheral angiopathy
459309011	non-insulin dependent diabetes mellitus with arthropathy
459310018	type 2 diabetes mellitus with arthropathy
459311019	type ii diabetes mellitus with arthropathy
459312014	type ii diabetes mellitus with neuropathic arthropathy
459313016	type 2 diabetes mellitus with neuropathic arthropathy
493773010	niddm - non-insulin dependent diabetes mellitus
493774016	type ii diabetes mellitus
1223147012	insulin treated type ii diabetes mellitus
1223148019	insulin treated non-insulin dependent diabetes mellitus
2622193012	diabetes mellitus with ketoacidosis
84471000006119	type 2 diabetes mellitus
84481000006116	type 2 diabetes mellitus - poor control
84491000006118	type 2 diabetes mellitus with arthropathy
84511000006112	type 2 diabetes mellitus with gangrene
84521000006116	type 2 diabetes mellitus with hypoglycaemic coma
84531000006118	type 2 diabetes mellitus with mononeuropathy
84541000006111	type 2 diabetes mellitus with multiple complications
84551000006113	type 2 diabetes mellitus with nephropathy
84561000006110	type 2 diabetes mellitus with neurological complications
84571000006115	type 2 diabetes mellitus with neuropathic arthropathy
84581000006117	type 2 diabetes mellitus with ophthalmic complications
84591000006119	type 2 diabetes mellitus with peripheral angiopathy
84631000006119	type 2 diabetes mellitus with ulcer
84641000006112	type 2 diabetes mellitus without complication
84841000006113	type ii diabetes mellitus
84851000006110	type ii diabetes mellitus - poor control
84861000006112	type ii diabetes mellitus with arthropathy
84881000006119	type ii diabetes mellitus with gangrene
84891000006116	type ii diabetes mellitus with hypoglycaemic coma
84911000006119	type ii diabetes mellitus with multiple complications
84931000006113	neurological disorder with diabetes type 2
84941000006115	type ii diabetes mellitus with neuropathic arthropathy
84961000006116	type ii diabetes mellitus with peripheral angiopathy
85001000006117	type ii diabetes mellitus with ulcer
85011000006119	type ii diabetes mellitus without complication
280511000006113	non-insulin dependent diabetes mellitus with hypoglyca coma
280521000006117	non-insulin dependent diabetes mellitus with mononeuropathy
280531000006119	non-insulin dependent diabetes mellitus with nephropathy
280551000006114	non-insulin-dependent diabetes mellitus with ulcer
280561000006111	non-insulin-dependent diabetes mellitus with peripheral angiopathy
280571000006116	non-insulin dependent diabetes mellitus
280581000006118	non-insulin-dependent diabetes mellitus with multiple complications
280591000006115	non-insulin-dependent diabetes mellitus with neuro comps
281171000006119	type ii diabetes mellitus uncontrolled
281181000006116	non-insulin dependent diabetes mellitus with neuropathic arthropathy
377001000006117	[x]diabetes mellitus
587111000006111	non-insulin-dependent diabetes mellitus with ophthalm comps
616351000006115	diabetes mellitus with gangrene
616381000006111	diabetes mellitus with ketoacidotic coma
616481000006119	diabetes mellitus, adult onset, + neurological manifestation
616491000006116	diabetes mellitus, adult onset, + ophthalmic manifestation
616511000006110	diabetes mellitus, adult onset, no mention of complication
616531000006116	diabetes mellitus, adult onset, with ketoacidosis
616541000006114	diabetes mellitus, adult onset, with ketoacidotic coma
616561000006113	diabetes mellitus, adult with gangrene
616571000006118	diabetes mellitus, adult, + other specified manifestation
616581000006115	diabetes mellitus, adult, + peripheral circulatory disorder
616831000006118	diabetes with gangrene
616891000006119	diabetic - moderate control
840951000006119	insulin treated type 2 diabetes mellitus
840971000006112	diabetes mellitus autosomal dominant type ii
841351000006110	insulin treated type ii diabetes mellitus
851051000006110	ins-treat non-ins-dep diab mel
856771000006110	patient has been told has diabetes
881451000006113	diabetes mellitus -adult onset
881461000006110	diabetes+ketoacidosis -no coma
881471000006115	diabetes with coma
881481000006117	diabetes + nephropathy
881491000006119	diabetes + eye manifestation
881501000006110	diabetes + neuropathy
881511000006113	diabetes + periph.circulat.dis
881521000006117	diabetes + other complications
